Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brillant Pierre-Luc P.Q.;D'Souza Jamie P.V.Q./G.P.Q.;Duverneau Sherlyne P.L.Q./Q.L.P.;Lemay Marie-France P.C.Q-E.E.D.;Marissal Vincent Q.S.;O'Connor Sandra C.A.Q.-E.F.L.;Racine Jean-François C.Q.;B.V.;B.R.
356;Rosemont;2022-10-03;G;Montréal, v;315;;41;382;29;4;10;9;50;37;2;141;6
356;Rosemont;2022-10-03;G;Montréal, v;315;;42;393;24;4;23;7;71;29;0;158;2
356;Rosemont;2022-10-03;G;Montréal, v;316;;43;336;16;2;16;4;51;17;4;110;3
356;Rosemont;2022-10-03;G;Montréal, v;316;;44;369;34;3;5;5;78;23;0;148;2
356;Rosemont;2022-10-03;G;Montréal, v;316;;45;340;38;1;15;6;79;16;0;155;3
356;Rosemont;2022-10-03;G;Montréal, v;316;;46;350;39;3;4;6;102;22;0;176;1
356;Rosemont;2022-10-03;G;Montréal, v;316;;47;375;33;0;38;8;69;18;1;167;1
356;Rosemont;2022-10-03;G;Montréal, v;316;;48;343;32;3;7;4;112;22;0;180;3
356;Rosemont;2022-10-03;G;Montréal, v;316;;49;368;31;2;7;11;112;18;1;182;2
356;Rosemont;2022-10-03;G;Montréal, v;316;;50;339;26;0;6;5;95;21;1;154;4
356;Rosemont;2022-10-03;G;Montréal, v;317;;51;350;39;3;6;5;69;16;0;138;3
356;Rosemont;2022-10-03;G;Montréal, v;317;;52;337;34;2;5;3;99;18;1;162;5
356;Rosemont;2022-10-03;G;Montréal, v;317;;53;322;41;4;14;6;57;27;1;150;3
356;Rosemont;2022-10-03;G;Montréal, v;317;;54;346;26;3;9;1;84;29;2;154;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;55;388;29;4;18;12;79;17;0;159;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;56;387;37;3;4;6;95;24;3;172;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;57;368;24;4;17;4;61;22;0;132;3
356;Rosemont;2022-10-03;G;Montréal, v;318;;58;369;33;3;12;7;95;13;0;163;4
356;Rosemont;2022-10-03;G;Montréal, v;318;;59;364;30;1;15;4;103;23;0;176;2
356;Rosemont;2022-10-03;G;Montréal, v;318;;60;383;31;7;23;10;68;16;3;158;0
356;Rosemont;2022-10-03;G;Montréal, v;318;;61;347;45;1;6;2;82;27;0;163;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;62;397;41;1;19;2;83;28;1;175;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;63;371;42;0;7;3;80;30;0;162;0
356;Rosemont;2022-10-03;G;Montréal, v;318;;64;348;33;1;18;2;97;28;0;179;3
356;Rosemont;2022-10-03;G;Montréal, v;318;;65;363;41;2;13;5;62;32;0;155;1
356;Rosemont;2022-10-03;G;Montréal, v;318;;66;366;23;2;23;13;54;21;0;136;2
356;Rosemont;2022-10-03;G;Montréal, v;318;;67;390;33;1;15;5;74;22;2;152;0
356;Rosemont;2022-10-03;G;Montréal, v;319;;68;356;18;1;31;2;39;17;0;108;3
356;Rosemont;2022-10-03;G;Montréal, v;319;;69;356;10;0;27;2;47;16;0;102;2
356;Rosemont;2022-10-03;G;Montréal, v;319;;70;347;20;1;14;10;55;21;0;121;3
356;Rosemont;2022-10-03;G;Montréal, v;319;;71;384;35;6;22;7;63;27;1;161;3
356;Rosemont;2022-10-03;G;Montréal, v;319;;72;368;33;2;21;5;73;31;1;166;3
356;Rosemont;2022-10-03;G;Montréal, v;319;;73;365;44;1;9;4;61;17;0;136;0
356;Rosemont;2022-10-03;G;Montréal, v;319;;74;383;23;4;8;10;49;12;1;107;2
356;Rosemont;2022-10-03;G;Montréal, v;320;;75;368;26;7;12;11;75;32;0;163;1
356;Rosemont;2022-10-03;G;Montréal, v;320;;76;356;39;1;13;7;105;17;2;184;3
356;Rosemont;2022-10-03;G;Montréal, v;320;;77;370;28;3;20;14;29;33;1;128;2
356;Rosemont;2022-10-03;G;Montréal, v;320;;78;337;30;0;20;10;47;23;0;130;3
356;Rosemont;2022-10-03;G;Montréal, v;320;;79;328;36;1;18;9;54;19;1;138;2
356;Rosemont;2022-10-03;G;Montréal, v;320;;80;378;52;5;13;3;65;33;0;171;3
356;Rosemont;2022-10-03;G;Montréal, v;321;;81;364;33;0;17;5;56;19;0;130;1
356;Rosemont;2022-10-03;G;Montréal, v;321;;82;379;50;1;21;6;93;45;1;217;1
356;Rosemont;2022-10-03;G;Montréal, v;321;;83;368;27;2;40;12;66;31;1;179;4
356;Rosemont;2022-10-03;G;Montréal, v;321;;84;383;33;2;22;11;58;31;0;157;5
356;Rosemont;2022-10-03;G;Montréal, v;321;;85;388;11;3;37;11;35;26;1;124;4
356;Rosemont;2022-10-03;G;Montréal, v;321;;86;393;24;4;29;17;31;28;0;133;2
356;Rosemont;2022-10-03;G;Montréal, v;322;;87;339;18;4;12;11;34;25;3;107;0
356;Rosemont;2022-10-03;G;Montréal, v;322;;88;315;14;5;21;20;45;10;0;115;3
356;Rosemont;2022-10-03;G;Montréal, v;322;;89;337;21;1;31;1;38;39;1;132;0
356;Rosemont;2022-10-03;G;Montréal, v;323;;90;300;10;2;36;3;37;24;1;113;3
