Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Virginie P.L.Q./Q.L.P.;Brisebois David C.Q.;Cloutier Serge P.C.Q-E.E.D.;Déry Pascale C.A.Q.-E.F.L.;Marc Ednal Q.S.;Van Dun Aïcha P.Q.;B.V.;B.R.
560;Repentigny;2022-10-03;G;Repentigny, v;21;;111;372;27;1;11;75;26;31;171;3
560;Repentigny;2022-10-03;G;Repentigny, v;22;;112;382;29;5;13;78;27;37;189;4
560;Repentigny;2022-10-03;G;Repentigny, v;22;;113;392;32;1;21;72;25;27;178;2
560;Repentigny;2022-10-03;G;Repentigny, v;22;;114;380;33;2;15;77;23;27;177;3
560;Repentigny;2022-10-03;G;Repentigny, v;22;;115;406;27;3;19;91;35;25;200;1
560;Repentigny;2022-10-03;G;Repentigny, v;22;;116;393;27;4;11;81;28;28;179;5
560;Repentigny;2022-10-03;G;Repentigny, v;23;;117;389;7;0;7;71;7;33;125;0
560;Repentigny;2022-10-03;G;Repentigny, v;23;;118;402;44;4;16;73;29;25;191;7
560;Repentigny;2022-10-03;G;Repentigny, v;23;;119;415;25;3;12;86;17;33;176;0
560;Repentigny;2022-10-03;G;Repentigny, v;23;;120;417;41;2;9;84;18;33;187;4
560;Repentigny;2022-10-03;G;Repentigny, v;23;;121;419;14;1;11;93;31;38;188;3
560;Repentigny;2022-10-03;G;Repentigny, v;23;;122;409;52;0;23;64;23;27;189;2
560;Repentigny;2022-10-03;G;Repentigny, v;23;;123;404;11;1;19;91;16;33;171;3
560;Repentigny;2022-10-03;G;Repentigny, v;23;;124;414;31;1;6;92;33;21;184;7
560;Repentigny;2022-10-03;G;Repentigny, v;23;;125;408;25;3;15;83;29;37;192;11
560;Repentigny;2022-10-03;G;Repentigny, v;23;;126;418;27;2;20;85;29;26;189;4
