Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charest Jean-Philippe P.V.Q./G.P.Q.;Fremont Herby P.C.Q./C.P.Q;Gratton Mathieu P.L.Q./Q.L.P.;Latreille Evelyne P.C.Q-E.E.D.;Lefrançois Claude Q.S.;Orihuela-Bouchard Soledad P.Q.;Parent Ian C.Q.;Poulet Isabelle C.A.Q.-E.F.L.;B.V.;B.R.
244;Laporte;2022-10-03;G;Longueuil, v;6;;83;377;0;3;18;12;25;23;1;41;123;10
244;Laporte;2022-10-03;G;Longueuil, v;6;;84;387;0;2;29;21;29;16;0;46;143;1
244;Laporte;2022-10-03;G;Longueuil, v;6;;85;367;1;0;26;16;30;22;0;37;132;2
244;Laporte;2022-10-03;G;Longueuil, v;7;;86;371;2;1;24;14;20;20;0;34;115;4
244;Laporte;2022-10-03;G;Longueuil, v;7;;87;341;2;0;18;6;28;22;0;40;116;0
244;Laporte;2022-10-03;G;Longueuil, v;7;;88;388;5;1;21;18;26;26;0;43;140;2
244;Laporte;2022-10-03;G;Longueuil, v;7;;89;362;2;2;29;14;17;21;1;35;121;4
244;Laporte;2022-10-03;G;Longueuil, v;7;;90;373;1;2;24;22;18;17;1;25;110;4
244;Laporte;2022-10-03;G;Longueuil, v;7;;91;372;2;1;32;11;24;16;1;45;132;1
244;Laporte;2022-10-03;G;Longueuil, v;7;;92;349;1;1;18;11;23;12;1;44;111;0
244;Laporte;2022-10-03;G;Longueuil, v;7;;93;363;1;0;34;19;22;14;0;27;117;1
244;Laporte;2022-10-03;G;Longueuil, v;7;;94;376;2;0;29;12;35;18;0;43;139;0
244;Laporte;2022-10-03;G;Longueuil, v;7;;95;361;3;1;22;17;23;12;2;34;114;2
244;Laporte;2022-10-03;G;Longueuil, v;8;;96A;205;1;1;29;13;28;15;1;42;130;1
244;Laporte;2022-10-03;G;Longueuil, v;8;Regr. BVDS-1;96B;227;0;0;0;0;0;0;0;0;0;0
244;Laporte;2022-10-03;G;Longueuil, v;8;;97;380;0;3;18;10;23;18;0;38;110;3
244;Laporte;2022-10-03;G;Longueuil, v;8;;98;415;4;2;42;17;19;19;1;38;142;2
244;Laporte;2022-10-03;G;Longueuil, v;8;;99A;235;2;0;16;10;14;9;0;31;82;2
244;Laporte;2022-10-03;G;Longueuil, v;8;;99B;200;3;0;16;16;13;8;0;16;72;2
244;Laporte;2022-10-03;G;Longueuil, v;8;;100;405;4;0;35;24;22;11;1;42;139;0
244;Laporte;2022-10-03;G;Longueuil, v;8;;101;388;4;0;34;17;36;18;0;57;166;4
244;Laporte;2022-10-03;G;Longueuil, v;8;;102;394;2;3;42;21;27;14;1;48;158;3
244;Laporte;2022-10-03;G;Longueuil, v;8;;103;394;3;1;29;7;23;35;4;60;162;3
244;Laporte;2022-10-03;G;Longueuil, v;8;;104;401;5;3;42;6;41;18;0;58;173;2
244;Laporte;2022-10-03;G;Longueuil, v;8;;105;393;2;0;38;17;31;26;1;55;170;5
244;Laporte;2022-10-03;G;Longueuil, v;8;;106;409;5;1;33;26;21;17;0;64;167;1
244;Laporte;2022-10-03;G;Longueuil, v;8;;107A;271;0;1;20;21;18;11;1;26;98;5
244;Laporte;2022-10-03;G;Longueuil, v;8;;107B;225;0;1;28;9;12;13;0;31;94;0
244;Laporte;2022-10-03;G;Longueuil, v;9;;108;383;2;6;104;24;25;9;2;49;221;1
244;Laporte;2022-10-03;G;Longueuil, v;9;;109;387;8;10;71;16;50;25;1;33;214;3
244;Laporte;2022-10-03;G;Longueuil, v;9;;110;359;2;3;89;14;36;7;0;42;193;5
244;Laporte;2022-10-03;G;Longueuil, v;9;;111;369;3;3;70;12;26;25;1;60;200;2
244;Laporte;2022-10-03;G;Longueuil, v;9;;112;379;1;8;85;20;26;12;0;41;193;1
244;Laporte;2022-10-03;G;Longueuil, v;9;;113;380;2;6;84;19;17;18;0;37;183;4
244;Laporte;2022-10-03;G;Longueuil, v;9;;114;384;4;4;81;13;29;10;2;32;175;5
244;Laporte;2022-10-03;G;Longueuil, v;9;;115;375;4;2;33;15;27;13;1;49;144;3
244;Laporte;2022-10-03;G;Longueuil, v;9;;116;388;1;6;55;14;43;20;1;26;166;3
244;Laporte;2022-10-03;G;Longueuil, v;9;;117;367;5;11;81;15;33;15;1;27;188;4
244;Laporte;2022-10-03;G;Longueuil, v;9;;118;380;5;7;104;10;24;9;0;36;195;5
244;Laporte;2022-10-03;G;Longueuil, v;9;;119;380;3;7;81;21;20;8;0;27;167;4
244;Laporte;2022-10-03;G;Brossard, v;5;;120;403;2;2;71;15;25;7;0;20;142;3
244;Laporte;2022-10-03;G;Brossard, v;5;;121;376;0;1;51;6;12;5;0;29;104;0
244;Laporte;2022-10-03;G;Brossard, v;5;;122;406;0;0;48;7;17;8;0;39;119;1
244;Laporte;2022-10-03;G;Brossard, v;5;;123;399;4;2;73;11;17;13;1;22;143;2
