Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abdallah Hassan P.L.Q./Q.L.P.;Aubin Claire C.Q.;Boucher Julie P.Q.;Drainville Amélie Q.S.;Primeau Benoit P.C.Q-E.E.D.;Proulx Caroline C.A.Q.-E.F.L.;B.V.;B.R.
566;Berthier;2022-10-03;G;Saint-Ignace-de-Loyola, m;1;;60;379;0;2;45;61;22;61;191;5
566;Berthier;2022-10-03;G;Saint-Ignace-de-Loyola, m;1;;61;366;6;1;38;29;13;75;162;2
566;Berthier;2022-10-03;G;Saint-Ignace-de-Loyola, m;1;;62;349;11;1;50;24;14;76;176;4
566;Berthier;2022-10-03;G;Saint-Barthélemy, p;1;;63;338;2;1;37;24;24;97;185;3
566;Berthier;2022-10-03;G;Saint-Barthélemy, p;1;;64;339;5;2;25;20;24;101;177;0
566;Berthier;2022-10-03;G;Saint-Barthélemy, p;1;;65;336;7;1;39;39;15;80;181;2
566;Berthier;2022-10-03;G;Saint-Barthélemy, p;1;;66;340;4;2;25;23;27;102;183;6
566;Berthier;2022-10-03;G;Saint-Barthélemy, p;1;;67;332;1;1;35;25;20;60;142;3
566;Berthier;2022-10-03;G;Saint-Cuthbert, m;1;;68;374;3;0;36;29;15;70;153;0
566;Berthier;2022-10-03;G;Saint-Cuthbert, m;1;;69;373;3;0;34;21;22;52;132;1
566;Berthier;2022-10-03;G;Saint-Cuthbert, m;1;;70;377;2;1;36;32;28;66;165;3
566;Berthier;2022-10-03;G;Saint-Cuthbert, m;1;;71;373;4;0;39;20;24;52;139;2
566;Berthier;2022-10-03;G;Saint-Norbert, p;1;;72;284;5;2;36;35;18;61;157;4
566;Berthier;2022-10-03;G;Saint-Norbert, p;1;;73;290;2;2;30;22;22;67;145;3
566;Berthier;2022-10-03;G;Saint-Norbert, p;1;;74;287;3;0;32;26;34;68;163;1
566;Berthier;2022-10-03;G;Sainte-Élisabeth, m;1;;75;366;5;1;52;23;39;89;209;5
566;Berthier;2022-10-03;G;Sainte-Élisabeth, m;1;;76;374;8;3;52;20;29;97;209;3
566;Berthier;2022-10-03;G;Sainte-Élisabeth, m;1;;77;372;3;1;57;32;19;127;239;4
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;78;375;3;0;36;14;28;63;144;1
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;79;380;3;1;33;18;25;76;156;2
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;80;372;9;1;37;26;23;62;158;2
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;81;377;4;3;20;11;28;61;127;0
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;82;381;5;0;34;29;18;84;170;2
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;83;371;1;2;36;15;14;67;135;0
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;84;369;1;1;28;20;17;49;116;1
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;85;362;2;1;24;19;17;47;110;6
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;86;372;2;1;35;20;37;57;152;4
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;87;382;2;1;54;20;35;55;167;7
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;88;369;5;2;33;26;26;66;158;4
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;89;366;3;2;31;12;12;95;155;2
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;90;382;1;3;36;24;37;67;168;2
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;91;383;3;1;39;21;21;64;149;1
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;;92;374;4;2;38;28;34;73;179;1
566;Berthier;2022-10-03;G;Sainte-Marcelline-de-Kildare, m;1;;93;366;6;1;55;33;25;94;214;6
566;Berthier;2022-10-03;G;Sainte-Marcelline-de-Kildare, m;1;;94;354;5;3;73;38;24;62;205;1
566;Berthier;2022-10-03;G;Sainte-Marcelline-de-Kildare, m;1;;95;375;19;0;46;38;26;71;200;4
566;Berthier;2022-10-03;G;Sainte-Marcelline-de-Kildare, m;1;;96;357;2;1;45;31;22;75;176;3
566;Berthier;2022-10-03;G;Sainte-Béatrix, m;1;;97;368;5;2;48;39;25;50;169;2
566;Berthier;2022-10-03;G;Sainte-Béatrix, m;1;;98;360;5;3;46;35;21;73;183;5
566;Berthier;2022-10-03;G;Sainte-Béatrix, m;1;;99;373;8;2;40;38;18;57;163;1
566;Berthier;2022-10-03;G;Sainte-Béatrix, m;1;;100;366;3;5;41;44;13;55;161;5
566;Berthier;2022-10-03;G;Sainte-Béatrix, m;1;;101;363;3;2;42;36;30;87;200;2
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;102;395;1;1;49;34;29;50;164;2
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;103;393;7;2;41;14;20;90;174;1
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;104;405;4;0;44;14;17;75;154;1
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;105;410;10;3;49;19;16;62;159;1
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;106;411;4;1;42;26;39;76;188;4
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;107;405;1;1;48;31;10;67;158;4
566;Berthier;2022-10-03;G;Saint-Alphonse-Rodriguez, m;1;;108;415;4;2;43;17;14;87;167;0
