Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigilimana Ange Claude P.C.Q-E.E.D.;Dufour Virginie P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Lachance Michel P.Q.;Lajoie Guillaume Q.S.;Séide Julie C.A.Q.-E.F.L.;B.V.;B.R.
482;Mille-Îles;2022-10-03;G;Laval, v;79;;18;411;26;84;2;14;26;32;184;0
482;Mille-Îles;2022-10-03;G;Laval, v;79;;19;378;22;68;2;23;43;37;195;2
482;Mille-Îles;2022-10-03;G;Laval, v;80;;20;377;23;76;3;19;27;31;179;0
482;Mille-Îles;2022-10-03;G;Laval, v;80;;21;355;12;71;4;13;28;42;170;4
482;Mille-Îles;2022-10-03;G;Laval, v;80;;22;383;14;83;2;16;41;45;201;2
482;Mille-Îles;2022-10-03;G;Laval, v;80;;23;377;23;74;3;16;28;52;196;0
482;Mille-Îles;2022-10-03;G;Laval, v;81;;24;377;17;69;4;11;17;37;155;2
482;Mille-Îles;2022-10-03;G;Laval, v;81;;25;364;23;65;4;16;17;41;166;4
482;Mille-Îles;2022-10-03;G;Laval, v;81;;26;370;22;66;3;33;21;60;205;1
482;Mille-Îles;2022-10-03;G;Laval, v;81;;27;381;23;92;2;19;23;47;206;1
482;Mille-Îles;2022-10-03;G;Laval, v;81;;28;374;19;69;4;12;13;44;161;4
482;Mille-Îles;2022-10-03;G;Laval, v;82;;29;385;22;51;3;29;40;75;220;2
482;Mille-Îles;2022-10-03;G;Laval, v;82;;30;398;19;92;1;20;38;53;223;6
482;Mille-Îles;2022-10-03;G;Laval, v;82;;31;359;15;37;0;13;33;41;139;0
482;Mille-Îles;2022-10-03;G;Laval, v;82;;32;365;14;42;2;28;32;57;175;1
482;Mille-Îles;2022-10-03;G;Laval, v;82;;33;381;9;51;4;25;36;52;177;2
482;Mille-Îles;2022-10-03;G;Laval, v;82;;34;363;11;18;0;12;22;25;88;3
482;Mille-Îles;2022-10-03;G;Laval, v;82;;35;392;20;55;3;12;38;41;169;2
482;Mille-Îles;2022-10-03;G;Laval, v;82;;36;380;22;70;4;22;26;41;185;2
482;Mille-Îles;2022-10-03;G;Laval, v;83;;37;399;24;64;0;17;17;47;169;1
482;Mille-Îles;2022-10-03;G;Laval, v;83;;38;397;21;69;2;18;24;46;180;1
