Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Stéphane P.C.Q-E.E.D.;Bonnardel François C.A.Q.-E.F.L.;Bouthillier Guy P.Q.;Lamarre Penny P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Paquin Jimmy E.A.;Wisniowski Andrzej P.V.Q./G.P.Q.;B.V.;B.R.
206;Granby;2022-10-03;G;Granby, v;3;;21;397;19;98;18;8;17;0;2;162;1
206;Granby;2022-10-03;G;Granby, v;3;;22;405;22;112;30;5;32;0;3;204;0
206;Granby;2022-10-03;G;Granby, v;3;;23;405;16;103;20;6;39;0;1;185;1
206;Granby;2022-10-03;G;Granby, v;3;;24;420;9;92;24;5;19;0;0;149;1
206;Granby;2022-10-03;G;Granby, v;3;;25;393;8;93;19;13;19;0;2;154;0
206;Granby;2022-10-03;G;Granby, v;4;;26;379;12;90;19;7;26;0;1;155;2
206;Granby;2022-10-03;G;Granby, v;4;;27;373;16;97;29;12;31;0;1;186;0
206;Granby;2022-10-03;G;Granby, v;4;;28;379;9;89;23;5;39;0;1;166;3
206;Granby;2022-10-03;G;Granby, v;4;;29;384;5;107;19;15;33;0;0;179;2
206;Granby;2022-10-03;G;Granby, v;4;;30;382;12;83;25;12;35;0;1;168;2
206;Granby;2022-10-03;G;Granby, v;4;;31;378;18;89;15;7;17;0;0;146;0
206;Granby;2022-10-03;G;Granby, v;4;;32;376;10;85;26;9;21;1;0;152;1
206;Granby;2022-10-03;G;Granby, v;4;;33;382;13;73;19;13;19;0;1;138;1
206;Granby;2022-10-03;G;Granby, v;4;;34;372;18;59;21;10;28;0;3;139;3
206;Granby;2022-10-03;G;Granby, v;4;;35;384;21;81;19;12;21;0;0;154;5
206;Granby;2022-10-03;G;Granby, v;5;;36;383;15;67;35;15;31;0;2;165;0
206;Granby;2022-10-03;G;Granby, v;5;;37;388;9;48;20;4;33;0;2;116;0
206;Granby;2022-10-03;G;Granby, v;5;;38;376;18;51;23;13;48;1;7;161;3
206;Granby;2022-10-03;G;Granby, v;5;;39;381;11;67;39;12;32;0;4;165;0
206;Granby;2022-10-03;G;Granby, v;5;;40;381;20;67;18;7;31;1;0;144;2
206;Granby;2022-10-03;G;Granby, v;5;;41;389;29;53;28;6;31;0;2;149;2
206;Granby;2022-10-03;G;Granby, v;6;;42;383;16;42;16;12;30;0;3;119;1
206;Granby;2022-10-03;G;Granby, v;6;;43;413;16;58;14;8;11;0;1;108;1
206;Granby;2022-10-03;G;Granby, v;6;;44;378;17;64;20;5;23;0;0;129;5
206;Granby;2022-10-03;G;Granby, v;6;;45;373;18;76;15;3;24;0;2;138;5
206;Granby;2022-10-03;G;Granby, v;6;;46;383;28;68;19;14;27;0;0;156;6
