Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Eastman, m;1;;41;422;28;75;1;15;0;23;49;191;0
120;Orford;2022-10-03;G;Eastman, m;1;;42;415;23;84;0;19;1;21;40;188;3
120;Orford;2022-10-03;G;Eastman, m;1;;43;415;45;71;0;15;0;9;43;183;2
120;Orford;2022-10-03;G;Eastman, m;1;;44;410;31;59;0;25;0;20;43;178;3
120;Orford;2022-10-03;G;Eastman, m;1;;45;409;33;56;0;17;0;22;39;167;1
120;Orford;2022-10-03;G;Austin, m;1;;46;377;24;56;3;17;1;14;35;150;3
120;Orford;2022-10-03;G;Austin, m;1;;47;396;26;51;0;13;0;13;26;129;1
120;Orford;2022-10-03;G;Austin, m;1;;48;375;28;79;1;30;0;23;20;181;1
120;Orford;2022-10-03;G;Austin, m;1;;49;377;24;48;1;33;0;21;25;152;1
120;Orford;2022-10-03;G;Saint-Benoît-du-Lac, m;1;Regr. BVO-48;50;29;0;0;0;0;0;0;0;0;0
120;Orford;2022-10-03;G;Magog, v;1;;51;410;24;62;0;15;0;16;33;150;3
120;Orford;2022-10-03;G;Magog, v;1;;52;405;25;66;0;14;0;16;39;160;0
120;Orford;2022-10-03;G;Magog, v;1;;53;398;30;60;0;23;0;4;32;149;1
120;Orford;2022-10-03;G;Magog, v;1;;54;409;23;52;1;14;2;15;26;133;0
120;Orford;2022-10-03;G;Magog, v;1;;55;398;18;52;1;19;0;25;31;146;2
120;Orford;2022-10-03;G;Magog, v;1;;56;395;15;58;3;25;0;10;40;151;0
120;Orford;2022-10-03;G;Magog, v;2;;57;384;29;67;2;41;0;11;30;180;1
120;Orford;2022-10-03;G;Magog, v;2;;58;395;21;92;0;21;1;24;25;184;2
120;Orford;2022-10-03;G;Magog, v;2;;59;378;17;73;0;16;0;21;25;152;0
