Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-E.F.L.;Baudelot Sonia P.L.Q./Q.L.P.;Buchanan Lynn P.V.Q./G.P.Q.;Dansereau-Redhead Catherine P.Q.;Léger Jessy Q.S.;Turmel Stéphane P.C.Q-E.E.D.;B.V.;B.R.
466;Fabre;2022-10-03;G;Laval, v;8;;47;378;30;86;1;14;19;27;177;2
466;Fabre;2022-10-03;G;Laval, v;8;;48;397;45;74;5;20;20;33;197;0
466;Fabre;2022-10-03;G;Laval, v;8;;49;401;44;75;0;8;17;40;184;1
466;Fabre;2022-10-03;G;Laval, v;8;;50;369;32;52;1;5;4;36;130;0
466;Fabre;2022-10-03;G;Laval, v;8;;51;388;21;62;1;5;5;35;129;0
466;Fabre;2022-10-03;G;Laval, v;8;;52;388;18;82;0;4;5;52;161;1
466;Fabre;2022-10-03;G;Laval, v;8;;53;390;26;79;2;4;7;44;162;0
466;Fabre;2022-10-03;G;Laval, v;8;;54;413;38;58;0;9;7;20;132;1
466;Fabre;2022-10-03;G;Laval, v;8;;55;386;16;50;0;2;4;24;96;0
466;Fabre;2022-10-03;G;Laval, v;9;;56;424;14;93;0;2;9;33;151;3
466;Fabre;2022-10-03;G;Laval, v;9;;57;405;16;90;0;8;13;36;163;1
466;Fabre;2022-10-03;G;Laval, v;9;;58;396;25;106;4;1;13;21;170;0
466;Fabre;2022-10-03;G;Laval, v;9;;59;401;20;83;2;4;11;42;162;0
466;Fabre;2022-10-03;G;Laval, v;9;;60;407;34;85;0;3;12;44;178;3
466;Fabre;2022-10-03;G;Laval, v;9;;61;402;8;80;3;1;14;51;157;0
466;Fabre;2022-10-03;G;Laval, v;9;;62;401;23;77;2;7;12;34;155;3
466;Fabre;2022-10-03;G;Laval, v;9;;63;404;48;63;1;22;15;22;171;1
466;Fabre;2022-10-03;G;Laval, v;9;;64;423;56;54;4;19;34;19;186;1
466;Fabre;2022-10-03;G;Laval, v;9;;65;414;21;94;4;3;13;37;172;5
466;Fabre;2022-10-03;G;Laval, v;9;;66;407;32;92;0;5;13;80;222;3
466;Fabre;2022-10-03;G;Laval, v;10;;67;399;18;82;2;0;11;61;174;3
466;Fabre;2022-10-03;G;Laval, v;10;;68;425;25;59;1;6;29;37;157;2
466;Fabre;2022-10-03;G;Laval, v;10;;69;416;34;72;4;2;21;36;169;2
466;Fabre;2022-10-03;G;Laval, v;10;;70;401;20;52;5;14;15;47;153;4
466;Fabre;2022-10-03;G;Laval, v;10;;71;381;13;58;3;11;23;42;150;1
466;Fabre;2022-10-03;G;Laval, v;11;;72;417;45;72;0;11;19;36;183;1
466;Fabre;2022-10-03;G;Laval, v;11;;73;424;25;94;4;7;13;45;188;0
466;Fabre;2022-10-03;G;Laval, v;11;;74;414;20;76;0;9;19;33;157;0
466;Fabre;2022-10-03;G;Laval, v;11;;75;413;22;78;0;11;17;43;171;1
466;Fabre;2022-10-03;G;Laval, v;11;;76;414;35;73;0;8;24;35;175;1
466;Fabre;2022-10-03;G;Laval, v;11;;77;413;22;86;4;3;22;37;174;2
466;Fabre;2022-10-03;G;Laval, v;11;;78;411;18;70;2;13;17;31;151;1
466;Fabre;2022-10-03;G;Laval, v;11;;79A;224;13;63;1;2;5;30;114;1
466;Fabre;2022-10-03;G;Laval, v;11;;79B;255;7;56;2;0;7;32;104;0
466;Fabre;2022-10-03;G;Laval, v;11;;80;397;19;57;1;9;12;46;144;0
466;Fabre;2022-10-03;G;Laval, v;11;;81A;196;2;31;0;1;5;22;61;1
466;Fabre;2022-10-03;G;Laval, v;11;;81B;240;20;49;1;4;1;25;100;3
466;Fabre;2022-10-03;G;Laval, v;11;;82;424;11;115;6;4;5;49;190;1
466;Fabre;2022-10-03;G;Laval, v;11;;83A;210;11;46;0;2;5;35;99;2
466;Fabre;2022-10-03;G;Laval, v;11;;83B;243;8;36;1;0;6;35;86;3
466;Fabre;2022-10-03;G;Laval, v;11;;84;419;22;45;1;6;19;27;120;2
466;Fabre;2022-10-03;G;Laval, v;11;;85;423;12;76;4;4;17;35;148;2
466;Fabre;2022-10-03;G;Laval, v;12;;86;401;38;37;6;16;17;32;146;1
