Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ait Akil Sabrina P.C.Q-E.E.D.;Bastien Ophélie P.Q.;Beaumier Sarah C.A.Q.-E.F.L.;Cherniak David A P.N.;Goldberg Harrison Anne P.C.Q./C.P.Q;Guelmi Malik P.V.Q./G.P.Q.;Leblanc Isabelle Q.S.;Setlakwe Michelle P.L.Q./Q.L.P.;B.V.;B.R.
336;Mont-Royal-Outremont;2022-10-03;G;BVA23: SV no 82, 86, 92, 96, 98;;;;0;17;48;80;0;6;3;62;78;294;4
336;Mont-Royal-Outremont;2022-10-03;G;BVA24: SV no 79, 84, 88, 90, 94;;;;0;11;43;43;0;1;5;76;55;234;0
336;Mont-Royal-Outremont;2022-10-03;G;BVA25: SV no 49, 58, 62, 75, 78;;;;0;19;9;32;0;2;2;32;77;173;1
336;Mont-Royal-Outremont;2022-10-03;G;BVA26: SV no 50, 57, 61, 64, 73;;;;0;18;10;14;0;2;1;28;94;167;4
336;Mont-Royal-Outremont;2022-10-03;G;BVA27: SV no 51, 59, 63, 72, 76;;;;0;17;21;26;1;1;1;44;91;202;2
336;Mont-Royal-Outremont;2022-10-03;G;BVA28: SV no 52, 56, 60, 74, 77;;;;0;6;2;20;0;1;4;23;79;135;3
336;Mont-Royal-Outremont;2022-10-03;G;Vote en installation d'hébergement;;;;0;15;76;100;3;8;10;38;185;435;29
336;Mont-Royal-Outremont;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;4;5;1;0;2;1;26;39;4
336;Mont-Royal-Outremont;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;60;106;119;5;6;17;443;244;1000;42
336;Mont-Royal-Outremont;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Vote hors circonscription;;;;0;26;49;53;0;8;23;240;170;569;12
336;Mont-Royal-Outremont;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;84;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Total de la circonscription;;;;55931;2522;3385;4677;87;507;785;6008;11658;29629;404
336;Mont-Royal-Outremont;2022-10-03;G;Majorité en faveur de Michelle Setlakwe : 5650;;;;;;;;;;;;;;
