Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourassa Kariane C.A.Q.-E.F.L.;Bureau Michel P.L.Q./Q.L.P.;Fortin Myriam Q.S.;Lacombe Odré P.C.Q-E.E.D.;Rodrigue Lucien P.Q.;Tremblay Stefany D.D.;B.V.;B.R.
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;53;373;65;8;16;14;29;0;132;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;54;383;42;3;29;14;25;0;113;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;55;369;58;3;25;8;30;0;124;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;56;385;62;4;36;13;24;0;139;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;57;363;52;3;39;3;27;0;124;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;3;;58;378;58;5;32;12;14;0;121;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Les Éboulements, m;1;;59;394;91;13;49;22;52;0;227;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Les Éboulements, m;1;;60;391;110;8;40;23;37;0;218;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Les Éboulements, m;1;;61;413;114;11;64;16;54;1;260;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Irénée, m;1;;62;304;72;9;27;18;39;0;165;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Irénée, m;1;;63;308;68;8;35;7;47;1;166;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Isle-aux-Coudres, m;1;;64;331;53;11;13;11;24;1;113;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Isle-aux-Coudres, m;1;;65;331;63;4;7;13;17;1;105;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Isle-aux-Coudres, m;1;;66;335;57;5;15;9;23;0;109;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Petite-Rivière-Saint-François, m;1;;67;369;98;17;35;29;42;0;221;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Petite-Rivière-Saint-François, m;1;;68;378;88;6;18;34;55;0;201;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Tite-des-Caps, m;1;;69;403;112;1;15;50;23;0;201;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Tite-des-Caps, m;1;;70;407;103;6;21;64;27;0;221;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Tite-des-Caps, m;1;;71;409;139;7;16;45;29;2;238;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;72;388;61;8;19;68;32;0;188;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;73;368;69;5;29;28;16;0;147;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;74;373;69;2;22;39;22;0;154;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;75;387;71;4;38;38;38;0;189;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;76;391;72;9;21;19;16;0;137;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;77;378;71;15;32;35;23;0;176;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;78;370;58;6;30;19;21;0;134;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Ferréol-les-Neiges, m;1;;79;386;86;18;22;32;20;0;178;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Joachim, p;1;;80;397;68;6;25;68;29;0;196;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Joachim, p;1;;81;394;92;13;24;43;44;1;217;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Joachim, p;1;;82;395;83;5;17;37;41;1;184;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Louis-de-Gonzague-du-Cap-Tourmente, p;1;Regr. BVO-80;83;2;0;0;0;0;0;0;0;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;84;374;68;5;17;47;26;0;163;3
