Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Sonia C.A.Q.-E.F.L.;Chabot Thérèse P.Q.;Cloutier Benoit P.C.Q-E.E.D.;Crevier-Dagenais Rose Q.S.;Leclerc Michel P.H.Q.;Pomerleau Suzanne P.L.Q./Q.L.P.;Vaz Michelle P.V.Q./G.P.Q.;B.V.;B.R.
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;47;401;52;24;24;34;0;6;3;143;1
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;48;388;62;33;22;26;0;12;2;157;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;49;405;52;38;30;28;3;7;4;162;4
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;50;404;68;37;25;33;0;10;4;177;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;51;412;52;43;27;32;0;3;0;157;2
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;52;405;55;51;27;26;0;7;2;168;1
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;53;414;68;35;34;38;1;5;2;183;0
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;54;386;45;23;22;43;0;4;0;137;1
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;55;400;73;28;18;19;0;12;2;152;0
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;56;420;57;47;27;20;0;5;1;157;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;57;415;51;32;26;20;0;5;2;136;0
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;3;;58;414;59;41;24;20;1;13;2;160;2
582;Prévost;2022-10-03;G;Piedmont, m;1;;59;372;57;33;16;24;1;19;1;151;2
582;Prévost;2022-10-03;G;Piedmont, m;1;;60;381;68;40;9;20;1;20;1;159;5
582;Prévost;2022-10-03;G;Piedmont, m;1;;61;366;58;22;19;20;2;11;0;132;4
582;Prévost;2022-10-03;G;Piedmont, m;1;;62;363;46;26;5;30;1;18;0;126;3
582;Prévost;2022-10-03;G;Piedmont, m;1;;63;377;42;19;21;14;0;22;1;119;3
582;Prévost;2022-10-03;G;Piedmont, m;1;;64;372;49;19;11;12;0;17;3;111;0
582;Prévost;2022-10-03;G;Piedmont, m;1;;65;388;50;26;10;26;1;8;0;121;0
582;Prévost;2022-10-03;G;Piedmont, m;1;;66;389;49;19;25;20;0;12;1;126;2
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;67;364;53;28;13;8;0;26;2;130;4
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;68;365;55;15;9;3;1;9;0;92;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;69;355;46;15;11;24;0;10;2;108;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;70;378;50;16;4;21;0;6;1;98;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;71;362;55;32;17;25;0;7;2;138;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;72;367;54;9;9;8;0;10;2;92;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;73;344;36;26;11;12;2;8;1;96;4
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;74;380;46;24;8;12;1;4;4;99;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;1;;75;357;61;30;14;13;1;3;0;122;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;76;357;45;26;12;15;0;15;0;113;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;77;405;67;37;7;14;0;13;4;142;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;78;399;56;22;14;25;1;22;4;144;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;79;419;52;31;13;22;0;11;2;131;4
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;80;401;57;20;8;24;0;11;0;120;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;81;391;64;22;6;7;1;11;0;111;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;82;421;47;29;20;14;2;25;3;140;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;2;;83;391;59;25;16;41;0;7;2;150;2
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;84;397;50;24;22;24;0;18;6;144;3
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;85;393;49;24;23;24;0;11;1;132;2
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;86;387;42;29;5;31;0;11;0;118;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;87;395;51;34;7;23;0;18;2;135;3
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;88;410;52;23;16;27;2;24;2;146;0
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;89;402;51;28;23;29;0;11;3;145;4
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;90;419;58;22;15;25;1;18;2;141;1
582;Prévost;2022-10-03;G;Saint-Sauveur, v;3;;91;417;54;28;13;34;0;15;2;146;5
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;92;412;65;31;24;37;0;16;3;176;2
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;93;414;65;28;28;26;2;5;0;154;2
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;94;401;63;30;8;25;0;18;3;147;1
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;95;411;48;34;19;31;3;8;5;148;2
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;96;416;75;41;30;32;2;12;3;195;3
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;97;418;45;43;23;27;0;29;8;175;0
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;98;419;62;34;18;42;1;7;4;168;2
582;Prévost;2022-10-03;G;Sainte-Anne-des-Lacs, p;1;;99;405;50;24;23;31;0;11;1;140;0
582;Prévost;2022-10-03;G;Prévost, v;1;;100;371;54;49;21;24;0;11;1;160;5
582;Prévost;2022-10-03;G;Prévost, v;1;;101;375;71;35;25;40;1;3;4;179;2
582;Prévost;2022-10-03;G;Prévost, v;1;;102;379;58;23;15;38;1;4;4;143;1
582;Prévost;2022-10-03;G;Prévost, v;1;;103;387;63;39;26;30;1;12;3;174;1
582;Prévost;2022-10-03;G;Prévost, v;1;;104;380;43;42;23;28;0;8;1;145;6
582;Prévost;2022-10-03;G;Prévost, v;2;;105;398;58;46;22;28;0;8;1;163;4
582;Prévost;2022-10-03;G;Prévost, v;2;;106;409;81;45;22;36;0;1;1;186;1
582;Prévost;2022-10-03;G;Prévost, v;2;;107;402;91;42;13;30;0;7;1;184;4
582;Prévost;2022-10-03;G;Prévost, v;2;;108;405;57;40;10;45;0;9;4;165;4
582;Prévost;2022-10-03;G;Prévost, v;2;;109;402;49;51;20;41;0;10;4;175;6
582;Prévost;2022-10-03;G;Prévost, v;2;;110;412;57;41;20;41;0;11;1;171;5
582;Prévost;2022-10-03;G;Prévost, v;2;;111;405;73;52;16;38;1;9;4;193;0
582;Prévost;2022-10-03;G;Prévost, v;3;;112;381;51;34;28;27;0;10;6;156;3
582;Prévost;2022-10-03;G;Prévost, v;3;;113;349;55;31;19;31;0;6;2;144;4
582;Prévost;2022-10-03;G;Prévost, v;3;;114;363;71;30;15;33;0;8;4;161;0
582;Prévost;2022-10-03;G;Prévost, v;3;;115;362;71;36;19;25;0;7;0;158;0
582;Prévost;2022-10-03;G;Prévost, v;3;;116;364;106;44;10;18;0;12;4;194;1
582;Prévost;2022-10-03;G;Prévost, v;3;;117;357;76;27;22;33;0;10;0;168;0
582;Prévost;2022-10-03;G;Prévost, v;3;;118;365;85;43;5;27;0;15;1;176;0
