Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy E.A.;Fillion Marie-Soleil Ind;Grandmont Etienne Q.S.;Hélie Marie-Josée P.C.Q-E.E.D.;Joubert Jean-François C.Q.;Karim Andrew P.V.Q./G.P.Q.;Robin Jeanne P.Q.;St-Hilaire Pascale C.A.Q.-E.F.L.;Touré Ahmed Lamine P.L.Q./Q.L.P.;B.V.;B.R.
730;Taschereau;2022-10-03;G;Québec, v;50;;75;393;0;0;86;20;1;3;29;40;7;186;4
730;Taschereau;2022-10-03;G;Québec, v;50;;76;364;0;0;57;15;0;2;27;33;5;139;8
730;Taschereau;2022-10-03;G;Québec, v;51;;77;368;0;2;66;22;1;0;22;45;6;164;1
730;Taschereau;2022-10-03;G;Québec, v;51;;78;367;0;1;52;34;0;2;27;34;9;159;1
730;Taschereau;2022-10-03;G;Québec, v;51;;79;378;0;1;77;29;0;0;19;20;8;154;0
730;Taschereau;2022-10-03;G;Québec, v;51;;80;369;0;1;89;16;2;1;23;13;11;156;4
730;Taschereau;2022-10-03;G;Québec, v;51;;81;386;1;1;70;20;1;3;31;47;11;185;4
730;Taschereau;2022-10-03;G;Québec, v;51;;82;396;2;1;52;33;1;0;28;40;12;169;5
730;Taschereau;2022-10-03;G;Québec, v;51;;83;379;1;0;71;24;1;2;26;28;7;160;2
730;Taschereau;2022-10-03;G;Québec, v;52;;84;369;0;2;80;17;0;1;21;26;3;150;2
730;Taschereau;2022-10-03;G;Québec, v;52;;85;332;0;0;65;12;1;1;26;24;4;133;2
730;Taschereau;2022-10-03;G;Québec, v;52;;86;327;0;0;66;21;1;2;21;15;4;130;2
730;Taschereau;2022-10-03;G;Québec, v;52;;87;332;0;2;84;13;0;1;26;18;5;149;1
730;Taschereau;2022-10-03;G;Québec, v;52;;88;316;0;1;79;3;0;1;18;28;5;135;0
730;Taschereau;2022-10-03;G;Québec, v;53;;89;330;0;0;71;12;0;2;25;16;8;134;3
730;Taschereau;2022-10-03;G;Québec, v;53;;90;337;1;1;97;23;1;3;23;22;8;179;0
730;Taschereau;2022-10-03;G;Québec, v;53;;91;352;0;1;114;16;1;1;34;13;3;183;2
