Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Jocelyn P.Q.;Charles Gary P.C.Q-E.E.D.;Derraji Monsef P.L.Q./Q.L.P.;Hanif Neena B.M.-E.B.H.;Hennawy Michael D.D.;Lapierre Cynthia C.A.Q.-E.F.L.;Larue-Bourdages Maxime Q.S.;Marier Jean P.C.Q./C.P.Q;Reiniger Daniel P.V.Q./G.P.Q.;B.V.;B.R.
312;Nelligan;2022-10-03;G;Montréal, v;2;;48;403;5;22;73;1;1;16;7;4;4;133;1
312;Nelligan;2022-10-03;G;Montréal, v;2;;49;400;14;30;51;3;1;23;11;2;1;136;2
312;Nelligan;2022-10-03;G;Montréal, v;3;;50;379;3;38;85;1;2;7;11;12;3;162;0
312;Nelligan;2022-10-03;G;Montréal, v;3;;51;396;1;21;80;2;0;13;10;2;0;129;0
312;Nelligan;2022-10-03;G;Montréal, v;3;;52;393;3;36;60;0;2;7;8;3;2;121;2
312;Nelligan;2022-10-03;G;Montréal, v;3;;53;388;6;22;55;5;3;17;8;4;2;122;1
312;Nelligan;2022-10-03;G;Montréal, v;3;;54;392;5;39;84;3;0;14;17;7;3;172;3
312;Nelligan;2022-10-03;G;Montréal, v;3;;55;387;9;34;85;5;0;13;12;9;1;168;2
312;Nelligan;2022-10-03;G;Montréal, v;3;;56;377;5;24;81;3;0;20;9;5;3;150;4
312;Nelligan;2022-10-03;G;Montréal, v;3;;57;389;7;37;94;1;3;17;7;9;2;177;1
312;Nelligan;2022-10-03;G;Montréal, v;3;;58;384;3;16;82;0;0;22;7;6;3;139;0
312;Nelligan;2022-10-03;G;Montréal, v;3;;59;402;1;29;59;1;0;17;5;4;2;118;1
312;Nelligan;2022-10-03;G;Montréal, v;4;;60;381;3;18;88;2;0;17;9;3;2;142;1
312;Nelligan;2022-10-03;G;Montréal, v;4;;61;375;4;31;81;4;0;11;8;4;2;145;3
312;Nelligan;2022-10-03;G;Montréal, v;4;;62;369;3;20;70;3;1;9;6;3;2;117;0
312;Nelligan;2022-10-03;G;Montréal, v;4;;63;378;6;28;62;5;1;10;8;2;6;128;0
