Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bratkova Tzarevna P.C.Q-E.E.D.;Caron Linda P.L.Q./Q.L.P.;Gagnon Suzanne P.Q.;Gatien Samuel C.A.Q.-E.F.L.;Mugaba Jean-Claude Q.S.;Newbergher Ryan Akshay P.V.Q./G.P.Q.;Pinel Donna P.C.Q./C.P.Q;B.V.;B.R.
236;La Pinière;2022-10-03;G;Brossard, v;9;;90;381;14;58;11;31;33;1;5;153;1
236;La Pinière;2022-10-03;G;Brossard, v;10;;91;374;14;58;7;25;5;3;0;112;1
236;La Pinière;2022-10-03;G;Brossard, v;10;;92;388;16;84;11;30;28;3;2;174;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;93;372;8;63;10;47;25;4;1;158;4
236;La Pinière;2022-10-03;G;Brossard, v;10;;94;344;22;52;6;35;12;2;2;131;2
236;La Pinière;2022-10-03;G;Brossard, v;10;;95;344;27;56;2;29;11;5;4;134;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;96;391;15;46;9;37;34;3;2;146;2
236;La Pinière;2022-10-03;G;Brossard, v;10;;97;376;10;63;8;45;12;4;1;143;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;98A;411;17;68;5;18;28;4;0;140;1
236;La Pinière;2022-10-03;G;Brossard, v;10;;98B;412;16;37;11;55;15;2;0;136;2
236;La Pinière;2022-10-03;G;Brossard, v;10;;99A;234;14;16;3;28;15;2;1;79;2
236;La Pinière;2022-10-03;G;Brossard, v;10;;99B;237;7;10;9;30;15;2;0;73;2
236;La Pinière;2022-10-03;G;Brossard, v;10;;100;412;25;80;11;41;16;0;0;173;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;101;363;26;68;14;28;29;5;1;171;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;102;365;19;34;10;30;12;5;2;112;4
236;La Pinière;2022-10-03;G;Brossard, v;10;;103;364;24;55;7;36;17;0;3;142;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;104;365;17;54;7;23;24;8;0;133;1
236;La Pinière;2022-10-03;G;Brossard, v;10;;105;366;23;106;6;19;6;1;5;166;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;106;366;21;55;8;35;19;1;2;141;0
236;La Pinière;2022-10-03;G;Brossard, v;10;;107;402;23;39;7;26;27;2;3;127;4
236;La Pinière;2022-10-03;G;Brossard, v;10;;108;357;11;64;7;27;27;2;2;140;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;109;425;17;79;17;47;24;1;6;191;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;110;399;24;73;12;49;30;1;0;189;2
236;La Pinière;2022-10-03;G;Brossard, v;11;;111;421;11;78;5;43;25;2;10;174;1
236;La Pinière;2022-10-03;G;Brossard, v;11;;112;404;19;53;6;28;16;1;1;124;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;113;407;18;68;21;59;25;4;5;200;3
236;La Pinière;2022-10-03;G;Brossard, v;11;;114;392;18;76;16;55;18;2;3;188;2
236;La Pinière;2022-10-03;G;Brossard, v;11;;115;403;19;75;10;36;19;1;3;163;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;116;405;13;54;7;27;11;2;2;116;2
236;La Pinière;2022-10-03;G;Brossard, v;11;;117;393;21;71;13;32;19;3;2;161;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;118;419;14;63;9;23;29;4;5;147;5
236;La Pinière;2022-10-03;G;Brossard, v;11;;119;380;22;58;10;30;17;1;0;138;0
236;La Pinière;2022-10-03;G;Brossard, v;11;;120;421;31;57;11;23;24;5;1;152;3
236;La Pinière;2022-10-03;G;Brossard, v;11;;121;399;16;76;20;47;28;2;3;192;4
236;La Pinière;2022-10-03;G;Brossard, v;11;;122;390;19;69;15;43;21;2;4;173;1
236;La Pinière;2022-10-03;G;Brossard, v;12;;123;410;14;78;8;46;31;3;1;181;0
236;La Pinière;2022-10-03;G;Brossard, v;12;;124;406;19;63;12;27;18;4;1;144;1
236;La Pinière;2022-10-03;G;Brossard, v;12;;125;364;13;60;15;46;19;1;2;156;1
236;La Pinière;2022-10-03;G;Brossard, v;12;;126;388;17;56;11;46;25;0;0;155;1
236;La Pinière;2022-10-03;G;Brossard, v;12;;127;392;13;79;15;32;18;1;1;159;3
236;La Pinière;2022-10-03;G;Brossard, v;12;;128;373;13;65;17;40;22;0;1;158;2
236;La Pinière;2022-10-03;G;Brossard, v;12;;129;374;24;54;15;29;19;2;0;143;0
236;La Pinière;2022-10-03;G;Brossard, v;12;;130;384;10;44;9;32;10;0;0;105;1
236;La Pinière;2022-10-03;G;Brossard, v;13;;131;386;24;50;5;38;22;2;1;142;7
