Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alvarez Luis P.V.Q./G.P.Q.;Elayoubi Karim P.C.Q-E.E.D.;Girard François P.Q.;Grondin Agnès C.A.Q.-E.F.L.;Lachaine Marcel Q.S.;Lalonde Jean P.C.Q./C.P.Q;LeBel Philippe P.L.Q./Q.L.P.;Milot Marie-Eve D.D.;B.V.;B.R.
520;Argenteuil;2022-10-03;G;BVA3: SV no 13 à 18;;;;0;4;41;55;248;21;0;25;5;399;3
520;Argenteuil;2022-10-03;G;BVA4: SV no 19 à 24;;;;0;5;48;49;344;16;4;31;0;497;13
520;Argenteuil;2022-10-03;G;BVA5: SV no 25 à 30;;;;0;0;66;42;368;31;2;41;2;552;3
520;Argenteuil;2022-10-03;G;BVA6: SV no 31 à 35, 95 à 96;;;;0;2;30;45;200;27;3;22;0;329;1
520;Argenteuil;2022-10-03;G;BVA7: SV no 36 à 42;;;;0;2;79;78;283;34;5;62;0;543;3
520;Argenteuil;2022-10-03;G;BVA8: SV no 43 à 49;;;;0;7;81;44;342;35;1;34;1;545;5
520;Argenteuil;2022-10-03;G;BVA9: SV no 50 à 55;;;;0;4;52;27;288;21;9;69;0;470;3
520;Argenteuil;2022-10-03;G;BVA10: SV no 56 à 60;;;;0;0;52;49;210;24;3;56;4;398;2
520;Argenteuil;2022-10-03;G;BVA11: SV no 61 à 68;;;;0;7;36;35;167;21;21;94;2;383;3
520;Argenteuil;2022-10-03;G;BVA12: SV no 70 à 74;;;;0;4;17;63;179;35;6;16;1;321;2
520;Argenteuil;2022-10-03;G;BVA13: SV no 75 à 79;;;;0;3;23;88;194;48;12;70;0;438;1
520;Argenteuil;2022-10-03;G;BVA14: SV no 80 à 84;;;;0;6;33;76;324;29;6;88;3;565;7
520;Argenteuil;2022-10-03;G;BVA15: SV no 85 à 89;;;;0;4;28;92;149;47;14;101;1;436;3
520;Argenteuil;2022-10-03;G;BVA16: SV no 69, 90 à 94;;;;0;1;32;49;142;32;7;44;0;307;0
520;Argenteuil;2022-10-03;G;BVA17: SV no 99 à 105;;;;0;3;45;88;257;41;3;39;0;476;6
520;Argenteuil;2022-10-03;G;BVA18: SV no 106 à 111;;;;0;8;74;90;319;64;1;22;4;582;6
520;Argenteuil;2022-10-03;G;BVA19: SV no 112 à 117;;;;0;2;47;70;265;55;1;28;1;469;5
520;Argenteuil;2022-10-03;G;BVA20: SV no 97 à 98, 118 à 122;;;;0;3;63;98;318;34;1;17;0;534;3
520;Argenteuil;2022-10-03;G;BVA21: SV no 123 à 128;;;;0;9;56;85;346;51;2;32;1;582;5
520;Argenteuil;2022-10-03;G;BVA22: SV no 129 à 134;;;;0;7;57;89;339;56;0;16;0;564;6
520;Argenteuil;2022-10-03;G;Vote en installation d'hébergement;;;;0;0;10;12;83;5;4;33;2;149;9
520;Argenteuil;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;10;25;2;0;5;0;43;0
520;Argenteuil;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;10;85;106;316;56;9;94;3;679;23
520;Argenteuil;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Vote hors circonscription;;;;0;2;35;58;103;171;3;22;1;395;24
520;Argenteuil;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;24;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2022-10-03;G;Total de la circonscription;;;;51647;429;4807;5291;14725;3523;436;3325;113;32649;495
520;Argenteuil;2022-10-03;G;Majorité en faveur de Agnès Grondin : 9434;;;;;;;;;;;;;;
