Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cantin David P51;Corbeil Priscilla P.Q.;Domingue Jean P.C.Q-E.E.D.;Duhaime Ève Q.S.;Essaidi Odevie P.V.Q./G.P.Q.;Julien Jonatan C.A.Q.-E.F.L.;Pelletier Daniel D.D.;Sissoko Mahamadou P.L.Q./Q.L.P.;B.V.;B.R.
748;Charlesbourg;2022-10-03;G;Québec, v;83;;41;362;1;28;35;50;2;74;1;7;198;1
748;Charlesbourg;2022-10-03;G;Québec, v;83;;42;365;0;30;41;30;0;58;0;16;175;4
748;Charlesbourg;2022-10-03;G;Québec, v;83;;43A;243;1;16;13;7;0;41;0;7;85;1
748;Charlesbourg;2022-10-03;G;Québec, v;83;;43B;228;0;9;7;11;1;45;0;9;82;0
748;Charlesbourg;2022-10-03;G;Québec, v;83;;44;373;0;41;36;32;2;51;0;20;182;4
748;Charlesbourg;2022-10-03;G;Québec, v;83;;45;364;0;34;32;13;1;79;1;21;181;4
748;Charlesbourg;2022-10-03;G;Québec, v;83;;46;381;2;41;26;46;1;61;0;18;195;3
748;Charlesbourg;2022-10-03;G;Québec, v;84;;47;383;0;15;25;21;2;63;1;8;135;2
748;Charlesbourg;2022-10-03;G;Québec, v;84;;48;384;1;33;37;27;4;56;0;9;167;4
748;Charlesbourg;2022-10-03;G;Québec, v;84;;49;377;0;40;44;33;1;58;0;9;185;1
748;Charlesbourg;2022-10-03;G;Québec, v;84;;50;411;0;24;24;30;4;61;0;10;153;2
748;Charlesbourg;2022-10-03;G;Québec, v;84;;51;392;0;33;25;34;0;57;1;7;157;1
748;Charlesbourg;2022-10-03;G;Québec, v;84;;52;384;1;26;36;34;1;67;0;16;181;1
748;Charlesbourg;2022-10-03;G;Québec, v;85;;53;376;0;21;31;24;0;67;0;10;153;1
748;Charlesbourg;2022-10-03;G;Québec, v;85;;54;371;1;32;25;19;0;78;0;20;175;0
748;Charlesbourg;2022-10-03;G;Québec, v;85;;55;370;0;34;34;25;1;62;1;7;164;1
748;Charlesbourg;2022-10-03;G;Québec, v;85;;56;375;2;19;31;27;1;62;3;6;151;1
748;Charlesbourg;2022-10-03;G;Québec, v;85;;57;371;0;25;37;28;1;39;0;9;139;5
748;Charlesbourg;2022-10-03;G;Québec, v;85;;58;382;0;35;43;34;1;52;0;9;174;2
748;Charlesbourg;2022-10-03;G;Québec, v;86;;59;400;2;31;51;19;2;69;1;11;186;4
748;Charlesbourg;2022-10-03;G;Québec, v;86;;60;384;1;21;25;26;3;73;0;11;160;3
