Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bandou Rachid P.Q.;Gangai Federica B.M.-E.B.H.;Lakhoyan Olivier Sona P.L.Q./Q.L.P.;Merakos Konstantinos P.C.Q-E.E.D.;Nablia Sahbi P.V.Q./G.P.Q.;Platanitis George C.A.Q.-E.F.L.;Robert Zachary Q.S.;B.V.;B.R.
460;Chomedey;2022-10-03;G;Laval, v;27;;93;358;2;2;54;60;0;10;13;141;3
460;Chomedey;2022-10-03;G;Laval, v;29;;94;382;3;0;70;56;0;11;9;149;1
460;Chomedey;2022-10-03;G;Laval, v;29;;95;376;0;3;77;69;0;4;6;159;3
460;Chomedey;2022-10-03;G;Laval, v;29;;96;389;1;0;47;81;1;10;6;146;1
460;Chomedey;2022-10-03;G;Laval, v;29;;97;378;0;2;64;68;0;7;13;154;0
460;Chomedey;2022-10-03;G;Laval, v;29;;98;373;2;1;53;42;0;12;12;122;2
460;Chomedey;2022-10-03;G;Laval, v;29;;99;380;3;1;76;41;0;6;3;130;2
460;Chomedey;2022-10-03;G;Laval, v;29;;100;378;1;0;78;51;1;10;2;143;2
460;Chomedey;2022-10-03;G;Laval, v;29;;101;378;1;0;64;55;0;7;5;132;0
460;Chomedey;2022-10-03;G;Laval, v;29;;102;387;0;3;67;50;2;6;3;131;1
460;Chomedey;2022-10-03;G;Laval, v;29;;103;391;5;0;84;46;2;11;10;158;2
460;Chomedey;2022-10-03;G;Laval, v;29;;104;377;0;0;60;33;1;20;15;129;0
460;Chomedey;2022-10-03;G;Laval, v;29;;105;389;1;0;60;65;1;10;12;149;2
460;Chomedey;2022-10-03;G;Laval, v;29;;106;368;1;1;80;47;0;9;2;140;2
460;Chomedey;2022-10-03;G;Laval, v;29;;107;374;7;1;72;53;3;13;12;161;1
460;Chomedey;2022-10-03;G;Laval, v;29;;108;375;1;5;67;55;1;14;13;156;2
460;Chomedey;2022-10-03;G;Laval, v;30;;109;354;0;0;44;61;2;5;9;121;1
460;Chomedey;2022-10-03;G;Laval, v;30;;110;350;1;1;59;44;2;3;2;112;1
460;Chomedey;2022-10-03;G;Laval, v;30;;111;359;2;0;54;49;3;9;4;121;1
460;Chomedey;2022-10-03;G;Laval, v;30;;112;372;2;2;87;51;5;10;15;172;2
460;Chomedey;2022-10-03;G;Laval, v;30;;113;356;1;2;60;60;3;14;5;145;2
460;Chomedey;2022-10-03;G;Laval, v;30;;114;354;1;3;69;47;3;10;7;140;5
460;Chomedey;2022-10-03;G;Laval, v;30;;115;362;0;4;69;59;1;9;7;149;2
460;Chomedey;2022-10-03;G;Laval, v;30;;116;364;4;4;49;73;1;15;13;159;2
460;Chomedey;2022-10-03;G;Laval, v;31;;117;358;4;1;63;40;3;10;12;133;2
460;Chomedey;2022-10-03;G;Laval, v;31;;118;364;0;3;51;60;0;7;7;128;0
460;Chomedey;2022-10-03;G;Laval, v;31;;119;354;5;0;70;36;0;7;3;121;5
460;Chomedey;2022-10-03;G;Laval, v;31;;120;370;2;1;100;67;2;8;5;185;4
460;Chomedey;2022-10-03;G;Laval, v;31;;121;361;1;4;35;48;0;14;5;107;0
460;Chomedey;2022-10-03;G;Laval, v;31;;122;358;2;2;77;66;4;11;12;174;2
460;Chomedey;2022-10-03;G;Laval, v;32;;123;386;7;2;77;52;2;22;6;168;0
460;Chomedey;2022-10-03;G;Laval, v;32;;124;383;3;2;53;23;4;12;8;105;2
460;Chomedey;2022-10-03;G;Laval, v;32;;125;399;6;0;47;38;1;22;9;123;1
460;Chomedey;2022-10-03;G;Laval, v;32;;126;391;2;3;70;49;1;17;9;151;6
460;Chomedey;2022-10-03;G;Laval, v;32;;127;397;5;0;73;50;5;22;13;168;1
460;Chomedey;2022-10-03;G;Laval, v;32;;128;400;6;4;80;59;2;39;25;215;2
460;Chomedey;2022-10-03;G;Laval, v;32;;129;395;7;0;54;19;2;24;14;120;1
460;Chomedey;2022-10-03;G;Laval, v;33;;130;373;20;0;38;15;0;44;13;130;3
460;Chomedey;2022-10-03;G;Laval, v;33;;131;412;15;0;30;22;2;25;13;107;0
460;Chomedey;2022-10-03;G;Laval, v;33;;132;369;13;0;45;18;0;39;3;118;1
460;Chomedey;2022-10-03;G;Laval, v;33;;133;323;11;0;45;16;1;39;6;118;1
460;Chomedey;2022-10-03;G;Laval, v;33;;134;400;15;1;42;15;1;66;6;146;0
460;Chomedey;2022-10-03;G;Laval, v;33;;135;390;23;0;22;5;0;58;4;112;2
460;Chomedey;2022-10-03;G;Laval, v;33;;136;354;10;0;39;5;0;50;3;107;2
460;Chomedey;2022-10-03;G;Laval, v;33;;137;404;9;0;14;4;0;39;6;72;0
460;Chomedey;2022-10-03;G;Laval, v;33;;138;369;9;2;13;4;1;26;0;55;0
460;Chomedey;2022-10-03;G;Laval, v;34;;139;345;3;0;50;40;2;25;11;131;0
460;Chomedey;2022-10-03;G;Laval, v;34;;140;350;12;0;28;28;0;25;10;103;5
460;Chomedey;2022-10-03;G;Laval, v;34;;141;350;14;0;31;20;1;36;11;113;1
460;Chomedey;2022-10-03;G;Laval, v;35;;142;389;13;1;47;31;2;25;16;135;0
460;Chomedey;2022-10-03;G;Laval, v;35;;143;378;6;4;66;40;3;15;15;149;2
460;Chomedey;2022-10-03;G;Laval, v;35;;144;361;3;1;36;59;1;13;2;115;0
460;Chomedey;2022-10-03;G;Laval, v;35;;145;375;6;3;92;28;2;14;16;161;4
460;Chomedey;2022-10-03;G;Laval, v;35;;146;372;8;3;52;29;2;5;17;116;5
460;Chomedey;2022-10-03;G;Laval, v;35;;147;374;19;3;28;36;1;38;23;148;2
460;Chomedey;2022-10-03;G;Laval, v;35;;148;361;12;0;39;29;2;43;15;140;1
