Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Coulombe Éloïse P.C.Q-E.E.D.;Patenaude Samuel P.Q.;Picard Marilyne C.A.Q.-E.F.L.;Samson Sophie Q.S.;Solarik Kristian P.V.Q./G.P.Q.;St-Amour Catherine P.L.Q./Q.L.P.;B.V.;B.R.
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;61;407;22;15;62;22;7;44;172;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;62;409;40;14;63;16;6;64;203;5
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;63;376;23;9;33;12;3;65;145;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;64;390;22;5;37;10;2;88;164;3
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;65;391;6;10;63;18;2;54;153;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;66;391;25;7;32;11;4;96;175;5
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;67;385;23;8;23;3;10;89;156;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;68;387;34;8;27;14;7;77;167;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;69;389;39;10;43;10;7;69;178;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;70;404;22;3;51;20;7;90;193;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;4;;71;405;31;10;43;6;6;59;155;1
220;Soulanges;2022-10-03;G;Sainte-Marthe, m;1;;72;257;19;24;47;23;2;18;133;2
220;Soulanges;2022-10-03;G;Sainte-Marthe, m;1;;73;289;35;19;71;16;5;13;159;2
220;Soulanges;2022-10-03;G;Sainte-Marthe, m;1;;74;277;24;17;53;15;6;36;151;5
220;Soulanges;2022-10-03;G;Très-Saint-Rédempteur, m;1;;75;382;38;16;53;20;6;19;152;0
220;Soulanges;2022-10-03;G;Très-Saint-Rédempteur, m;1;;76;407;29;30;72;32;2;18;183;0
220;Soulanges;2022-10-03;G;Sainte-Justine-de-Newton, m;1;;77;380;45;32;90;37;3;24;231;2
220;Soulanges;2022-10-03;G;Sainte-Justine-de-Newton, m;1;;78;380;43;32;103;23;3;14;218;1
220;Soulanges;2022-10-03;G;Saint-Télesphore, m;1;;79;301;21;17;74;14;5;19;150;4
220;Soulanges;2022-10-03;G;Saint-Télesphore, m;1;;80;291;25;18;81;20;3;14;161;0
220;Soulanges;2022-10-03;G;Saint-Polycarpe, m;1;;81;372;25;19;83;34;4;20;185;4
