Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubertin Marie-Noëlle Q.S.;Craig-Larouche Jeanne P.Q.;Girard Eric C.A.Q.-E.F.L.;Medaino-Tardif Audrey P.L.Q./Q.L.P.;Messore Valerie P.C.Q-E.E.D.;Shahsavar-Arshad Victoria P.V.Q./G.P.Q.;B.V.;B.R.
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;40;405;45;33;67;7;23;2;177;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;41;397;40;30;72;17;20;1;180;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;42;390;20;23;84;14;18;3;162;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;43;383;27;25;75;13;16;2;158;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;44;393;13;20;73;8;0;0;114;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;45;398;21;24;85;12;15;1;158;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;46;410;30;37;71;22;16;3;179;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;47;387;49;36;67;12;17;3;184;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;48;394;49;26;81;13;11;3;183;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;49;415;34;27;46;15;16;2;140;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;50;398;24;32;63;8;21;2;150;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;51;393;21;36;81;16;7;2;163;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;5;;52;405;20;19;88;25;16;1;169;3
502;Groulx;2022-10-03;G;Boisbriand, v;1;;53;409;29;30;56;13;27;2;157;5
502;Groulx;2022-10-03;G;Boisbriand, v;1;;54;396;36;20;74;5;17;1;153;4
502;Groulx;2022-10-03;G;Boisbriand, v;1;;55;414;6;29;74;14;11;0;134;2
502;Groulx;2022-10-03;G;Boisbriand, v;1;;56;402;12;18;68;10;11;1;120;0
502;Groulx;2022-10-03;G;Boisbriand, v;1;;57;406;24;17;67;14;20;1;143;2
502;Groulx;2022-10-03;G;Boisbriand, v;1;;58;403;7;32;61;16;12;0;128;2
502;Groulx;2022-10-03;G;Boisbriand, v;1;;59;396;33;23;68;16;16;0;156;2
502;Groulx;2022-10-03;G;Boisbriand, v;1;;60;398;23;24;74;18;8;1;148;1
502;Groulx;2022-10-03;G;Boisbriand, v;1;;61;404;29;36;88;20;24;5;202;5
502;Groulx;2022-10-03;G;Boisbriand, v;1;;62;396;38;16;78;25;13;4;174;2
502;Groulx;2022-10-03;G;Boisbriand, v;1;;63;400;44;36;84;22;9;1;196;3
502;Groulx;2022-10-03;G;Boisbriand, v;1;;64;385;36;27;85;14;24;3;189;1
502;Groulx;2022-10-03;G;Boisbriand, v;1;;65;396;28;32;64;20;15;3;162;0
502;Groulx;2022-10-03;G;Boisbriand, v;1;;66;395;34;17;67;19;14;4;155;6
502;Groulx;2022-10-03;G;Boisbriand, v;1;;67;395;31;17;56;14;16;1;135;4
502;Groulx;2022-10-03;G;Boisbriand, v;1;;68;412;13;7;44;5;1;0;70;1
502;Groulx;2022-10-03;G;Boisbriand, v;1;;69;405;0;0;21;0;4;0;25;0
502;Groulx;2022-10-03;G;Boisbriand, v;1;;70;397;1;1;26;0;11;0;39;0
502;Groulx;2022-10-03;G;Boisbriand, v;1;;71;410;46;19;49;22;16;0;152;3
502;Groulx;2022-10-03;G;Boisbriand, v;2;;72;381;33;20;74;26;16;1;170;3
502;Groulx;2022-10-03;G;Boisbriand, v;2;;73;388;22;19;88;23;10;1;163;3
502;Groulx;2022-10-03;G;Boisbriand, v;2;;74;383;32;28;80;29;14;0;183;2
502;Groulx;2022-10-03;G;Boisbriand, v;2;;75;388;29;24;37;15;21;1;127;0
502;Groulx;2022-10-03;G;Boisbriand, v;2;;76;382;29;23;102;21;21;0;196;3
502;Groulx;2022-10-03;G;Boisbriand, v;2;;77;378;21;32;69;32;13;1;168;1
502;Groulx;2022-10-03;G;Boisbriand, v;2;;78;384;25;29;75;17;23;1;170;2
502;Groulx;2022-10-03;G;Boisbriand, v;2;;79;380;40;31;97;18;28;2;216;3
502;Groulx;2022-10-03;G;Boisbriand, v;2;;80;394;50;26;70;28;22;4;200;2
502;Groulx;2022-10-03;G;Boisbriand, v;2;;81;379;17;20;54;25;21;2;139;1
502;Groulx;2022-10-03;G;Boisbriand, v;2;;82;398;37;23;60;9;31;3;163;0
502;Groulx;2022-10-03;G;Boisbriand, v;2;;83;382;27;33;81;11;24;2;178;2
502;Groulx;2022-10-03;G;Boisbriand, v;2;;84;378;27;24;70;15;18;3;157;1
502;Groulx;2022-10-03;G;Boisbriand, v;3;;85;387;21;29;56;20;32;1;159;1
502;Groulx;2022-10-03;G;Boisbriand, v;3;;86;354;30;25;61;11;10;0;137;0
502;Groulx;2022-10-03;G;Boisbriand, v;3;;87;379;29;29;78;13;15;0;164;0
502;Groulx;2022-10-03;G;Boisbriand, v;3;;88;366;38;42;66;17;19;1;183;1
502;Groulx;2022-10-03;G;Boisbriand, v;3;;89;370;31;25;46;21;14;4;141;2
502;Groulx;2022-10-03;G;Boisbriand, v;3;;90;376;36;26;77;12;11;4;166;3
502;Groulx;2022-10-03;G;Boisbriand, v;3;;91;357;16;14;64;17;8;2;121;2
502;Groulx;2022-10-03;G;Boisbriand, v;3;;92;373;27;21;56;25;12;1;142;1
502;Groulx;2022-10-03;G;Boisbriand, v;3;;93;372;22;32;83;28;14;0;179;0
502;Groulx;2022-10-03;G;Boisbriand, v;4;;94;393;34;20;28;9;11;3;105;3
502;Groulx;2022-10-03;G;Boisbriand, v;4;;95;390;28;21;41;9;20;1;120;1
502;Groulx;2022-10-03;G;Boisbriand, v;4;;96;401;33;34;62;29;23;2;183;2
502;Groulx;2022-10-03;G;Boisbriand, v;4;;97;385;41;20;43;12;12;3;131;0
502;Groulx;2022-10-03;G;Boisbriand, v;4;;98;406;30;25;89;26;13;3;186;7
502;Groulx;2022-10-03;G;Boisbriand, v;4;;99;390;41;23;31;12;15;3;125;4
502;Groulx;2022-10-03;G;Boisbriand, v;4;;100;389;24;35;68;21;16;0;164;3
502;Groulx;2022-10-03;G;Boisbriand, v;4;;101;394;41;20;48;10;19;2;140;4
502;Groulx;2022-10-03;G;Boisbriand, v;4;;102;392;31;30;48;36;39;2;186;2
502;Groulx;2022-10-03;G;Boisbriand, v;5;;103;371;32;20;94;37;20;8;211;2
502;Groulx;2022-10-03;G;Boisbriand, v;5;;104;369;44;40;53;12;20;4;173;1
502;Groulx;2022-10-03;G;Boisbriand, v;5;;105;365;27;23;70;17;15;3;155;3
502;Groulx;2022-10-03;G;Boisbriand, v;5;;106;383;33;19;76;32;19;0;179;1
502;Groulx;2022-10-03;G;Rosemère, v;1;;107;387;10;23;37;24;7;0;101;4
502;Groulx;2022-10-03;G;Rosemère, v;1;;108;382;21;24;63;30;22;0;160;2
502;Groulx;2022-10-03;G;Rosemère, v;1;;109;394;23;21;69;34;20;3;170;0
502;Groulx;2022-10-03;G;Rosemère, v;1;;110;394;16;25;78;29;26;2;176;4
502;Groulx;2022-10-03;G;Rosemère, v;1;;111;401;13;22;70;31;10;1;147;0
502;Groulx;2022-10-03;G;Rosemère, v;1;;112;405;40;30;69;22;15;5;181;0
502;Groulx;2022-10-03;G;Rosemère, v;1;;113;399;27;19;51;30;5;5;137;1
502;Groulx;2022-10-03;G;Rosemère, v;1;;114;403;36;29;69;23;19;4;180;0
