Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boundjia Catherine P.L.Q./Q.L.P.;Cartwright Jenny P.N.;Da Costa Emmanuel P.C.Q-E.E.D.;Ghazal Ruba Q.S.;Langlois Véronique P.V.Q./G.P.Q.;Lavictoire Florence C.A.Q.-E.F.L.;Mercier-Ullhorn Sabrina P.Q.;B.V.;B.R.
350;Mercier;2022-10-03;G;Montréal, v;181;;47;366;33;1;6;55;7;16;13;131;1
350;Mercier;2022-10-03;G;Montréal, v;181;;48;387;22;0;5;83;6;13;17;146;1
350;Mercier;2022-10-03;G;Montréal, v;181;;49;370;35;0;3;57;8;6;25;134;0
350;Mercier;2022-10-03;G;Montréal, v;181;;50;360;25;0;9;56;6;23;28;147;1
350;Mercier;2022-10-03;G;Montréal, v;181;;51;368;36;1;6;71;5;34;18;171;1
350;Mercier;2022-10-03;G;Montréal, v;181;;52;320;17;3;6;85;4;21;22;158;1
350;Mercier;2022-10-03;G;Montréal, v;181;;53;378;38;2;8;69;2;37;31;187;1
350;Mercier;2022-10-03;G;Montréal, v;181;;54;359;41;3;10;68;7;12;23;164;1
350;Mercier;2022-10-03;G;Montréal, v;182;;55;417;48;0;4;98;8;20;39;217;0
350;Mercier;2022-10-03;G;Montréal, v;182;;56;385;39;0;13;74;10;11;17;164;2
350;Mercier;2022-10-03;G;Montréal, v;182;;57;349;18;1;4;81;6;21;29;160;0
350;Mercier;2022-10-03;G;Montréal, v;182;;58;396;17;0;8;89;10;19;23;166;1
350;Mercier;2022-10-03;G;Montréal, v;182;;59;368;24;2;9;84;8;21;19;167;3
350;Mercier;2022-10-03;G;Montréal, v;182;;60;370;23;1;4;61;3;17;27;136;0
350;Mercier;2022-10-03;G;Montréal, v;182;;61;352;7;0;5;82;5;12;28;139;0
350;Mercier;2022-10-03;G;Montréal, v;182;;62;382;11;0;6;81;6;23;22;149;2
350;Mercier;2022-10-03;G;Montréal, v;182;;63;411;10;0;7;93;6;11;30;157;1
350;Mercier;2022-10-03;G;Montréal, v;183;;64;376;17;0;9;110;4;26;19;185;1
350;Mercier;2022-10-03;G;Montréal, v;183;;65;374;28;0;10;68;1;27;15;149;1
350;Mercier;2022-10-03;G;Montréal, v;183;;66;388;19;0;3;84;4;7;18;135;4
350;Mercier;2022-10-03;G;Montréal, v;183;;67;403;23;0;3;107;7;20;30;190;1
350;Mercier;2022-10-03;G;Montréal, v;183;;68;386;36;1;5;79;7;11;31;170;2
350;Mercier;2022-10-03;G;Montréal, v;183;;69;381;16;0;4;68;2;11;24;125;0
350;Mercier;2022-10-03;G;Montréal, v;184;;70;385;17;1;6;70;11;7;20;132;2
350;Mercier;2022-10-03;G;Montréal, v;184;;71;379;14;1;3;58;4;10;22;112;0
350;Mercier;2022-10-03;G;Montréal, v;184;;72;366;19;0;0;69;8;15;16;127;0
350;Mercier;2022-10-03;G;Montréal, v;184;;73;398;13;1;3;59;8;18;22;124;1
350;Mercier;2022-10-03;G;Montréal, v;185;;74;422;23;2;11;112;6;16;21;191;2
350;Mercier;2022-10-03;G;Montréal, v;185;;75;386;26;0;6;77;3;20;29;161;4
350;Mercier;2022-10-03;G;Montréal, v;185;;76;389;24;3;9;87;4;27;21;175;3
350;Mercier;2022-10-03;G;Montréal, v;185;;77;377;24;3;4;105;7;16;27;186;0
350;Mercier;2022-10-03;G;Montréal, v;185;;78;388;25;0;3;88;11;23;32;182;3
350;Mercier;2022-10-03;G;Montréal, v;185;;79;372;17;0;2;79;5;19;18;140;3
350;Mercier;2022-10-03;G;Montréal, v;185;;80;413;21;1;6;112;4;22;30;196;4
350;Mercier;2022-10-03;G;Montréal, v;185;;81;371;12;1;3;66;5;8;17;112;1
350;Mercier;2022-10-03;G;Montréal, v;185;;82;361;11;1;6;77;4;13;16;128;4
350;Mercier;2022-10-03;G;Montréal, v;185;;83;390;22;2;4;97;2;8;23;158;1
350;Mercier;2022-10-03;G;Montréal, v;186;;84;357;11;1;2;96;3;12;23;148;2
350;Mercier;2022-10-03;G;Montréal, v;186;;85;361;13;1;8;83;6;8;30;149;1
350;Mercier;2022-10-03;G;Montréal, v;186;;86;317;9;2;2;91;2;13;27;146;1
350;Mercier;2022-10-03;G;Montréal, v;186;;87;343;19;1;7;68;3;12;27;137;0
350;Mercier;2022-10-03;G;Montréal, v;186;;88;368;11;0;7;88;2;15;24;147;3
350;Mercier;2022-10-03;G;Montréal, v;187;;89;357;13;1;9;67;3;20;13;126;1
350;Mercier;2022-10-03;G;Montréal, v;187;;90;352;24;1;1;66;7;15;11;125;0
350;Mercier;2022-10-03;G;Montréal, v;187;;91;323;5;0;6;88;2;12;30;143;1
350;Mercier;2022-10-03;G;Montréal, v;187;;92;323;11;0;9;92;3;12;27;154;0
350;Mercier;2022-10-03;G;Montréal, v;187;;93;343;8;2;7;80;3;10;20;130;0
