Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Choquette Raymond D.D.;Girard-Duchaine Alexandre P.Q.;Lavertu Pierre-Luc Q.S.;Lemieux Louis C.A.Q.-E.F.L.;Melnitzky Dominick P.C.Q-E.E.D.;Roy Benjamin P.L.Q./Q.L.P.;Thériault Denis C.Q.;B.V.;B.R.
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;12;;85;371;1;27;31;37;19;6;1;122;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;12;;86;347;1;26;39;37;17;4;1;125;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;12;;87;353;0;28;35;42;24;6;1;136;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;12;;88;374;2;32;53;37;22;5;2;153;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;89A;203;0;18;6;32;10;6;0;72;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;89B;219;0;17;12;40;8;4;2;83;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;90;395;1;31;19;66;23;9;1;150;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;91;388;0;33;36;58;9;9;1;146;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;92;383;0;31;22;51;25;7;1;137;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;93;420;0;29;46;59;17;3;3;157;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;13;;94;424;1;30;36;60;26;12;0;165;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;95;382;1;34;23;50;22;7;0;137;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;96;380;0;22;28;49;11;6;1;117;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;97;383;2;26;32;31;19;3;1;114;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;98;389;1;21;31;45;10;8;2;118;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;99;349;0;22;43;17;15;6;3;106;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;100;363;0;26;38;41;14;4;1;124;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;101;364;0;23;22;29;9;6;2;91;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;102A;231;0;18;9;31;9;6;1;74;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;14;;102B;272;0;20;18;35;8;1;2;84;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;103;363;1;40;33;54;19;6;0;153;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;104;355;0;28;26;57;5;12;1;129;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;105;350;0;34;17;51;10;4;3;119;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;106;375;0;30;28;70;12;2;1;143;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;107;389;0;34;21;45;17;3;2;122;7
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;15;;108;367;0;38;34;65;15;16;2;170;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;109;386;2;33;34;96;15;10;2;192;1
