Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Marc P.L.Q./Q.L.P.;Dauphinais Chantal P.C.Q-E.E.D.;Desforges Claudine P.Q.;Poirier Emilie Q.S.;Reid Claude C.A.Q.-E.F.L.;Savard Hélène P.V.Q./G.P.Q.;Taillefer Mathieu C.Q.;B.V.;B.R.
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;73;384;10;27;26;31;91;0;0;185;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;74;404;6;15;17;28;73;2;1;142;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;75;349;3;18;28;14;65;0;0;128;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;76;362;14;25;23;23;86;3;1;175;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;77;372;8;13;26;26;59;0;1;133;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;78;368;8;10;32;30;70;1;0;151;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;79;380;12;9;29;29;75;1;2;157;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;80;351;9;12;30;16;81;1;0;149;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;81;376;8;26;30;30;70;0;0;164;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;82;376;3;19;23;28;58;1;0;132;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;83;383;10;13;18;30;81;2;0;154;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;84;388;5;18;25;16;66;4;2;136;7
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;85;379;2;26;16;17;76;1;1;139;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;86;396;8;30;29;26;55;2;1;151;7
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;87;396;8;23;34;27;71;2;2;167;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;88;381;11;9;32;23;80;0;1;156;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;12;;89;382;6;14;34;21;83;2;0;160;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;90;393;7;29;44;20;93;4;2;199;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;91;392;9;38;47;28;74;2;3;201;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;92;400;16;12;40;40;81;1;0;190;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;93;399;4;26;25;24;92;2;0;173;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;94;376;16;7;29;10;83;1;1;147;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;95A;243;16;8;10;33;53;3;1;124;0
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;95B;243;15;18;15;22;51;1;0;122;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;1;;96;395;14;15;50;17;83;1;0;180;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;97;406;11;21;29;22;60;1;3;147;3
