Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé-Simard Félix-Antoine P.V.Q./G.P.Q.;Gamache Christiane C.A.Q.-E.F.L.;Ledoux Mario C.Q.;Moreau Claude P.M.L.Q.;Perreault Lucie D.D.;Peter Denise P.C.Q-E.E.D.;Potvin Michaël P.Q.;Robert Charles P.L.Q./Q.L.P.;Zanetti Sol Q.S.;B.V.;B.R.
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;44;285;0;23;0;0;0;17;9;8;51;108;0
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;45;382;1;54;1;0;0;22;28;5;21;132;5
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;46;390;2;29;0;0;0;25;13;5;71;145;6
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;47;369;1;54;3;0;0;22;17;4;32;133;1
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;48;400;2;34;0;1;0;19;14;7;79;156;1
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;49;369;2;28;1;0;0;16;18;5;69;139;2
736;Jean-Lesage;2022-10-03;G;Québec, v;66;;50;393;0;37;0;0;1;26;19;4;64;151;3
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;51;395;4;30;0;1;0;30;25;10;55;155;4
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;52;382;3;26;1;0;0;15;12;7;54;118;4
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;53;420;0;40;1;0;0;14;13;1;47;116;1
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;54;415;2;16;1;0;0;27;17;3;73;139;2
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;55;378;0;24;0;0;0;20;13;3;78;138;1
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;56;368;1;31;0;0;0;17;17;2;60;128;1
736;Jean-Lesage;2022-10-03;G;Québec, v;67;;57;385;1;17;0;0;0;20;25;8;79;150;1
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;58;331;3;19;0;0;0;14;15;4;81;136;0
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;59;349;2;27;1;0;0;6;24;8;85;153;2
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;60;307;2;20;1;0;0;24;6;2;73;128;2
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;61;379;2;29;2;0;1;17;17;2;57;127;3
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;62;357;1;34;0;0;0;16;21;8;80;160;1
736;Jean-Lesage;2022-10-03;G;Québec, v;68;;63;326;0;18;0;0;0;37;7;5;56;123;6
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;64;308;0;30;0;0;0;12;10;5;49;106;3
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;65;414;1;45;0;0;0;21;26;10;34;137;4
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;66;360;0;19;0;0;0;17;13;4;32;85;2
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;67;362;3;26;0;0;0;23;6;22;38;118;1
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;68;360;0;36;0;0;0;29;7;8;40;120;2
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;69;362;0;37;0;0;0;29;15;5;35;121;5
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;70;384;2;24;0;0;0;28;30;10;59;153;0
736;Jean-Lesage;2022-10-03;G;Québec, v;69;;71;354;2;28;0;0;0;23;12;2;69;136;1
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;72;380;5;21;0;0;0;16;15;5;55;117;2
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;73;388;1;28;1;0;1;22;19;5;76;153;3
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;74;390;2;22;0;0;0;25;16;5;74;144;3
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;75;366;0;36;0;1;0;16;12;5;46;116;4
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;76;373;1;24;0;0;0;24;11;3;35;98;2
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;77;370;4;30;0;1;0;22;19;8;56;140;5
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;78;406;2;30;0;0;0;25;12;7;71;147;2
736;Jean-Lesage;2022-10-03;G;Québec, v;70;;79;390;2;18;1;0;1;21;18;4;68;133;1
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;80;361;2;28;1;0;1;14;16;7;79;148;3
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;81;366;2;22;1;0;0;23;14;10;84;156;3
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;82;328;2;33;0;1;0;20;4;2;60;122;0
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;83;307;1;23;0;1;0;13;14;2;71;125;0
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;84;339;2;33;2;1;0;10;17;6;74;145;2
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;85;312;0;34;0;0;0;22;11;7;32;106;1
736;Jean-Lesage;2022-10-03;G;Québec, v;71;;86;319;0;34;1;1;1;8;10;8;12;75;2
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;87A;266;1;29;0;0;0;28;26;3;20;107;1
