Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barriault Jean-Sébastien C.A.Q.-E.F.L.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Leblanc Alexandre P.C.Q-E.E.D.;Lounsbury Harley Ryan P.L.Q./Q.L.P.;Rose Madeleine U.F.F.;B.V.;B.R.
842;Matane-Matapédia;2022-10-03;G;BVA12: SV no 63, 67, 71, 75, 79, 83;;;;0;75;254;8;26;8;1;372;2
842;Matane-Matapédia;2022-10-03;G;BVA13: SV no 53 à 62;;;;0;89;280;12;33;8;0;422;1
842;Matane-Matapédia;2022-10-03;G;BVA14: SV no 84 à 91;;;;0;57;291;9;26;18;2;403;2
842;Matane-Matapédia;2022-10-03;G;BVA15: SV no 92, 97, 102, 107, 112, 117;;;;0;62;206;18;5;13;3;307;2
842;Matane-Matapédia;2022-10-03;G;BVA16: SV no 93, 98, 103, 108, 113, 118;;;;0;89;192;11;14;6;0;312;5
842;Matane-Matapédia;2022-10-03;G;BVA17: SV no 94, 99, 104, 109, 114, 119;;;;0;100;252;9;17;6;0;384;2
842;Matane-Matapédia;2022-10-03;G;BVA18: SV no 95, 100, 105, 110, 115, 120;;;;0;72;215;20;20;11;0;338;3
842;Matane-Matapédia;2022-10-03;G;BVA19: SV no 96, 101, 106, 111, 116, 121;;;;0;93;227;21;23;6;0;370;3
842;Matane-Matapédia;2022-10-03;G;BVA20: SV no 122 à 128;;;;0;33;135;4;13;8;1;194;1
842;Matane-Matapédia;2022-10-03;G;BVA21: SV no 129 à 133;;;;0;36;142;23;29;13;1;244;1
842;Matane-Matapédia;2022-10-03;G;BVA22: SV no 134 à 139;;;;0;135;357;39;23;11;0;565;4
842;Matane-Matapédia;2022-10-03;G;Vote en installation d'hébergement;;;;0;139;233;6;12;33;3;426;17
842;Matane-Matapédia;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;45;95;4;8;11;1;164;2
842;Matane-Matapédia;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;122;425;45;31;12;2;637;6
842;Matane-Matapédia;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Vote hors circonscription;;;;0;19;173;104;21;8;0;325;10
842;Matane-Matapédia;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;21;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Total de la circonscription;;;;46286;5163;20057;1450;2316;637;123;29746;307
842;Matane-Matapédia;2022-10-03;G;Majorité en faveur de Pascal Bérubé : 14894;;;;;;;;;;;;
