Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bécotte Martin Q.S.;Gendron Marie-Belle C.A.Q.-E.F.L.;Lafleur Marianne P.Q.;Primeau Jean-François P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Viau Patric P.C.Q-E.E.D.;B.V.;B.R.
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;81;374;16;39;14;58;4;23;154;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;82;388;10;39;6;52;2;19;128;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;83;376;14;44;17;29;3;13;120;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;84;367;19;33;18;25;2;19;116;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;85;373;18;37;12;45;1;15;128;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;86;358;13;31;10;58;6;24;142;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;87;377;19;47;17;55;2;21;161;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;88;375;14;42;18;48;4;15;141;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;89;386;14;40;15;42;2;18;131;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;90;367;26;47;9;61;1;17;161;7
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;91;376;10;50;8;69;3;18;158;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;92;380;8;50;16;62;3;25;164;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;93;379;19;46;13;83;4;22;187;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;94;405;23;63;13;64;4;28;195;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;95;375;20;54;15;50;0;25;164;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;14;;96;383;16;66;13;67;4;20;186;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97A;239;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;;97B;442;1;0;0;11;0;3;15;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97C;352;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97D;211;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97E;363;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97F;337;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Kahnawake, r;1;Regr. BVDS-1;97G;369;0;0;0;0;0;0;0;0
226;Châteauguay;2022-10-03;G;Léry, v;1;;98;399;32;103;45;26;2;30;238;4
226;Châteauguay;2022-10-03;G;Léry, v;1;;99;411;49;111;50;23;2;23;258;8
226;Châteauguay;2022-10-03;G;Léry, v;1;;100;368;32;103;44;24;0;15;218;1
226;Châteauguay;2022-10-03;G;Léry, v;1;;101;381;28;79;35;44;3;22;211;6
226;Châteauguay;2022-10-03;G;Léry, v;1;;102;367;29;78;27;37;3;21;195;1
226;Châteauguay;2022-10-03;G;Mercier, v;1;;103;332;19;61;20;17;2;18;137;0
226;Châteauguay;2022-10-03;G;Mercier, v;1;;104;359;17;68;33;26;3;17;164;2
226;Châteauguay;2022-10-03;G;Mercier, v;1;;105;345;21;66;19;24;0;8;138;2
226;Châteauguay;2022-10-03;G;Mercier, v;1;;106;359;14;59;10;19;2;18;122;7
226;Châteauguay;2022-10-03;G;Mercier, v;1;;107;329;36;52;26;13;1;9;137;2
226;Châteauguay;2022-10-03;G;Mercier, v;1;;108;376;18;54;16;11;4;11;114;6
226;Châteauguay;2022-10-03;G;Mercier, v;1;;109;349;26;33;32;23;3;18;135;2
226;Châteauguay;2022-10-03;G;Mercier, v;1;;110;363;22;69;25;27;1;16;160;2
226;Châteauguay;2022-10-03;G;Mercier, v;2;;111;373;19;67;45;15;0;23;169;0
226;Châteauguay;2022-10-03;G;Mercier, v;2;;112;381;24;95;39;21;2;12;193;3
226;Châteauguay;2022-10-03;G;Mercier, v;2;;113;393;24;56;35;15;6;23;159;1
226;Châteauguay;2022-10-03;G;Mercier, v;2;;114;380;22;64;27;18;8;18;157;6
226;Châteauguay;2022-10-03;G;Mercier, v;2;;115;386;22;80;31;12;3;21;169;0
226;Châteauguay;2022-10-03;G;Mercier, v;2;;116;375;19;72;31;10;3;17;152;3
226;Châteauguay;2022-10-03;G;Mercier, v;2;;117;373;27;78;32;18;1;16;172;3
226;Châteauguay;2022-10-03;G;Mercier, v;3;;118;353;20;34;14;30;4;23;125;1
226;Châteauguay;2022-10-03;G;Mercier, v;3;;119;354;22;67;15;24;5;21;154;1
226;Châteauguay;2022-10-03;G;Mercier, v;3;;120;398;24;57;15;50;4;12;162;5
226;Châteauguay;2022-10-03;G;Mercier, v;3;;121;376;20;80;20;32;0;22;174;2
