Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Daou Grace P.C.Q-E.E.D.;Hanna Marie-France D.D.;Labelle Frédéric P.Q.;Laframboise Mario C.A.Q.-E.F.L.;Mercho Alexandre P.L.Q./Q.L.P.;Michaud Éric Q.S.;B.V.;B.R.
536;Blainville;2022-10-03;G;Blainville, v;9;;85;349;17;2;18;61;17;15;130;2
536;Blainville;2022-10-03;G;Blainville, v;9;;86;346;17;0;14;55;7;29;122;0
536;Blainville;2022-10-03;G;Blainville, v;9;;87;341;21;1;24;57;10;25;138;0
536;Blainville;2022-10-03;G;Blainville, v;9;;88;336;19;0;23;46;11;24;123;5
536;Blainville;2022-10-03;G;Blainville, v;9;;89;335;15;1;28;62;10;26;142;10
536;Blainville;2022-10-03;G;Blainville, v;10;;90;381;23;0;31;95;20;11;180;1
536;Blainville;2022-10-03;G;Blainville, v;10;;91;375;22;0;26;68;23;15;154;7
536;Blainville;2022-10-03;G;Blainville, v;10;;92;402;15;0;24;71;16;16;142;1
536;Blainville;2022-10-03;G;Blainville, v;10;;93;399;23;0;30;64;22;17;156;1
536;Blainville;2022-10-03;G;Blainville, v;10;;94;408;25;1;15;76;16;17;150;1
536;Blainville;2022-10-03;G;Blainville, v;10;;95;383;21;0;28;70;24;32;175;2
536;Blainville;2022-10-03;G;Blainville, v;11;;96;378;22;0;31;79;30;21;183;2
536;Blainville;2022-10-03;G;Blainville, v;11;;97;392;26;1;19;72;46;8;172;2
536;Blainville;2022-10-03;G;Blainville, v;11;;98;399;14;0;22;105;15;27;183;0
536;Blainville;2022-10-03;G;Blainville, v;11;;99;378;5;0;28;96;26;30;185;3
536;Blainville;2022-10-03;G;Blainville, v;11;;100;383;21;1;19;67;39;17;164;2
536;Blainville;2022-10-03;G;Blainville, v;11;;101;383;18;0;19;82;28;31;178;2
536;Blainville;2022-10-03;G;Blainville, v;11;;102;377;11;1;35;81;13;27;168;3
536;Blainville;2022-10-03;G;Blainville, v;11;;103;375;13;1;24;81;8;27;154;2
536;Blainville;2022-10-03;G;Blainville, v;11;;104;375;22;1;48;70;7;26;174;2
536;Blainville;2022-10-03;G;Blainville, v;12;;105;374;23;1;27;60;13;25;149;4
536;Blainville;2022-10-03;G;Blainville, v;12;;106;384;12;0;26;67;15;33;153;4
536;Blainville;2022-10-03;G;Blainville, v;12;;107;383;16;2;27;100;10;39;194;0
536;Blainville;2022-10-03;G;Blainville, v;12;;108;368;19;1;31;99;40;14;204;3
536;Blainville;2022-10-03;G;Blainville, v;13;;109;371;13;0;24;96;23;31;187;0
536;Blainville;2022-10-03;G;Blainville, v;13;;110;368;21;1;11;83;24;30;170;2
536;Blainville;2022-10-03;G;Blainville, v;13;;111;357;17;0;23;89;31;6;166;0
536;Blainville;2022-10-03;G;Blainville, v;13;;112;377;26;0;12;80;28;3;149;0
536;Blainville;2022-10-03;G;Blainville, v;13;;113;371;26;0;23;89;36;15;189;2
536;Blainville;2022-10-03;G;Blainville, v;13;;114;376;32;0;21;82;37;20;192;0
536;Blainville;2022-10-03;G;Blainville, v;13;;115;356;37;0;41;42;13;18;151;7
536;Blainville;2022-10-03;G;Blainville, v;13;;116;366;30;0;35;81;22;19;187;1
536;Blainville;2022-10-03;G;Blainville, v;13;;117;361;32;3;22;82;26;13;178;3
536;Blainville;2022-10-03;G;Blainville, v;13;;118;375;22;5;25;87;30;12;181;1
536;Blainville;2022-10-03;G;Blainville, v;13;;119;365;30;0;20;81;33;6;170;2
536;Blainville;2022-10-03;G;Blainville, v;13;;120;367;19;3;32;95;31;16;196;1
536;Blainville;2022-10-03;G;Blainville, v;13;;121;372;11;0;22;87;25;25;170;0
