Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Alexandre D.D.;Barbier Alain C.Q.;Bérubé-Lauzière Yves P.Q.;Dompierre Raphaëlle P.N.;Karny Victoria P.V.Q./G.P.Q.;Labrie Christine Q.S.;St-Amand Zoée P.C.Q-E.E.D.;St-Hilaire Caroline C.A.Q.-E.F.L.;Vaes François P.L.Q./Q.L.P.;B.V.;B.R.
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;117;357;1;0;23;0;2;71;18;54;9;178;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;118;368;0;1;11;0;0;87;9;22;12;142;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;119;362;0;1;19;0;4;62;16;52;16;170;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;120;350;0;0;7;4;5;75;9;46;10;156;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;121;354;0;0;4;0;3;71;10;29;6;123;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;122;363;0;0;21;0;1;69;22;45;17;175;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;22;;123;301;0;0;8;0;0;49;1;13;6;77;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;22;;124;326;1;0;17;1;2;60;12;26;7;126;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;22;;125;299;1;1;19;0;2;41;9;39;7;119;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;22;;126;309;0;0;16;1;2;55;11;32;13;130;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;127;364;0;0;22;0;0;62;16;58;5;163;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;128;353;0;0;19;1;0;86;24;58;12;200;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;129;350;0;0;10;0;0;58;17;61;21;167;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;130;357;0;0;29;1;1;69;13;56;7;176;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;131;362;0;0;15;0;3;65;16;74;2;175;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;132;362;0;0;14;1;2;55;29;61;9;171;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;23;;133;359;0;1;24;0;1;55;17;54;4;156;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;8;Regr. BVO-15;500;207;0;0;0;0;0;0;0;0;0;0;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;Regr. BVO-25;501;274;0;0;0;0;0;0;0;0;0;0;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;Regr. BVO-28;502;114;0;0;0;0;0;0;0;0;0;0;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;Regr. BVO-32;503;154;0;0;0;0;0;0;0;0;0;0;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;9;Regr. BVO-34;504;31;0;0;0;0;0;0;0;0;0;0;0
