Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baaklini Marc C.A.Q.-E.F.L.;Ciccone Enrico P.L.Q./Q.L.P.;Côté Jérémy Q.S.;Jauffur Shameem P.V.Q./G.P.Q.;Nassr Sam P.C.Q-E.E.D.;Richard Stéphane P.Q.;Vincent Ardea Félix Ind;B.V.;B.R.
306;Marquette;2022-10-03;G;Montréal, v;47;;82;389;9;88;18;5;22;6;2;150;3
306;Marquette;2022-10-03;G;Montréal, v;47;;83;405;33;45;22;4;15;10;0;129;2
306;Marquette;2022-10-03;G;Montréal, v;47;;84;407;36;47;29;5;12;12;1;142;8
306;Marquette;2022-10-03;G;Montréal, v;47;;85;374;31;69;21;2;14;5;0;142;1
306;Marquette;2022-10-03;G;Montréal, v;47;;86;369;25;32;16;2;9;10;1;95;2
306;Marquette;2022-10-03;G;Montréal, v;47;;87;375;25;32;12;3;9;9;1;91;3
306;Marquette;2022-10-03;G;Montréal, v;47;;88;347;30;44;10;4;10;5;1;104;1
306;Marquette;2022-10-03;G;Montréal, v;47;;89;387;22;54;16;6;14;15;2;129;4
306;Marquette;2022-10-03;G;Montréal, v;48;;90A;230;16;48;9;1;12;8;0;94;1
306;Marquette;2022-10-03;G;Montréal, v;48;;90B;197;16;36;13;1;10;9;0;85;0
306;Marquette;2022-10-03;G;Montréal, v;48;;91;391;30;40;20;2;6;20;0;118;3
306;Marquette;2022-10-03;G;Montréal, v;48;;92;372;53;50;28;7;17;19;0;174;3
306;Marquette;2022-10-03;G;Montréal, v;48;;93;379;55;43;26;5;12;8;0;149;3
306;Marquette;2022-10-03;G;Montréal, v;48;;94;377;35;66;15;4;21;14;1;156;1
306;Marquette;2022-10-03;G;Montréal, v;49;;95;353;34;51;20;3;12;19;1;140;5
306;Marquette;2022-10-03;G;Montréal, v;49;;96;366;42;55;9;4;21;16;0;147;4
306;Marquette;2022-10-03;G;Montréal, v;49;;97;367;51;38;22;4;8;32;2;157;0
306;Marquette;2022-10-03;G;Montréal, v;49;;98;352;28;43;25;3;20;19;1;139;5
306;Marquette;2022-10-03;G;Montréal, v;50;;99;375;31;43;33;6;6;23;0;142;2
306;Marquette;2022-10-03;G;Montréal, v;50;;100;352;33;37;14;2;5;11;0;102;0
306;Marquette;2022-10-03;G;Montréal, v;50;;101;357;46;29;24;2;15;18;1;135;1
306;Marquette;2022-10-03;G;Montréal, v;50;;102;247;24;23;14;0;9;8;1;79;1
306;Marquette;2022-10-03;G;Montréal, v;50;;103;359;21;41;37;8;12;25;0;144;2
306;Marquette;2022-10-03;G;Montréal, v;50;;104;365;53;50;22;1;8;14;1;149;3
306;Marquette;2022-10-03;G;Montréal, v;50;;105;356;28;52;12;7;19;17;0;135;0
306;Marquette;2022-10-03;G;Montréal, v;50;;106;388;15;66;23;7;20;16;1;148;0
306;Marquette;2022-10-03;G;Montréal, v;50;;107;377;42;57;30;0;12;4;3;148;3
306;Marquette;2022-10-03;G;Montréal, v;50;;108;359;26;45;14;5;17;18;0;125;0
306;Marquette;2022-10-03;G;Montréal, v;51;;109A;240;11;31;6;0;14;11;2;75;1
306;Marquette;2022-10-03;G;Montréal, v;51;;109B;213;15;35;14;3;12;6;1;86;1
