Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Dany P.C.Q-E.E.D.;Charron Claude P.L.Q./Q.L.P.;Dion Olivier C.Q.;Généreux Mélissa Q.S.;Hébert Geneviève C.A.Q.-E.F.L.;McInerney Colleen P.C.Q./C.P.Q;Tanguay Sylvie P.Q.;B.V.;B.R.
110;Saint-François;2022-10-03;G;Sherbrooke, v;34;;85;392;14;9;1;33;38;2;12;109;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;34;;86;391;24;8;0;63;56;0;15;166;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;34;;87;409;21;5;3;43;48;0;15;135;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;34;;88;391;20;8;2;57;52;0;15;154;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;89;370;19;4;1;65;23;0;9;121;11
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;90;369;15;8;1;59;28;1;7;119;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;91;373;19;6;3;92;34;0;12;166;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;92;381;15;7;1;93;43;0;14;173;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;93;391;11;8;0;63;44;0;13;139;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;35;;94;371;4;7;0;39;53;0;14;117;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;95;391;12;12;0;32;85;0;19;160;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;96;394;11;4;0;65;76;0;27;183;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;97;376;25;7;0;58;56;0;19;165;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;98;381;11;3;2;85;80;0;20;201;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;99;387;26;6;0;62;59;1;20;174;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;100;400;23;12;1;52;98;1;19;206;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;101;395;23;3;0;42;43;1;25;137;2
