Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouazzi Haroun Q.S.;Bouchardy Patrick C.Q.;Chéry Théodat Kassandre Ind;Di Stefano Andrea B.M.-E.B.H.;Fournelle Gilles P.V.Q./G.P.Q.;Jorg Chantal P.Q.;Marleau Jonathan P.L.Q./Q.L.P.;Murray Audrey C.A.Q.-E.F.L.;Sexton Louise P.C.Q-E.E.D.;B.V.;B.R.
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;61;410;49;0;0;0;2;28;47;35;12;173;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;62;371;56;0;0;0;2;33;14;38;4;147;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;63;376;58;0;0;2;2;31;25;42;11;171;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;64;387;70;0;0;0;1;27;26;43;3;170;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;65;394;74;3;0;1;4;37;17;32;11;179;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;66;377;58;1;0;0;0;20;22;47;10;158;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;252;;67;382;41;0;0;0;3;31;30;30;5;140;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;68;399;77;0;1;0;4;28;35;24;11;180;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;69;386;51;0;0;0;4;24;28;32;12;151;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;70;400;71;2;1;1;4;32;22;61;11;205;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;71;395;82;0;1;1;3;29;47;37;5;205;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;72;407;71;1;2;0;1;26;24;41;9;175;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;73;401;85;0;1;0;2;33;15;64;7;207;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;253;;74;393;57;1;4;0;1;16;32;32;9;152;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;75;354;55;0;0;2;2;18;45;26;9;157;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;76;353;41;1;0;0;3;11;38;52;5;151;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;77;368;63;0;1;0;2;19;47;25;8;165;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;78;361;56;2;0;1;2;17;46;34;6;164;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;79;364;51;0;2;0;1;12;47;31;8;152;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;80;355;46;0;0;4;1;10;78;21;11;171;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;81;360;40;2;0;5;2;11;74;32;8;174;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;82;361;50;0;0;1;2;22;26;39;9;149;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;254;;83;372;58;0;1;1;0;26;47;45;2;180;5
