Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-E.F.L.;Bélair Marylaine P.C.Q-E.E.D.;Caron Jacinthe P.Q.;de Martin Raymond Ind;Louis-Jean Mona P.L.Q./Q.L.P.;Magnan Richard D.D.;Pagé Philippe Q.S.;B.V.;B.R.
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;119;393;53;39;13;2;4;0;43;154;3
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;120;381;36;14;16;0;6;1;42;115;3
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;121;366;37;24;24;1;13;0;40;139;1
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;122;384;49;20;13;0;8;0;33;123;3
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;123A;277;38;12;14;0;6;0;27;97;1
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;123B;256;42;18;11;0;2;1;31;105;0
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;124;376;41;32;15;1;16;2;55;162;0
132;Richmond;2022-10-03;G;Sherbrooke, v;43;;125;293;41;16;18;0;6;1;29;111;3
132;Richmond;2022-10-03;G;Sherbrooke, v;43;;126;276;49;21;14;0;10;0;44;138;3
132;Richmond;2022-10-03;G;Sherbrooke, v;43;;127;307;45;28;13;0;13;1;49;149;0
132;Richmond;2022-10-03;G;Sherbrooke, v;43;;128;306;45;17;13;0;3;0;42;120;2
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;129;361;100;19;14;0;9;0;48;190;0
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;130;352;69;14;20;0;12;0;50;165;1
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;131;355;71;17;30;0;12;0;47;177;1
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;132;336;57;18;19;0;6;0;41;141;2
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;133;358;62;30;20;1;15;0;55;183;3
132;Richmond;2022-10-03;G;Sherbrooke, v;44;;134;362;61;16;21;0;6;0;36;140;7
132;Richmond;2022-10-03;G;Sherbrooke, v;45;;135;424;48;37;27;1;13;0;71;197;9
132;Richmond;2022-10-03;G;Sherbrooke, v;45;;136;418;90;18;23;0;9;0;62;202;2
132;Richmond;2022-10-03;G;Sherbrooke, v;45;;137;396;84;19;24;0;13;0;48;188;0
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;138;403;55;26;23;1;5;0;49;159;5
