Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Josée Q.S.;Lavigne Nathalie P.Q.;Lo Cicero Rita P.V.Q./G.P.Q.;Monteiro Anabela P.L.Q./Q.L.P.;Piscitelli Stefano P.C.Q-E.E.D.;Schmaltz Valérie C.A.Q.-E.F.L.;B.V.;B.R.
476;Vimont;2022-10-03;G;Laval, v;70;;53;370;3;4;2;84;45;33;171;0
476;Vimont;2022-10-03;G;Laval, v;70;;54;390;8;2;3;114;58;18;203;0
476;Vimont;2022-10-03;G;Laval, v;70;;55;377;13;7;2;88;55;32;197;3
476;Vimont;2022-10-03;G;Laval, v;70;;56;395;22;12;2;88;67;22;213;0
476;Vimont;2022-10-03;G;Laval, v;70;;57;386;20;9;2;68;44;54;197;1
476;Vimont;2022-10-03;G;Laval, v;70;;58;394;18;16;3;62;52;53;204;3
476;Vimont;2022-10-03;G;Laval, v;70;;59;384;23;20;0;51;18;61;173;3
476;Vimont;2022-10-03;G;Laval, v;71;;60;358;16;19;3;62;48;38;186;1
476;Vimont;2022-10-03;G;Laval, v;71;;61;355;18;3;2;103;39;21;186;0
476;Vimont;2022-10-03;G;Laval, v;71;;62;359;21;12;2;70;23;40;168;2
476;Vimont;2022-10-03;G;Laval, v;71;;63;365;20;17;2;58;12;51;160;1
476;Vimont;2022-10-03;G;Laval, v;71;;64;355;15;18;0;52;16;38;139;8
476;Vimont;2022-10-03;G;Laval, v;71;;65;349;34;20;2;75;16;52;199;0
476;Vimont;2022-10-03;G;Laval, v;71;;66;350;24;10;4;83;16;44;181;0
476;Vimont;2022-10-03;G;Laval, v;72;;67;374;16;19;2;43;15;42;137;6
476;Vimont;2022-10-03;G;Laval, v;72;;68;362;16;12;2;45;22;48;145;2
476;Vimont;2022-10-03;G;Laval, v;72;;69;375;16;8;1;72;28;32;157;0
476;Vimont;2022-10-03;G;Laval, v;72;;70;374;19;8;2;58;11;32;130;0
476;Vimont;2022-10-03;G;Laval, v;72;;71;358;22;19;2;52;35;36;166;1
476;Vimont;2022-10-03;G;Laval, v;72;;72;363;19;25;1;57;17;52;171;1
476;Vimont;2022-10-03;G;Laval, v;72;;73;361;25;22;2;62;6;44;161;0
476;Vimont;2022-10-03;G;Laval, v;73;;74;365;28;20;3;37;28;60;176;5
476;Vimont;2022-10-03;G;Laval, v;73;;75;368;26;18;1;46;38;50;179;3
476;Vimont;2022-10-03;G;Laval, v;73;;76;362;19;13;0;63;36;49;180;0
476;Vimont;2022-10-03;G;Laval, v;73;;77;364;24;18;2;73;38;50;205;2
476;Vimont;2022-10-03;G;Laval, v;73;;78;372;30;20;5;74;19;66;214;2
476;Vimont;2022-10-03;G;Laval, v;73;;79;372;32;24;0;52;20;61;189;1
476;Vimont;2022-10-03;G;Laval, v;73;;80;369;31;18;1;66;35;69;220;4
476;Vimont;2022-10-03;G;Laval, v;74;;81;392;24;16;5;62;24;56;187;2
476;Vimont;2022-10-03;G;Laval, v;74;;82;405;21;19;0;58;17;61;176;1
476;Vimont;2022-10-03;G;Laval, v;74;;83;393;13;13;1;47;26;56;156;5
476;Vimont;2022-10-03;G;Laval, v;74;;84;398;31;31;3;54;28;66;213;4
476;Vimont;2022-10-03;G;Laval, v;74;;85;415;34;19;2;83;31;71;240;2
476;Vimont;2022-10-03;G;Laval, v;74;;86;420;21;18;0;49;40;52;180;2
476;Vimont;2022-10-03;G;Laval, v;74;;87;405;25;28;1;57;27;59;197;3
476;Vimont;2022-10-03;G;Laval, v;75;;88;365;25;6;1;43;35;53;163;0
476;Vimont;2022-10-03;G;Laval, v;75;;89;370;23;16;3;88;23;29;182;1
476;Vimont;2022-10-03;G;Laval, v;75;;90;366;18;18;0;74;15;48;173;2
476;Vimont;2022-10-03;G;Laval, v;75;;91;358;32;13;3;40;17;32;137;2
476;Vimont;2022-10-03;G;Laval, v;75;;92;366;20;16;2;65;37;39;179;0
476;Vimont;2022-10-03;G;Laval, v;75;;93;358;25;22;1;46;20;35;149;2
476;Vimont;2022-10-03;G;Laval, v;75;;94;364;20;17;2;58;32;42;171;2
476;Vimont;2022-10-03;G;Laval, v;75;;95;364;25;17;0;50;23;64;179;0
476;Vimont;2022-10-03;G;Laval, v;75;;96;368;25;23;1;49;30;46;174;2
476;Vimont;2022-10-03;G;Laval, v;75;;97;378;36;9;2;64;14;32;157;3
476;Vimont;2022-10-03;G;Laval, v;75;;98;370;17;26;1;36;13;52;145;2
476;Vimont;2022-10-03;G;Laval, v;111;;99;375;16;18;1;33;28;64;160;1
476;Vimont;2022-10-03;G;Laval, v;111;;100;377;19;30;4;36;15;54;158;3
476;Vimont;2022-10-03;G;Laval, v;111;;101;365;8;31;0;44;19;42;144;3
