Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Martino Julie C.A.Q.-E.F.L.;Forget Marie-Josée Q.S.;Manfredi Giovanni P.C.Q./C.P.Q;Massey Laurence P.Q.;Rotiroti Filomena P.L.Q./Q.L.P.;Saad Chakib P.C.Q-E.E.D.;Szilagyi Alessandra P.V.Q./G.P.Q.;B.V.;B.R.
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;19;362;13;17;6;0;81;20;0;137;8
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;20;396;18;15;4;3;95;14;4;153;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;21;388;14;12;0;7;99;18;0;150;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;22;394;20;19;3;3;105;16;2;168;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;23;367;22;20;2;1;79;12;2;138;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;24;384;21;13;3;4;95;24;3;163;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;25;389;18;28;1;12;105;13;2;179;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;26;400;9;17;2;2;127;16;3;176;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;27;404;33;14;1;6;113;18;7;192;7
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;28;399;19;12;3;6;117;25;3;185;6
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;29;382;16;15;2;2;73;37;3;148;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;30;402;19;20;8;8;119;10;2;186;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;31;386;11;17;1;4;77;10;1;121;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;301;;32;379;12;23;2;4;77;16;2;136;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;33;356;16;17;3;6;64;23;2;131;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;34A;305;6;10;3;4;79;16;0;118;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;34B;308;20;22;2;0;64;8;1;117;5
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;35;385;13;21;1;2;72;22;0;131;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;36;372;16;24;3;8;67;21;5;144;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;37;404;31;27;3;3;70;17;1;152;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;38;378;20;13;1;3;61;19;3;120;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;39;363;13;13;0;3;65;24;3;121;1
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;40;376;14;14;8;3;85;24;0;148;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;302;;41;371;30;13;3;2;58;22;0;128;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;42;366;28;22;4;5;93;14;7;173;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;43;316;15;10;13;4;64;20;0;126;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;44;378;15;24;1;9;92;17;4;162;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;45;372;17;19;1;10;77;30;3;157;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;46;383;16;15;2;4;85;22;3;147;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;47;362;24;16;2;5;88;20;1;156;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;48;376;15;22;1;1;97;20;3;159;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;49;390;17;20;3;7;107;17;2;173;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;303;;50;377;20;9;3;6;81;15;0;134;1
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;51;376;18;40;1;6;70;9;2;146;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;52;382;26;21;3;6;98;17;3;174;1
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;53;361;20;19;5;15;80;8;2;149;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;54;342;22;21;3;9;75;22;2;154;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;55;362;24;23;1;4;65;12;0;129;1
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;56;368;24;28;2;7;47;10;8;126;5
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;57;362;28;32;3;5;53;20;2;143;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;58;376;15;27;1;8;65;23;0;139;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;304;;59;379;39;20;1;9;33;13;0;115;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;60;387;22;24;2;6;90;16;1;161;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;61;374;16;20;2;5;72;23;3;141;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;62;402;25;21;4;8;86;11;1;156;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;63;386;23;18;6;1;92;22;0;162;8
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;64;390;35;19;1;22;48;13;2;140;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;305;;65;371;16;19;2;3;64;14;3;121;1
