Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Bouvette-Turcot Andrée-Anne P.Q.;Boyer Pierre-Marc P.C.Q-E.E.D.;Carmant Lionel C.A.Q.-E.F.L.;Cissé Omar P.L.Q./Q.L.P.;Ouellet Frédéric C.Q.;Savignac Pierre U.F.F.;B.V.;B.R.
250;Taillon;2022-10-03;G;Longueuil, v;41;;71B;223;3;23;1;57;15;0;0;99;1
250;Taillon;2022-10-03;G;Longueuil, v;41;;72;387;10;33;8;79;24;1;0;155;0
250;Taillon;2022-10-03;G;Longueuil, v;41;;73;409;8;24;8;98;19;1;0;158;3
250;Taillon;2022-10-03;G;Longueuil, v;42;;74;398;35;46;9;70;18;3;1;182;0
250;Taillon;2022-10-03;G;Longueuil, v;42;;75;389;19;26;13;45;8;5;0;116;3
250;Taillon;2022-10-03;G;Longueuil, v;42;;76;360;29;22;6;44;9;2;1;113;4
250;Taillon;2022-10-03;G;Longueuil, v;42;;77;395;27;27;17;60;11;8;1;151;3
250;Taillon;2022-10-03;G;Longueuil, v;42;;78;364;25;22;14;64;10;1;0;136;2
250;Taillon;2022-10-03;G;Longueuil, v;42;;79;368;47;42;17;71;14;0;2;193;3
250;Taillon;2022-10-03;G;Longueuil, v;42;;80;378;29;57;8;75;17;2;1;189;1
250;Taillon;2022-10-03;G;Longueuil, v;42;;81;381;31;29;14;60;19;3;1;157;0
250;Taillon;2022-10-03;G;Longueuil, v;43;;82;369;46;61;3;72;17;3;0;202;2
250;Taillon;2022-10-03;G;Longueuil, v;43;;83;376;50;52;10;59;9;9;0;189;0
250;Taillon;2022-10-03;G;Longueuil, v;43;;84;409;42;31;23;34;25;5;0;160;2
250;Taillon;2022-10-03;G;Longueuil, v;43;;85;403;37;47;14;32;20;0;0;150;3
250;Taillon;2022-10-03;G;Longueuil, v;43;;86;390;51;30;12;52;28;1;2;176;0
250;Taillon;2022-10-03;G;Longueuil, v;43;;87;359;48;16;9;35;27;4;1;140;1
250;Taillon;2022-10-03;G;Longueuil, v;44;;88;423;44;21;17;38;26;2;8;156;3
250;Taillon;2022-10-03;G;Longueuil, v;44;;89;371;40;29;14;41;12;1;1;138;3
250;Taillon;2022-10-03;G;Longueuil, v;44;;90;392;52;36;8;46;20;2;0;164;0
250;Taillon;2022-10-03;G;Longueuil, v;44;;91;391;38;32;8;66;35;4;0;183;0
250;Taillon;2022-10-03;G;Longueuil, v;44;;92;385;40;40;5;42;30;5;0;162;0
250;Taillon;2022-10-03;G;Longueuil, v;45;;93;371;17;34;7;46;21;0;0;125;0
250;Taillon;2022-10-03;G;Longueuil, v;45;;94;392;20;23;2;41;17;2;0;105;4
250;Taillon;2022-10-03;G;Longueuil, v;45;;95;365;18;28;4;59;7;0;0;116;1
250;Taillon;2022-10-03;G;Longueuil, v;45;;96;366;9;28;6;38;8;2;0;91;1
250;Taillon;2022-10-03;G;Longueuil, v;45;;97;400;25;43;12;88;20;1;1;190;0
250;Taillon;2022-10-03;G;Longueuil, v;45;;98;319;37;33;5;41;13;1;0;130;3
250;Taillon;2022-10-03;G;Longueuil, v;45;;99;423;17;38;10;85;13;0;0;163;3
250;Taillon;2022-10-03;G;Longueuil, v;45;;100;390;24;23;15;33;26;1;0;122;3
250;Taillon;2022-10-03;G;Longueuil, v;46;;101;358;36;21;15;42;14;2;0;130;4
250;Taillon;2022-10-03;G;Longueuil, v;46;;102;368;44;20;7;64;22;1;0;158;4
250;Taillon;2022-10-03;G;Longueuil, v;46;;103;358;34;33;12;65;23;1;1;169;2
250;Taillon;2022-10-03;G;Longueuil, v;46;;104;360;34;28;14;48;24;5;1;154;4
250;Taillon;2022-10-03;G;Longueuil, v;46;;105;378;49;39;17;50;23;5;0;183;1
250;Taillon;2022-10-03;G;Longueuil, v;46;;106;361;25;36;14;51;28;4;0;158;2
250;Taillon;2022-10-03;G;Longueuil, v;46;;107;342;22;16;9;38;29;0;0;114;6
250;Taillon;2022-10-03;G;Longueuil, v;46;;108;364;24;29;10;43;25;2;0;133;2
250;Taillon;2022-10-03;G;Longueuil, v;46;;109;352;24;29;11;65;16;1;0;146;1
250;Taillon;2022-10-03;G;Longueuil, v;46;;110;368;31;21;21;45;31;1;0;150;6
250;Taillon;2022-10-03;G;Longueuil, v;46;;111;351;45;28;9;68;34;2;0;186;4
250;Taillon;2022-10-03;G;Longueuil, v;46;;112;392;32;33;9;62;30;4;0;170;1
250;Taillon;2022-10-03;G;Longueuil, v;46;;113;372;42;40;11;61;23;1;0;178;1
250;Taillon;2022-10-03;G;Longueuil, v;46;;114;362;52;40;6;61;9;0;0;168;1
250;Taillon;2022-10-03;G;Longueuil, v;46;;115;370;31;31;9;64;15;3;0;153;4
250;Taillon;2022-10-03;G;Longueuil, v;47;;116;386;56;26;7;57;9;1;0;156;0
250;Taillon;2022-10-03;G;Longueuil, v;47;;117;371;32;44;14;52;21;1;0;164;0
250;Taillon;2022-10-03;G;Longueuil, v;47;;118;413;28;28;16;56;22;4;0;154;0
250;Taillon;2022-10-03;G;Longueuil, v;47;;119;399;22;46;9;49;16;2;0;144;2
250;Taillon;2022-10-03;G;Longueuil, v;47;;120;369;25;38;7;54;13;1;0;138;1
250;Taillon;2022-10-03;G;Longueuil, v;47;;121;395;19;30;8;55;20;1;0;133;0
250;Taillon;2022-10-03;G;Longueuil, v;47;;122;379;46;25;17;56;10;1;0;155;1
250;Taillon;2022-10-03;G;Longueuil, v;62;;123A;303;17;19;8;46;14;0;0;104;1
250;Taillon;2022-10-03;G;Longueuil, v;62;;123B;270;17;18;8;30;8;1;0;82;2
250;Taillon;2022-10-03;G;Longueuil, v;62;;124;303;18;19;4;32;15;1;1;90;1
250;Taillon;2022-10-03;G;Longueuil, v;62;;125;351;31;26;14;43;13;2;0;129;1
250;Taillon;2022-10-03;G;Longueuil, v;62;;126;303;33;27;12;47;14;2;1;136;1
