Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Eappen Roy P.C.Q-E.E.D.;Eliadis Constantine P.C.Q./C.P.Q;Hoffman Rachel P.M.L.Q.;Holness Balarama B.M.-E.B.H.;Jenneau Cloé Rose P.Q.;Labelle Élisabeth Q.S.;Lemay Geneviève C.A.Q.-E.F.L.;McGraw Désirée P.L.Q./Q.L.P.;Tyrrell Alex P.V.Q./G.P.Q.;B.V.;B.R.
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;107;;12;331;9;5;1;10;1;14;11;50;5;106;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;107;;13;352;16;4;0;7;4;19;7;74;1;132;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;107;;14;344;17;1;2;6;3;19;3;75;4;130;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;107;;15;352;10;3;0;3;4;17;9;56;9;111;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;108;;16;360;11;4;0;17;6;17;9;86;3;153;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;108;;17;352;7;4;1;20;4;18;11;86;5;156;3
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;108;;18;339;12;6;0;21;6;30;12;82;2;171;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;109;;19;308;17;4;1;13;6;14;4;67;9;135;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;109;;20;341;8;9;2;9;0;15;7;75;6;131;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;109;;21;314;5;1;0;15;1;18;2;87;3;132;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;109;;22;324;9;5;0;6;0;11;2;66;3;102;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;110;;23;415;17;7;0;9;2;21;9;80;8;153;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;110;;24;387;10;7;1;10;1;6;10;79;2;126;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;110;;25;399;23;7;2;4;3;14;7;89;3;152;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;110;;26;405;11;0;2;1;1;9;5;76;1;106;3
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;27;374;24;4;2;20;4;21;6;90;1;172;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;28;388;6;6;0;12;4;14;8;82;5;137;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;29;378;16;5;0;7;8;23;13;85;6;163;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;30;374;16;7;0;5;1;16;6;77;6;134;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;31;386;31;8;1;9;7;29;4;74;4;167;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;32;394;16;4;0;4;2;19;6;99;7;157;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;33;375;10;2;0;10;5;16;13;83;9;148;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;34;372;18;3;0;14;7;24;18;77;3;164;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;111;;35;374;16;5;0;6;6;21;6;103;10;173;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;;36;395;9;7;0;9;2;16;10;57;4;114;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;;37;387;7;2;0;16;7;27;2;85;3;149;1
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;;38;390;5;1;0;5;6;22;12;85;6;142;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;;39;394;12;4;1;14;1;21;12;76;7;148;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;;40;395;14;3;0;11;1;21;8;47;4;109;1
