Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Adda Yastene P.Q.;Boivin Roy Karine C.A.Q.-E.F.L.;Deneault Genevieve P.C.Q-E.E.D.;Gagnon Chantal P.L.Q./Q.L.P.;Gélinas Claude C.Q.;LeRougetel Katy Ind;Pageau Laurence Q.S.;B.V.;B.R.
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;46;357;24;52;5;36;0;2;10;129;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;47;346;13;37;25;46;0;0;22;143;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;48;354;15;66;2;31;2;0;2;118;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;49;359;13;62;6;43;0;0;15;139;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;50;362;22;57;7;37;2;0;7;132;5
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;51;367;8;48;3;37;0;0;7;103;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;52;385;10;51;10;37;0;0;23;131;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;53;398;14;57;19;36;1;0;23;150;6
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;54;391;7;23;19;54;0;0;38;141;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;55;382;6;41;14;52;1;0;38;152;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;56;390;8;47;13;50;1;0;23;142;9
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;57;389;9;34;12;66;0;0;18;139;7
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;58;392;15;29;15;60;3;0;33;155;6
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;59;384;10;25;13;93;7;0;15;163;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;60;415;13;36;21;88;0;0;17;175;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;61;388;14;35;12;53;2;0;37;153;4
