Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Biron Martine C.A.Q.-E.F.L.;Brault François-Noël P.Q.;Fortier Mario P.C.Q-E.E.D.;Oueslati Wafa P.L.Q./Q.L.P.;Thibault Caroline Q.S.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;81;421;101;21;66;29;41;258;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;82;409;78;32;46;9;37;202;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;83;397;102;22;52;13;28;217;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;84;403;87;34;30;16;20;187;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;85;395;102;31;42;9;13;197;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;86;387;109;29;41;17;21;217;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;11;;87;368;63;10;43;4;26;146;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;11;;88;365;51;25;29;9;25;139;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;11;;89;377;55;24;37;12;30;158;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;11;;90;370;53;27;35;7;31;153;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;91;394;75;24;29;12;13;153;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;92;376;82;21;23;7;13;146;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;93;370;68;19;29;6;22;144;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;94;377;94;19;31;6;20;170;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;95;366;72;31;43;12;21;179;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;96;369;61;19;41;8;18;147;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;97;369;56;21;42;5;24;148;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;12;;98;374;66;23;33;6;24;152;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;99;365;40;11;38;13;27;129;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;100;384;68;11;38;9;27;153;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;101;380;58;11;39;10;29;147;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;102;380;58;28;36;6;21;149;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;103;377;67;18;54;6;28;173;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;104;381;49;25;42;14;32;162;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;105;381;35;15;70;13;24;157;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;13;;106;392;53;24;43;4;12;136;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;107;394;85;10;67;11;11;184;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;108;386;75;20;68;8;18;189;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;109;390;85;15;46;9;17;172;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;110;379;50;15;43;8;14;130;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;111;384;86;16;58;13;15;188;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;112;382;67;25;48;7;15;162;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;113;372;63;11;36;8;17;135;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;114;381;69;19;63;6;24;181;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;115;391;80;19;60;7;12;178;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;116;397;64;24;59;11;7;165;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;117;412;66;12;54;17;22;171;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;14;;118;386;68;19;67;9;10;173;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;119;374;82;19;60;3;9;173;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;120;387;73;21;58;13;26;191;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;121;371;86;22;53;8;13;182;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;122;379;83;25;45;13;16;182;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;123;377;84;17;66;10;19;196;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;124;375;69;20;54;3;21;167;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;125;390;75;19;53;8;20;175;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;126;376;77;14;56;7;15;169;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;15;;127;377;60;10;60;8;12;150;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;128;380;69;17;58;5;12;161;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;129;386;88;25;48;4;13;178;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;130;383;69;21;65;12;11;178;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;131;378;78;20;50;6;17;171;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;132;381;71;20;75;8;9;183;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;133;395;52;13;59;5;12;141;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;134;366;79;17;38;6;20;160;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;16;;135;387;95;18;43;7;21;184;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;136;375;75;26;33;10;13;157;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;137;355;77;16;37;5;13;148;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;138;358;89;14;51;5;12;171;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;139;367;75;16;40;8;14;153;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;140;369;90;18;46;9;16;179;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;141;371;88;26;53;7;11;185;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;142;365;79;20;47;8;14;168;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;143;377;82;31;49;15;28;205;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;17;;144;376;85;16;50;13;17;181;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;145;411;121;21;55;17;20;234;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;146A;216;42;12;47;4;10;115;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;146B;207;50;10;34;10;6;110;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;147;390;63;15;55;8;20;161;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;148;401;70;22;61;12;19;184;7
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;149;400;87;26;33;9;22;177;8
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;150;405;91;24;51;13;22;201;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;151;395;62;19;51;7;27;166;7
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;152;403;72;21;54;10;28;185;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;18;;153;413;77;13;44;6;10;150;1
