Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benzekri Othmane P.V.Q./G.P.Q.;Briand Gérard Q.S.;Dugal Karl P.Q.;Fossey Myrtis-Eirene P.C.Q./C.P.Q;Gauthier Mélanie C.A.Q.-E.F.L.;Rajput Rizwan Muhammad B.M.-E.B.H.;Rizqy Marwah P.L.Q./Q.L.P.;St-Clair Catherine P.C.Q-E.E.D.;B.V.;B.R.
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;66;341;3;5;2;0;12;0;62;24;108;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;67;359;3;4;1;1;16;1;57;24;107;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;68;358;1;3;5;1;14;2;43;39;108;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;69;386;1;9;3;7;18;1;81;24;144;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;70;380;1;13;8;1;24;5;95;34;181;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;71;401;3;17;4;4;5;10;112;32;187;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;72;349;4;17;6;4;11;3;102;23;170;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;73;368;1;4;9;1;7;4;59;33;118;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;74;428;4;12;5;1;17;4;80;33;156;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;75A;207;0;4;2;4;6;0;44;11;71;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;75B;221;0;2;4;0;14;1;39;2;62;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;29;;76;375;0;9;12;0;17;1;75;26;140;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;77;380;3;17;15;5;31;1;72;26;170;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;78;407;5;14;12;4;36;1;110;22;204;6
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;79;372;4;8;5;3;25;1;78;30;154;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;80;379;3;5;14;4;19;0;80;25;150;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;81;345;2;7;8;2;21;3;78;21;142;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;82;366;5;11;14;4;13;3;76;22;148;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;83A;284;0;10;7;3;15;3;65;20;123;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;30;;83B;262;1;4;1;0;11;0;62;15;94;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;31;;84;371;1;15;2;0;8;14;58;4;102;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;31;;85;335;1;14;4;0;18;6;88;4;135;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;31;;86;342;1;12;6;7;15;28;83;12;164;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;31;;87;391;1;18;3;1;15;5;48;20;111;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;31;;88;323;5;12;4;1;22;7;72;7;130;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;89;376;3;14;5;3;11;9;67;21;133;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;90;339;4;30;13;9;17;6;79;13;171;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;91;361;4;19;11;6;17;4;68;27;156;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;92;334;6;28;10;2;13;6;61;9;135;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;93;327;1;10;2;1;7;2;70;10;103;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;32;;94;324;3;14;4;0;10;6;60;21;118;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;95;373;1;8;4;2;12;0;90;10;127;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;96;337;2;11;6;2;5;10;81;9;126;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;97;385;3;9;1;3;15;3;89;26;149;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;98;366;3;10;4;3;24;2;63;21;130;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;99;370;1;7;5;1;15;4;54;27;114;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;100;369;0;21;3;1;11;4;65;10;115;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;101;374;3;23;3;5;6;4;77;13;134;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;102;381;4;19;4;3;11;4;78;24;147;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;103;362;3;12;3;3;22;2;68;4;117;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;104;361;3;14;6;3;10;1;58;8;103;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;33;;105;316;1;16;3;3;10;1;47;3;84;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;106;338;11;27;3;2;22;3;53;12;133;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;107;353;2;16;9;2;16;1;50;12;108;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;108;337;1;18;8;1;21;3;28;11;91;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;109;326;0;25;12;0;10;0;43;18;108;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;110;345;5;42;25;3;31;1;55;16;178;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;111;341;6;41;21;3;21;7;52;10;161;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;34;;112;338;5;19;16;2;13;3;68;9;135;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;35;;113;347;4;24;10;3;19;2;79;20;161;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;35;;114;361;1;8;6;4;9;6;80;26;140;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;35;;115;403;5;16;0;5;4;2;82;22;136;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;35;;116;365;1;14;0;0;14;5;55;18;107;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;35;;117;376;1;8;2;4;5;2;63;17;102;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;118;362;2;4;2;5;10;4;58;33;118;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;119;349;1;13;1;3;6;5;68;13;110;5
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;120;367;3;5;2;8;10;3;53;24;108;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;121;377;3;10;0;5;4;5;93;18;138;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;122;377;1;11;4;3;9;3;73;23;127;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;123;346;0;10;2;1;11;2;65;10;101;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;124;361;5;5;2;7;20;4;70;10;123;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;125;361;0;5;3;0;11;0;60;22;101;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;36;;126;358;1;1;0;4;17;0;59;41;123;1
