Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duranceau France-Élaine C.A.Q.-E.F.L.;Fortin Samuel C.Q.;Francoeur Julie Q.S.;Freire Guillaume P.Q.;Meloni Philippe P.C.Q-E.E.D.;Nadeau André P.L.Q./Q.L.P.;Ouellette Marie-Eve P.H.Q.;Steinberger Karine P.V.Q./G.P.Q.;B.V.;B.R.
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;51;394;70;0;13;19;14;7;1;1;125;2
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;52;403;64;1;13;40;9;5;1;0;133;0
588;Bertrand;2022-10-03;G;Val-des-Lacs, m;1;;53;327;65;0;27;32;17;6;2;0;149;2
588;Bertrand;2022-10-03;G;Val-des-Lacs, m;1;;54;319;62;1;23;34;15;16;2;0;153;2
588;Bertrand;2022-10-03;G;Lantier, m;1;;55;287;36;1;11;27;16;10;0;0;101;3
588;Bertrand;2022-10-03;G;Lantier, m;1;;56;282;46;1;13;22;16;17;0;1;116;3
588;Bertrand;2022-10-03;G;Lantier, m;1;;57;286;29;1;24;6;15;8;0;1;84;5
588;Bertrand;2022-10-03;G;Sainte-Lucie-des-Laurentides, m;1;;58;405;91;1;33;42;26;7;1;1;202;1
588;Bertrand;2022-10-03;G;Sainte-Lucie-des-Laurentides, m;1;;59;401;96;1;25;46;25;11;1;2;207;1
588;Bertrand;2022-10-03;G;Sainte-Lucie-des-Laurentides, m;1;;60;389;53;2;46;46;27;7;0;1;182;2
588;Bertrand;2022-10-03;G;Val-David, vl;1;;61;348;47;3;42;24;15;5;1;4;141;0
588;Bertrand;2022-10-03;G;Val-David, vl;1;;62;356;29;1;66;45;17;7;1;1;167;0
588;Bertrand;2022-10-03;G;Val-David, vl;1;;63;345;28;0;40;28;3;5;0;6;110;0
588;Bertrand;2022-10-03;G;Val-David, vl;1;;64;364;48;1;37;24;5;1;0;4;120;1
588;Bertrand;2022-10-03;G;Val-David, vl;1;;65;354;39;0;46;24;25;5;0;2;141;2
588;Bertrand;2022-10-03;G;Val-David, vl;1;;66;343;40;0;40;35;19;6;0;3;143;1
588;Bertrand;2022-10-03;G;Val-David, vl;1;;67;342;48;5;50;27;14;5;1;3;153;1
588;Bertrand;2022-10-03;G;Val-David, vl;2;;68;405;32;1;54;35;5;6;2;3;138;2
588;Bertrand;2022-10-03;G;Val-David, vl;2;;69;404;34;1;69;30;14;7;0;3;158;1
588;Bertrand;2022-10-03;G;Val-David, vl;2;;70;391;29;1;58;28;17;5;0;0;138;1
588;Bertrand;2022-10-03;G;Val-David, vl;2;;71;406;44;1;27;38;15;6;3;6;140;0
588;Bertrand;2022-10-03;G;Val-David, vl;2;;72;398;48;0;33;27;24;5;1;2;140;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;73;376;55;0;24;27;12;5;1;3;127;3
