Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;65;354;1;51;12;21;30;6;121;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;66;348;1;46;23;20;14;1;105;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;67;345;2;47;11;18;10;2;90;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;68;357;4;68;10;23;16;2;123;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;69;330;3;57;13;36;25;7;141;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;;70;349;1;74;16;29;19;6;145;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;11;;71;298;1;51;14;13;17;5;101;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;11;;72;265;0;18;2;5;0;3;28;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;11;;73;343;2;43;10;15;7;3;80;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;74;394;1;89;12;30;21;12;165;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;75;414;1;72;16;36;23;8;156;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;76;395;2;87;9;42;22;2;164;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;77;370;1;55;31;26;21;7;141;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;78A;231;0;37;6;7;16;1;67;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;78B;232;4;32;8;32;18;12;106;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;79;399;3;60;15;32;37;9;156;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;12;;80;390;0;63;23;25;40;7;158;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;81;373;0;78;23;40;31;3;175;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;82;385;2;33;28;32;31;8;134;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;83A;203;2;22;15;15;11;4;69;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;83B;236;4;25;12;19;20;12;92;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;84;390;2;56;20;34;29;12;153;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;85;371;2;46;19;38;36;3;144;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;86;368;1;70;12;26;19;5;133;3
