Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumas Philippe P.Q.;Jacques Marie-Josée P.L.Q./Q.L.P.;Lyonnais Mario P.C.Q-E.E.D.;Martel Donald C.A.Q.-E.F.L.;Thériault Watso Jacques Q.S.;B.V.;B.R.
150;Nicolet-Bécancour;2022-10-03;G;Deschaillons-sur-Saint-Laurent, m;1;;33;364;40;14;49;111;11;225;0
150;Nicolet-Bécancour;2022-10-03;G;Parisville, p;1;;34;406;27;10;75;109;11;232;7
150;Nicolet-Bécancour;2022-10-03;G;Fortierville, m;1;;35;245;26;4;83;41;4;158;2
150;Nicolet-Bécancour;2022-10-03;G;Fortierville, m;1;;36;254;18;6;73;55;11;163;3
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Cécile-de-Lévrard, p;1;;37;288;30;10;62;74;7;183;1
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Sophie-de-Lévrard, p;1;;38;300;23;7;62;58;15;165;2
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Sophie-de-Lévrard, p;1;;39;301;15;5;71;61;7;159;5
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Françoise, m;1;;40;378;19;5;140;71;8;243;5
150;Nicolet-Bécancour;2022-10-03;G;Manseau, m;1;;41;338;16;6;96;43;5;166;1
150;Nicolet-Bécancour;2022-10-03;G;Manseau, m;1;;42;334;28;3;59;47;12;149;2
150;Nicolet-Bécancour;2022-10-03;G;Lemieux, m;1;;43;237;23;8;52;49;7;139;1
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Marie-de-Blandford, m;1;;44;363;49;5;72;75;21;222;5
150;Nicolet-Bécancour;2022-10-03;G;Saint-Sylvère, m;1;;45;323;24;12;44;120;13;213;2
150;Nicolet-Bécancour;2022-10-03;G;Saint-Sylvère, m;1;;46;319;21;8;65;74;4;172;2
150;Nicolet-Bécancour;2022-10-03;G;Maddington Falls, m;1;;47;343;28;7;51;65;5;156;3
150;Nicolet-Bécancour;2022-10-03;G;Daveluyville, v;1;;48;376;33;3;45;74;6;161;4
150;Nicolet-Bécancour;2022-10-03;G;Daveluyville, v;1;;49;389;13;4;36;83;15;151;2
150;Nicolet-Bécancour;2022-10-03;G;Daveluyville, v;1;;50;398;18;12;64;71;20;185;7
150;Nicolet-Bécancour;2022-10-03;G;Daveluyville, v;1;;51;366;19;6;59;65;8;157;3
150;Nicolet-Bécancour;2022-10-03;G;Daveluyville, v;1;;52;379;20;2;62;75;14;173;6
150;Nicolet-Bécancour;2022-10-03;G;Aston-Jonction, m;1;;53;320;25;10;57;91;22;205;2
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Eulalie, m;1;;54;382;29;13;64;84;18;208;2
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Eulalie, m;1;;55;397;20;12;72;89;20;213;1
150;Nicolet-Bécancour;2022-10-03;G;Saint-Wenceslas, m;1;;56;298;24;8;40;44;13;129;4
150;Nicolet-Bécancour;2022-10-03;G;Saint-Wenceslas, m;1;;57;315;15;6;45;68;15;149;4
150;Nicolet-Bécancour;2022-10-03;G;Saint-Wenceslas, m;1;;58;307;18;5;44;67;15;149;1
150;Nicolet-Bécancour;2022-10-03;G;Saint-Célestin, m;1;;59;235;16;3;42;45;15;121;1
150;Nicolet-Bécancour;2022-10-03;G;Saint-Célestin, m;1;;60;232;17;9;36;64;9;135;3
150;Nicolet-Bécancour;2022-10-03;G;Saint-Célestin, vl;1;;61;337;23;12;43;93;20;191;1
