Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahluwalia Jaspal Singh B.M.-E.B.H.;Bélec Eve C.A.Q.-E.F.L.;Bilodeau Cynthia Q.S.;Boileau Kelley P.V.Q./G.P.Q.;Hamelin-Schuilenburg David P.C.Q./C.P.Q;Lynes Paul D.D.;Massé Christopher P.Q.;Nichols Marie-Claude P.L.Q./Q.L.P.;Théoret Eve P.C.Q-E.E.D.;B.V.;B.R.
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;92;388;1;28;15;1;4;0;6;61;14;130;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;93A;232;2;47;16;4;3;0;10;34;14;130;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;Regr. BVDS-1;93B;220;0;0;0;0;0;0;0;0;0;0;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;94;400;2;46;7;2;1;0;4;54;8;124;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;95;380;4;36;13;1;1;0;7;61;19;142;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;96;380;4;25;14;2;7;1;2;68;27;150;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;97;369;10;22;12;1;3;0;5;68;26;147;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;3;;98;376;5;7;18;0;7;0;1;92;24;154;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;3;;99;343;2;29;8;0;2;0;11;53;15;120;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;3;;100;356;7;40;17;2;3;0;8;74;14;165;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;3;;101;352;3;26;10;3;0;1;6;94;15;158;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;3;;102;365;3;15;15;0;2;0;8;107;24;174;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;4;;103;417;2;43;27;3;4;0;7;80;18;184;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;4;;104;407;0;59;24;3;2;0;12;76;24;200;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;4;;105;391;1;68;32;3;4;0;15;58;12;193;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;4;;106;410;2;82;15;1;1;1;17;59;15;193;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;5;;107;316;0;41;20;3;2;0;15;28;9;118;6
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;5;;108;329;2;37;12;2;0;0;5;54;16;128;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;5;;109;345;1;54;19;1;14;0;18;35;9;151;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;5;;110;328;2;31;9;2;0;0;12;31;13;100;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;5;;111;334;0;39;15;1;0;0;11;26;12;104;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;112;347;1;38;14;0;4;0;15;47;20;139;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;113;353;6;28;17;1;3;0;15;55;20;145;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;114;337;0;35;10;0;5;0;21;33;7;111;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;115;346;1;43;20;4;1;0;15;38;13;135;6
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;116;375;7;31;12;3;0;1;23;57;20;154;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;117;383;3;33;12;1;2;0;9;83;29;172;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;118;371;2;37;13;1;1;0;4;67;16;141;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;119;364;0;28;12;4;3;0;4;69;22;142;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;120;390;9;26;25;1;0;2;11;64;20;158;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;6;;121;367;1;33;11;3;1;0;6;39;11;105;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;7;;122;352;1;59;19;2;1;0;19;35;16;152;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;7;;123;369;1;44;17;2;1;1;23;33;13;135;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;7;;124;353;2;58;11;2;2;0;11;30;14;130;6
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;7;;125;359;1;54;25;1;2;0;30;28;16;157;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;7;;126;369;3;56;22;5;2;2;30;42;21;183;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;127;395;0;43;16;3;3;0;26;34;14;139;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;128;416;3;37;16;1;2;0;9;86;27;181;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;129;419;0;40;16;5;7;0;16;58;25;167;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;130;416;1;26;15;2;4;0;9;50;23;130;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;131;408;6;55;17;1;8;0;18;59;18;182;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;132;429;7;35;13;0;8;0;7;82;27;179;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;133A;216;0;11;13;1;6;0;0;28;9;68;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;133B;215;0;15;12;1;0;1;6;32;14;81;5
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;134;421;16;21;6;0;3;4;6;93;21;170;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;135A;208;8;13;11;1;1;1;1;41;12;89;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;135B;223;2;15;7;0;3;0;1;35;6;69;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;136;416;2;25;25;6;7;0;11;55;14;145;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;8;;137;392;5;46;19;2;4;0;15;59;20;170;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;138;283;8;9;11;0;1;0;2;76;22;129;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;139A;268;0;21;9;5;0;0;5;30;21;91;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;139B;229;1;24;9;0;0;1;4;31;15;85;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;140;376;13;22;16;1;2;0;8;49;16;127;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;141;333;11;35;7;3;4;0;10;50;23;143;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;142;350;4;19;12;1;2;0;1;53;19;111;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;143;334;2;14;6;1;1;0;12;65;20;121;4
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;144;338;9;17;11;5;3;0;4;55;16;120;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;145;328;7;5;4;1;1;0;3;76;11;108;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;9;;146;377;18;10;2;4;2;0;2;71;16;125;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;147;371;0;42;16;3;4;1;29;52;35;182;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;148;358;0;46;17;1;1;1;18;26;12;122;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;149;365;0;76;28;0;4;0;24;34;17;183;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;150;365;0;49;22;5;1;0;20;30;23;150;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;151;364;0;33;17;4;2;0;15;35;18;124;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;152;367;2;62;20;3;6;0;12;42;21;168;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;153;362;0;72;19;1;3;0;19;37;20;171;3
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;10;;154;363;0;69;14;2;0;0;16;26;16;143;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-sur-le-Lac, vl;1;;155;340;1;47;19;1;9;0;13;70;23;183;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-sur-le-Lac, vl;1;;156;357;4;54;8;1;0;0;11;71;27;176;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-sur-le-Lac, vl;1;;157;352;0;54;25;3;3;0;29;43;12;169;1
224;Vaudreuil;2022-10-03;G;L'Île-Cadieux, v;1;;158;107;0;13;2;1;1;0;3;22;12;54;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;Regr. BVO-16;500;19;0;0;0;0;0;0;0;0;0;0;0
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;Regr. BVO-55;501;29;0;0;0;0;0;0;0;0;0;0;0
