Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonnier Viger Yv Q.S.;Bouchard Pier-Luc P.C.Q-E.E.D.;Marin Michel P.L.Q./Q.L.P.;Perry Mélançon Méganne P.Q.;Sainte-Croix Stéphane C.A.Q.-E.F.L.;B.V.;B.R.
854;Gaspé;2022-10-03;G;Mont-Albert, no;1;;23;153;3;5;8;20;41;77;2
854;Gaspé;2022-10-03;G;La Martre, m;1;;24;196;29;5;3;25;26;88;1
854;Gaspé;2022-10-03;G;Marsoui, vl;1;;25;230;3;8;9;50;48;118;1
854;Gaspé;2022-10-03;G;Rivière-à-Claude, m;1;;26;133;9;3;10;19;32;73;1
854;Gaspé;2022-10-03;G;Mont-Saint-Pierre, vl;1;;27;167;9;7;8;37;36;97;0
854;Gaspé;2022-10-03;G;Saint-Maxime-du-Mont-Louis, m;1;;28;312;10;9;3;45;33;100;1
854;Gaspé;2022-10-03;G;Saint-Maxime-du-Mont-Louis, m;1;;29;314;13;6;11;38;46;114;0
854;Gaspé;2022-10-03;G;Saint-Maxime-du-Mont-Louis, m;2;;30;326;1;3;23;25;60;112;4
854;Gaspé;2022-10-03;G;Sainte-Madeleine-de-la-Rivière-Madeleine, m;1;;31;282;6;11;10;43;53;123;0
854;Gaspé;2022-10-03;G;Murdochville, v;1;;32;243;11;5;4;37;35;92;3
854;Gaspé;2022-10-03;G;Murdochville, v;1;;33;235;5;1;5;41;37;89;1
854;Gaspé;2022-10-03;G;Grande-Vallée, m;1;;34;314;7;3;2;62;75;149;1
854;Gaspé;2022-10-03;G;Grande-Vallée, m;1;;35;307;5;4;6;54;62;131;1
854;Gaspé;2022-10-03;G;Grande-Vallée, m;1;;36;302;5;3;3;61;58;130;0
854;Gaspé;2022-10-03;G;Petite-Vallée, m;1;;37;140;2;3;3;50;25;83;2
854;Gaspé;2022-10-03;G;Cloridorme, ct;1;;38;284;0;3;12;47;51;113;1
854;Gaspé;2022-10-03;G;Cloridorme, ct;1;;39;285;4;3;11;35;62;115;0
854;Gaspé;2022-10-03;G;Gaspé, v;1;;40;335;8;3;4;57;70;142;1
854;Gaspé;2022-10-03;G;Gaspé, v;2;;41;372;10;10;3;61;64;148;1
854;Gaspé;2022-10-03;G;Gaspé, v;3;;42;364;11;5;4;89;51;160;1
854;Gaspé;2022-10-03;G;Gaspé, v;4;;43;355;8;5;2;64;45;124;0
854;Gaspé;2022-10-03;G;Gaspé, v;4;;44;362;11;0;2;70;54;137;1
854;Gaspé;2022-10-03;G;Gaspé, v;4;;45;357;13;3;5;57;44;122;0
854;Gaspé;2022-10-03;G;Gaspé, v;4;;46;367;11;1;1;51;45;109;1
854;Gaspé;2022-10-03;G;Gaspé, v;4;;47;365;7;6;1;68;44;126;1
854;Gaspé;2022-10-03;G;Gaspé, v;4;;48;360;5;9;1;63;41;119;0
854;Gaspé;2022-10-03;G;Gaspé, v;5;;49;395;14;3;2;83;76;178;3
854;Gaspé;2022-10-03;G;Gaspé, v;6;;50;391;28;11;5;66;76;186;3
