Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Stéphanie P.C.Q-E.E.D.;Cliche Karine Q.S.;Filiatrault Simon C.Q.;Fortin Kevin P51;Jubinville Lyne P.Q.;Kamning Nguendjong Pierrette P.V.Q./G.P.Q.;Skeete Christopher C.A.Q.-E.F.L.;Trottier Michel P.L.Q./Q.L.P.;B.V.;B.R.
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;37;399;21;23;0;1;14;3;58;58;178;1
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;38;386;16;27;1;0;37;3;67;42;193;2
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;39;379;18;27;0;0;14;0;37;50;146;0
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;40;391;18;10;0;0;6;1;37;62;134;3
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;41A;238;19;12;0;1;6;4;23;50;115;0
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;41B;203;13;6;0;0;1;0;13;27;60;1
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;42;334;17;14;3;0;7;0;33;39;113;2
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;43A;230;20;8;0;0;3;0;11;45;87;0
470;Sainte-Rose;2022-10-03;G;Laval, v;58;;43B;215;20;9;0;0;11;0;17;23;80;3
470;Sainte-Rose;2022-10-03;G;Laval, v;59;;44;417;25;22;0;0;11;0;40;32;130;1
470;Sainte-Rose;2022-10-03;G;Laval, v;59;;45;340;18;2;0;0;11;1;39;42;113;0
470;Sainte-Rose;2022-10-03;G;Laval, v;59;;46A;375;14;17;0;0;13;2;43;32;121;4
470;Sainte-Rose;2022-10-03;G;Laval, v;59;;46B;363;11;15;0;0;19;2;36;35;118;5
470;Sainte-Rose;2022-10-03;G;Laval, v;59;;47;337;32;5;1;0;2;1;29;25;95;2
470;Sainte-Rose;2022-10-03;G;Laval, v;60;;48;338;27;10;1;0;8;1;32;50;129;0
470;Sainte-Rose;2022-10-03;G;Laval, v;60;;49;358;31;9;0;0;7;2;45;51;145;1
470;Sainte-Rose;2022-10-03;G;Laval, v;60;;50;393;31;19;1;1;15;5;30;60;162;1
470;Sainte-Rose;2022-10-03;G;Laval, v;60;;51;385;32;14;0;1;10;0;30;71;158;1
470;Sainte-Rose;2022-10-03;G;Laval, v;60;;52;363;32;13;0;1;2;1;18;79;146;3
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;53;400;14;22;0;0;18;3;33;59;149;0
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;54;402;18;28;3;0;15;3;83;37;187;1
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;55;410;9;28;0;0;19;5;63;48;172;3
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;56;388;13;17;0;0;24;1;61;46;162;2
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;57;417;18;20;1;0;20;1;64;39;163;6
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;58;385;13;23;1;0;26;0;59;56;178;2
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;59;385;22;29;0;0;18;2;54;42;167;3
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;60;400;18;38;0;0;17;2;66;49;190;2
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;61;419;26;21;0;0;9;3;71;48;178;2
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;62;394;23;30;0;0;35;0;56;25;169;0
470;Sainte-Rose;2022-10-03;G;Laval, v;61;;63;400;19;27;1;0;15;2;58;24;146;3
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;64;385;19;19;0;1;20;2;65;48;174;3
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;65;367;21;25;0;1;19;3;67;57;193;1
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;66;366;17;25;0;1;23;1;59;53;179;3
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;67;384;21;19;1;1;20;4;53;51;170;1
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;68;377;20;24;1;1;20;0;75;42;183;3
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;69;381;24;15;0;0;36;3;58;46;182;0
470;Sainte-Rose;2022-10-03;G;Laval, v;62;;70;379;26;23;0;0;28;1;66;32;176;0
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;71;413;11;30;1;1;24;2;73;33;175;6
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;72;417;11;42;0;1;31;4;53;58;200;3
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;73;410;17;37;2;0;26;0;70;39;191;2
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;74;390;16;36;0;2;29;3;55;35;176;0
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;75;376;8;34;0;1;14;1;62;19;139;2
470;Sainte-Rose;2022-10-03;G;Laval, v;95;;76;411;4;18;1;1;27;3;60;16;130;3
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;77;381;18;29;1;1;29;3;50;26;157;3
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;78;366;14;41;1;0;27;1;57;16;157;2
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;79;378;8;31;2;0;27;2;57;40;167;1
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;80;371;7;26;1;1;31;3;54;41;164;2
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;81;364;17;31;1;0;22;1;59;27;158;5
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;82;398;26;33;1;0;22;1;73;54;210;0
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;83;346;21;29;1;0;6;2;32;33;124;6
470;Sainte-Rose;2022-10-03;G;Laval, v;96;;84;366;24;27;0;1;15;4;35;56;162;2
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;85;405;27;12;1;1;18;0;60;64;183;0
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;86;409;13;18;2;0;21;0;65;37;156;2
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;87;406;17;17;0;1;19;2;78;53;187;1
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;88;393;27;26;0;0;20;4;39;38;154;5
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;89;410;20;16;0;0;23;1;87;47;194;0
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;90;402;27;39;0;0;15;1;51;53;186;3
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;91;402;27;32;0;1;22;1;45;34;162;3
470;Sainte-Rose;2022-10-03;G;Laval, v;97;;92;405;29;30;1;0;19;1;48;59;187;1
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;93;390;18;41;1;0;26;0;55;53;194;4
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;94;390;22;32;0;3;29;2;60;60;208;3
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;95;396;37;38;1;0;14;2;49;91;232;7
