Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gutierrez Marisa P.Q.;Kadri Matthieu P.C.Q-E.E.D.;Labrecque-Boivin Sabrina Q.S.;Lévesque Mathieu C.A.Q.-E.F.L.;Meunier Anne-Marie C.Q.;Ndengeyingoma Assumpta P.L.Q./Q.L.P.;Soublière Pierre P.M.L.Q.;B.V.;B.R.
620;Chapleau;2022-10-03;G;Gatineau, v;36;;37;381;6;16;20;36;0;12;0;90;1
620;Chapleau;2022-10-03;G;Gatineau, v;36;;38;363;5;15;13;46;1;20;0;100;2
620;Chapleau;2022-10-03;G;Gatineau, v;36;;39;352;5;13;12;57;1;19;0;107;1
620;Chapleau;2022-10-03;G;Gatineau, v;36;;40;319;6;12;12;52;1;9;0;92;2
620;Chapleau;2022-10-03;G;Gatineau, v;37;;41;329;14;16;19;53;4;14;0;120;2
620;Chapleau;2022-10-03;G;Gatineau, v;37;;42;351;15;18;21;47;2;23;0;126;2
620;Chapleau;2022-10-03;G;Gatineau, v;37;;43;327;9;12;14;58;1;24;0;118;3
620;Chapleau;2022-10-03;G;Gatineau, v;37;;44;369;14;17;15;59;2;11;1;119;5
620;Chapleau;2022-10-03;G;Gatineau, v;38;;45;366;7;17;18;44;0;10;0;96;0
620;Chapleau;2022-10-03;G;Gatineau, v;38;;46;358;19;15;22;45;4;19;0;124;1
620;Chapleau;2022-10-03;G;Gatineau, v;38;;47;361;12;16;12;58;1;20;0;119;2
620;Chapleau;2022-10-03;G;Gatineau, v;38;;48;360;11;18;21;66;3;24;1;144;3
620;Chapleau;2022-10-03;G;Gatineau, v;38;;49;375;10;13;13;46;1;26;2;111;2
620;Chapleau;2022-10-03;G;Gatineau, v;38;;50;379;15;21;24;77;0;22;0;159;3
620;Chapleau;2022-10-03;G;Gatineau, v;38;;51;362;10;13;23;35;1;21;1;104;5
620;Chapleau;2022-10-03;G;Gatineau, v;38;;52;388;10;19;25;42;0;24;0;120;4
620;Chapleau;2022-10-03;G;Gatineau, v;38;;53;403;9;11;12;76;2;25;0;135;2
620;Chapleau;2022-10-03;G;Gatineau, v;38;;54;378;13;14;16;72;0;26;0;141;5
620;Chapleau;2022-10-03;G;Gatineau, v;39;;55;375;8;6;3;59;1;22;0;99;1
620;Chapleau;2022-10-03;G;Gatineau, v;39;;56;363;9;7;14;56;1;17;0;104;1
620;Chapleau;2022-10-03;G;Gatineau, v;39;;57A;237;25;11;15;80;0;21;1;153;0
620;Chapleau;2022-10-03;G;Gatineau, v;39;Regr. BVDS-1;57B;229;0;0;0;0;0;0;0;0;0
620;Chapleau;2022-10-03;G;Gatineau, v;39;;58;323;25;19;22;65;2;23;0;156;1
620;Chapleau;2022-10-03;G;Gatineau, v;40;;59;349;23;20;28;77;2;24;0;174;0
620;Chapleau;2022-10-03;G;Gatineau, v;40;;60;370;32;7;18;71;0;26;0;154;2
620;Chapleau;2022-10-03;G;Gatineau, v;40;;61;361;13;12;27;52;0;25;0;129;4
620;Chapleau;2022-10-03;G;Gatineau, v;40;;62;360;7;5;9;41;2;16;1;81;0
620;Chapleau;2022-10-03;G;Gatineau, v;40;;63;366;10;4;18;24;1;30;0;87;0
620;Chapleau;2022-10-03;G;Gatineau, v;40;;64;350;13;14;23;74;1;27;0;152;2
620;Chapleau;2022-10-03;G;Gatineau, v;40;;65;386;12;17;16;68;0;25;0;138;1
620;Chapleau;2022-10-03;G;Gatineau, v;41;;66;376;14;14;28;82;3;26;0;167;2
