Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cayouette-Guilloteau Valérie Q.S.;Drainville Bernard C.A.Q.-E.F.L.;Garon Richard P.L.Q./Q.L.P.;Laflamme Karine P.C.Q-E.E.D.;Lahlou Mehdi P.V.Q./G.P.Q.;Morel Pierre-Gilles P.Q.;Voyer André C.Q.;B.V.;B.R.
818;Lévis;2022-10-03;G;Lévis, v;22;;25;372;27;51;5;40;2;15;1;141;1
818;Lévis;2022-10-03;G;Lévis, v;22;;26;381;29;64;5;35;4;32;0;169;4
818;Lévis;2022-10-03;G;Lévis, v;22;;27;385;34;38;7;26;1;28;0;134;0
818;Lévis;2022-10-03;G;Lévis, v;22;;28;400;12;66;7;8;0;32;0;125;1
818;Lévis;2022-10-03;G;Lévis, v;22;;29;398;27;55;2;51;1;21;1;158;0
818;Lévis;2022-10-03;G;Lévis, v;22;;30;392;13;66;14;35;1;19;3;151;2
818;Lévis;2022-10-03;G;Lévis, v;22;;31;397;20;88;15;37;2;28;0;190;1
818;Lévis;2022-10-03;G;Lévis, v;23;;32;390;14;53;6;37;2;35;1;148;0
818;Lévis;2022-10-03;G;Lévis, v;23;;33;384;16;54;5;39;2;19;0;135;1
818;Lévis;2022-10-03;G;Lévis, v;23;;34;381;20;68;3;37;1;33;0;162;1
818;Lévis;2022-10-03;G;Lévis, v;23;;35;364;23;58;8;22;2;19;0;132;3
818;Lévis;2022-10-03;G;Lévis, v;23;;36;386;29;51;8;29;0;20;1;138;2
818;Lévis;2022-10-03;G;Lévis, v;23;;37;347;8;63;2;23;0;13;2;111;1
818;Lévis;2022-10-03;G;Lévis, v;23;;38;384;14;63;8;43;2;18;1;149;0
818;Lévis;2022-10-03;G;Lévis, v;23;;39;389;15;61;11;18;1;12;2;120;2
818;Lévis;2022-10-03;G;Lévis, v;24;;40;361;17;47;7;27;0;14;1;113;3
818;Lévis;2022-10-03;G;Lévis, v;24;;41;386;14;50;4;36;1;8;0;113;1
818;Lévis;2022-10-03;G;Lévis, v;24;;42;380;15;89;6;23;1;25;0;159;1
818;Lévis;2022-10-03;G;Lévis, v;24;;43A;249;16;43;6;40;0;10;0;115;0
818;Lévis;2022-10-03;G;Lévis, v;24;;43B;283;16;33;6;42;0;6;1;104;0
818;Lévis;2022-10-03;G;Lévis, v;24;;44;392;27;69;8;41;1;24;3;173;0
818;Lévis;2022-10-03;G;Lévis, v;24;;45;383;12;83;10;60;1;11;1;178;2
818;Lévis;2022-10-03;G;Lévis, v;24;;46;383;17;85;10;65;0;16;0;193;0
818;Lévis;2022-10-03;G;Lévis, v;24;;47;372;18;60;8;40;2;17;0;145;3
818;Lévis;2022-10-03;G;Lévis, v;24;;48;378;15;83;7;52;0;23;0;180;3
818;Lévis;2022-10-03;G;Lévis, v;24;;49;368;17;77;5;44;1;18;0;162;2
818;Lévis;2022-10-03;G;Lévis, v;24;;50;375;24;87;9;34;1;22;0;177;0
818;Lévis;2022-10-03;G;Lévis, v;24;;51;369;14;68;10;34;0;12;1;139;2
818;Lévis;2022-10-03;G;Lévis, v;24;;52;373;20;74;4;41;3;17;0;159;4
818;Lévis;2022-10-03;G;Lévis, v;24;;53;368;14;99;10;34;0;12;3;172;2
818;Lévis;2022-10-03;G;Lévis, v;24;;54;381;26;67;13;33;3;20;0;162;4
818;Lévis;2022-10-03;G;Lévis, v;24;;55;396;18;78;11;51;0;18;0;176;3
818;Lévis;2022-10-03;G;Lévis, v;25;;56;374;8;58;14;25;1;26;2;134;2
818;Lévis;2022-10-03;G;Lévis, v;25;;57A;234;5;48;3;20;0;12;0;88;2
818;Lévis;2022-10-03;G;Lévis, v;25;;57B;222;3;41;13;14;0;8;0;79;2
818;Lévis;2022-10-03;G;Lévis, v;25;;58;381;14;89;7;33;2;16;1;162;1
818;Lévis;2022-10-03;G;Lévis, v;25;;59;416;26;94;14;40;2;20;0;196;1
818;Lévis;2022-10-03;G;Lévis, v;25;;60A;233;11;52;5;19;1;11;0;99;1
818;Lévis;2022-10-03;G;Lévis, v;25;;60B;210;5;35;3;8;0;9;0;60;0
818;Lévis;2022-10-03;G;Lévis, v;25;;61;370;26;68;11;26;1;31;0;163;1
818;Lévis;2022-10-03;G;Lévis, v;25;;62A;238;9;46;4;18;1;13;0;91;5
818;Lévis;2022-10-03;G;Lévis, v;25;;62B;223;6;45;9;18;0;12;1;91;0
818;Lévis;2022-10-03;G;Lévis, v;25;;63;388;20;77;10;44;0;19;0;170;3
818;Lévis;2022-10-03;G;Lévis, v;25;;64;367;18;72;11;44;2;9;1;157;2
818;Lévis;2022-10-03;G;Lévis, v;25;;65;367;17;58;7;30;0;13;1;126;2
818;Lévis;2022-10-03;G;Lévis, v;25;;66;382;17;53;9;33;0;16;0;128;3
818;Lévis;2022-10-03;G;Lévis, v;25;;67;378;26;51;6;32;1;11;3;130;5
818;Lévis;2022-10-03;G;Lévis, v;25;;68;408;24;67;11;53;4;27;0;186;3
818;Lévis;2022-10-03;G;Lévis, v;25;;69;397;22;50;6;41;0;17;1;137;2
818;Lévis;2022-10-03;G;Lévis, v;25;;70;384;33;53;8;29;2;22;0;147;1
818;Lévis;2022-10-03;G;Lévis, v;25;;71;395;18;44;5;44;0;24;2;137;6
818;Lévis;2022-10-03;G;Lévis, v;25;;72A;224;9;34;1;14;1;14;0;73;0
818;Lévis;2022-10-03;G;Lévis, v;25;;72B;216;13;35;9;7;1;10;1;76;0
818;Lévis;2022-10-03;G;Lévis, v;25;;73;378;36;34;3;23;1;21;4;122;1
818;Lévis;2022-10-03;G;Lévis, v;25;;74;382;12;45;4;31;1;20;1;114;6
818;Lévis;2022-10-03;G;Lévis, v;25;;75;353;16;42;8;29;5;17;1;118;5
818;Lévis;2022-10-03;G;Lévis, v;25;;76;392;30;67;8;37;0;18;1;161;4
818;Lévis;2022-10-03;G;Lévis, v;25;;77;365;16;42;9;26;3;21;3;120;2
818;Lévis;2022-10-03;G;Lévis, v;25;;78;373;18;68;5;28;0;27;0;146;2
818;Lévis;2022-10-03;G;Lévis, v;25;;79;365;32;54;11;20;0;23;1;141;0
818;Lévis;2022-10-03;G;Lévis, v;25;;80;382;26;65;3;26;1;41;1;163;0
818;Lévis;2022-10-03;G;Lévis, v;26;;81;363;40;41;6;16;0;11;1;115;1
818;Lévis;2022-10-03;G;Lévis, v;26;;82;368;21;50;12;19;2;22;1;127;4
818;Lévis;2022-10-03;G;Lévis, v;26;;83;380;27;39;9;14;1;32;0;122;3
818;Lévis;2022-10-03;G;Lévis, v;26;;84;367;41;38;4;23;0;24;2;132;4
818;Lévis;2022-10-03;G;Lévis, v;26;;85;405;33;55;13;27;3;41;0;172;0
818;Lévis;2022-10-03;G;Lévis, v;26;;86;367;23;59;10;28;1;23;2;146;2
818;Lévis;2022-10-03;G;Lévis, v;26;;87;365;38;41;11;31;1;31;0;153;4
818;Lévis;2022-10-03;G;Lévis, v;26;;88;390;40;48;10;32;0;40;1;171;1
818;Lévis;2022-10-03;G;Lévis, v;26;;89;379;32;66;6;19;2;24;0;149;2
818;Lévis;2022-10-03;G;Lévis, v;27;;90;343;33;39;11;29;2;19;0;133;3
818;Lévis;2022-10-03;G;Lévis, v;27;;91;373;20;39;8;24;1;13;1;106;0
818;Lévis;2022-10-03;G;Lévis, v;27;;92;362;32;35;7;26;3;25;0;128;3
818;Lévis;2022-10-03;G;Lévis, v;27;;93;383;27;23;8;28;0;24;2;112;2
818;Lévis;2022-10-03;G;Lévis, v;27;;94;368;32;47;3;37;1;31;1;152;2
818;Lévis;2022-10-03;G;Lévis, v;27;;95;361;26;47;5;35;5;30;1;149;4
818;Lévis;2022-10-03;G;Lévis, v;27;;96;360;19;47;10;29;0;24;1;130;0
818;Lévis;2022-10-03;G;Lévis, v;27;;97;361;21;44;4;40;0;23;0;132;4
818;Lévis;2022-10-03;G;Lévis, v;27;;98;344;25;22;3;24;1;26;0;101;2
818;Lévis;2022-10-03;G;Lévis, v;27;;99;355;26;61;14;52;5;29;1;188;1
818;Lévis;2022-10-03;G;Lévis, v;28;;100;380;18;65;3;45;3;19;1;154;3
818;Lévis;2022-10-03;G;Lévis, v;28;;101;373;23;70;6;26;2;20;2;149;4
818;Lévis;2022-10-03;G;Lévis, v;28;;102;386;18;62;6;44;1;25;0;156;8
