Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andreeva Daniela P.C.Q-E.E.D.;Couture Geneviève P.Q.;Fitzgibbon Pierre C.A.Q.-E.F.L.;Jean Lindsay P.L.Q./Q.L.P.;Meloche Marie-France D.D.;Poirier Nadia Q.S.;Tarpinian Nazar P.V.Q./G.P.Q.;B.V.;B.R.
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;36B;237;5;14;38;13;0;18;0;88;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;37;385;7;29;91;12;0;26;0;165;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;38A;226;13;26;54;15;0;11;3;122;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;38B;235;15;20;36;16;0;16;0;103;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;39;362;29;27;76;27;0;25;1;185;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;40;359;14;49;59;5;0;15;1;143;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;41;389;23;34;81;14;0;12;1;165;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;42;371;20;25;81;11;1;14;0;152;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;43;363;17;28;102;41;0;23;0;211;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;44;358;29;38;79;33;0;19;1;199;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;45;375;17;35;84;18;0;20;1;175;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;46;371;6;21;87;46;0;14;0;174;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;11;;47;379;12;29;109;32;1;26;4;213;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;48;362;9;30;70;28;0;18;2;157;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;49;364;16;24;90;12;0;28;1;171;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;50;371;20;45;71;26;0;20;2;184;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;51;365;13;38;84;11;0;31;3;180;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;52;377;6;33;114;19;1;21;3;197;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;53;375;21;33;79;19;0;27;2;181;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;54;380;22;53;83;13;0;14;0;185;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;55;369;16;41;81;22;0;28;4;192;2
