Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Agathe-de-Lotbinière, m;1;;83;286;9;87;13;69;11;189;0
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Agathe-de-Lotbinière, m;1;;84;292;19;59;14;76;14;182;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Sylvestre, m;1;;85;398;34;75;19;95;19;242;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Sylvestre, m;1;;86;363;21;72;22;78;26;219;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Patrice-de-Beaurivage, m;1;;87;275;8;90;10;55;16;179;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Patrice-de-Beaurivage, m;1;;88;286;15;79;14;65;11;184;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Patrice-de-Beaurivage, m;1;;89;287;10;79;19;68;7;183;4
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Narcisse-de-Beaurivage, p;1;;90;272;9;88;6;74;13;190;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Narcisse-de-Beaurivage, p;1;;91;291;10;77;14;87;10;198;6
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Narcisse-de-Beaurivage, p;1;;92;291;22;83;7;71;10;193;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;93;385;12;108;27;89;20;256;4
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;94;412;6;111;15;87;19;238;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;95;406;9;100;10;124;14;257;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;96A;215;10;84;5;41;12;152;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;96B;219;1;86;7;52;11;157;2
