Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahmed Omar P.V.Q./G.P.Q.;Bessard Carmel-Antoine P.C.Q-E.E.D.;Cadet Madwa-Nika P.L.Q./Q.L.P.;Diallo Absa C.A.Q.-E.F.L.;Gustave Ricardo Q.S.;Lalande McLean Shawn P.A.P.E.;Robitaille Zacharie P.Q.;Toussaint Smaille Ind;B.V.;B.R.
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;287;;41;380;1;6;44;27;29;0;4;1;112;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;287;;42;371;1;10;57;22;11;0;5;0;106;7
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;288;;43;378;6;12;61;32;34;0;8;0;153;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;288;;44;377;3;15;62;29;36;1;14;0;160;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;288;;45;369;1;11;65;25;36;0;15;1;154;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;288;;46;377;0;11;65;25;25;1;8;0;135;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;288;;47;373;1;7;51;18;25;0;11;1;114;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;289;;48;385;3;10;36;29;30;0;23;0;131;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;289;;49;378;3;9;44;37;22;0;20;1;136;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;289;;50;366;3;16;34;39;34;0;16;0;142;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;289;;51;376;2;9;24;47;14;0;21;0;117;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;289;;52;393;0;11;29;33;20;1;23;1;118;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;290;;53;360;2;14;52;45;37;1;19;1;171;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;290;;54;358;0;21;48;40;28;0;6;0;143;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;290;;55;360;2;19;61;43;14;0;13;0;152;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;290;;56;364;4;19;50;30;24;0;13;2;142;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;290;;57;365;1;16;34;49;29;2;31;0;162;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;291;;58;385;0;5;54;30;17;0;7;0;113;9
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;291;;59;378;1;12;65;34;26;1;22;0;161;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;291;;60;369;0;16;69;14;37;1;14;1;152;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;291;;61;384;1;9;84;25;30;0;15;0;164;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;292;;62;377;1;10;69;40;23;0;10;3;156;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;292;;63;382;1;10;60;23;11;0;19;0;124;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;293;;64;348;2;15;50;16;22;1;13;0;119;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;293;;65;354;2;20;48;21;22;0;12;2;127;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;293;;66;357;3;13;65;26;28;0;8;1;144;8
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;293;;67;347;1;12;69;37;14;1;15;1;150;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;293;;68;363;3;6;84;29;25;0;7;0;154;5
