Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charles Eribert P.L.Q./Q.L.P.;Gauthier Stephen D.D.;Jolin-Barrette Simon C.A.Q.-E.F.L.;Landry Benoît Q.S.;Laprise Paule P.Q.;Racicot Jean-Félix P.C.Q-E.E.D.;Thibault-Vincent Thomas P.V.Q./G.P.Q.;Thibodeau Marcel C.Q.;B.V.;B.R.
258;Borduas;2022-10-03;G;Beloeil, v;3;;50;382;9;0;97;32;41;12;0;0;191;4
258;Borduas;2022-10-03;G;Beloeil, v;3;;51A;231;9;0;42;18;40;8;1;0;118;0
258;Borduas;2022-10-03;G;Beloeil, v;3;;51B;221;6;0;54;10;18;8;0;0;96;2
258;Borduas;2022-10-03;G;McMasterville, m;1;;52;388;11;0;99;52;40;18;1;0;221;0
258;Borduas;2022-10-03;G;McMasterville, m;1;;53;380;7;0;89;35;32;20;2;0;185;5
258;Borduas;2022-10-03;G;McMasterville, m;1;;54;379;5;0;110;39;41;14;2;1;212;1
258;Borduas;2022-10-03;G;McMasterville, m;1;;55;369;13;1;95;39;43;11;4;1;207;1
258;Borduas;2022-10-03;G;McMasterville, m;1;;56;377;5;1;96;28;36;19;6;0;191;4
258;Borduas;2022-10-03;G;McMasterville, m;1;;57;382;13;0;97;34;50;12;3;0;209;5
258;Borduas;2022-10-03;G;McMasterville, m;1;;58;369;17;0;103;20;28;24;2;0;194;1
258;Borduas;2022-10-03;G;McMasterville, m;1;;59;369;7;0;98;44;26;10;3;0;188;3
258;Borduas;2022-10-03;G;McMasterville, m;1;;60;359;11;0;71;30;36;14;1;0;163;3
258;Borduas;2022-10-03;G;McMasterville, m;1;;61;420;6;3;82;48;27;21;5;0;192;3
258;Borduas;2022-10-03;G;McMasterville, m;1;;62;391;10;1;74;27;32;13;4;0;161;4
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;63A;324;10;0;58;41;37;23;4;0;173;2
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;63B;266;1;0;47;28;37;18;0;0;131;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;64;415;7;1;88;43;48;14;2;0;203;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;65;400;9;0;98;40;45;19;3;0;214;4
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;66;408;10;0;81;33;40;16;2;1;183;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;67;413;16;1;100;44;46;15;8;1;231;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;68;413;12;0;110;38;35;16;2;0;213;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;69;415;21;0;85;31;40;18;0;1;196;0
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;70;411;8;1;65;60;39;28;2;0;203;2
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;71;396;14;1;47;61;54;18;5;0;200;5
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;72;386;15;0;82;46;50;9;1;1;204;0
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;73;400;18;0;67;48;43;20;3;0;199;4
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;74;419;24;0;60;40;40;21;5;2;192;0
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;75;406;22;1;66;46;52;12;5;0;204;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;76;416;16;0;87;41;42;19;0;0;205;2
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;77;413;14;1;76;45;40;18;4;1;199;1
258;Borduas;2022-10-03;G;Otterburn Park, v;1;;78;412;4;1;64;49;27;22;2;0;169;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;79;404;9;0;93;19;29;23;0;2;175;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;80;390;10;0;90;33;29;10;3;1;176;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;81;417;14;0;88;25;30;22;1;0;180;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;82;390;9;0;94;32;24;6;4;0;169;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;83;402;17;0;91;20;22;15;2;2;169;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;84;402;5;0;74;44;37;12;1;0;173;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;85;393;18;0;87;19;25;7;0;0;156;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;86;394;18;0;78;22;41;10;9;1;179;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;87;399;10;0;114;25;24;16;1;1;191;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;88;397;9;0;102;23;46;15;8;0;203;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;89;385;16;0;92;38;25;11;0;0;182;4
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;90;378;6;2;85;27;35;10;0;1;166;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;91;407;10;0;69;33;29;12;2;0;155;3
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;92A;231;2;0;47;14;27;5;2;0;97;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;92B;224;6;0;39;13;22;9;2;0;91;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;93;384;12;0;90;32;29;16;4;0;183;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;94;416;20;0;78;44;52;17;2;1;214;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;95;414;9;0;55;42;55;15;3;0;179;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;96;403;9;0;64;46;43;16;3;2;183;4
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;97;398;10;0;45;32;30;9;1;0;127;0
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;98;402;7;1;74;37;32;17;3;1;172;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;99;380;6;0;87;33;38;7;3;0;174;5
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;100;400;13;0;90;31;42;13;0;0;189;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;1;;101;395;16;0;88;19;22;9;5;1;160;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;102;345;9;0;61;44;22;9;0;0;145;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;103;360;6;0;42;13;19;13;0;1;94;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;104;360;6;3;57;30;44;15;3;0;158;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;105;417;17;0;98;42;40;17;4;1;219;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;106;348;8;0;66;26;50;9;4;0;163;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;107;365;16;0;70;34;46;7;2;0;175;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;2;;108;388;9;0;106;30;45;17;4;0;211;4
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;109;387;16;0;61;15;28;20;0;1;141;2
