Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-E.F.L.;Pépin Karine P.C.Q-E.E.D.;Roy Cullen Steven Q.S.;Samman Georges U.F.F.;Tekougoum Adams P.L.Q./Q.L.P.;Trottier Éric C.Q.;Vézina Laurent P.Q.;B.V.;B.R.
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;41;322;27;30;26;1;1;1;14;100;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;42;356;43;18;31;2;3;0;17;114;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;43;353;42;13;33;0;4;1;13;106;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;44;330;32;28;15;0;2;0;14;91;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;45;329;39;15;15;2;2;1;16;90;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;46;385;51;31;45;0;9;1;28;165;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;47;402;55;39;27;2;9;0;18;150;5
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;48;387;75;17;34;0;8;0;24;158;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;49;367;70;28;25;0;5;0;27;155;5
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;50;416;66;33;30;0;4;1;25;159;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;11;;51;403;49;36;31;0;4;1;19;140;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;52;379;33;17;44;0;4;1;15;114;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;53;362;57;14;24;0;5;0;26;126;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;54;358;29;18;45;0;4;0;20;116;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;55;338;33;21;39;1;6;1;14;115;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;56;358;45;8;34;1;3;0;28;119;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;57;347;37;22;42;0;4;3;18;126;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;58;358;42;22;36;0;3;1;13;117;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;59;362;29;21;49;3;5;2;22;131;2
