Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Cliche-Rivard Guillaume Q.S.;Daubois Julie P.Q.;Duford Jean-Pierre P.V.Q./G.P.Q.;Gaudreault Esther D.D.;Huard-Isabelle Nicolas C.A.Q.-E.F.L.;Kaczorowski Janusz B.M.-E.B.H.;White Mischa P.C.Q-E.E.D.;B.V.;B.R.
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;125;361;48;27;16;0;0;32;1;9;133;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;126;364;52;45;9;1;0;18;2;10;137;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;127;367;40;34;7;5;0;30;4;14;134;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;128;367;55;40;7;1;0;12;2;10;127;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;129A;249;47;20;5;1;0;16;0;2;91;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;129B;242;37;12;7;1;0;13;0;7;77;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;130;372;52;48;8;3;0;16;2;12;141;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;131;353;55;28;12;3;0;13;3;11;125;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;132;374;63;49;12;2;0;12;3;7;148;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;133;366;45;54;11;3;0;30;2;8;153;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;134;322;36;38;2;5;0;8;1;7;97;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;135;372;42;49;4;9;1;21;4;6;136;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;136;362;52;36;6;3;0;12;5;7;121;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;137;389;58;52;4;5;0;15;4;13;151;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;105;;138;362;54;41;11;5;3;18;2;15;149;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;139;385;52;60;10;8;0;19;4;9;162;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;140;387;73;48;20;2;1;12;2;4;162;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;141;381;72;29;11;8;0;13;0;9;142;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;142;378;52;39;9;3;0;8;8;15;134;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;143;374;79;48;9;6;0;23;4;9;178;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;144;406;74;50;14;6;0;23;4;6;177;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;145;366;62;73;15;1;0;18;5;3;177;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;146;396;36;48;9;4;0;36;3;19;155;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;147;386;67;34;15;4;1;25;0;2;148;9
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;106;;148;398;68;52;14;4;0;17;3;14;172;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;Regr. BVO-17;500;107;0;0;0;0;0;0;0;0;0;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;Regr. BVO-55;501;138;0;0;0;0;0;0;0;0;0;0
