Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-E.F.L.;Bélanger Alain Ind;Boisvert Françoise U.F.F.;Brodeur Gilles P51;Gélinas Dominique P.Q.;Malenfant-Veilleux Alexandra P.L.Q./Q.L.P.;Noël Serge P.C.Q-E.E.D.;Piotte Simon Q.S.;Simon Daniel P.V.Q./G.P.Q.;B.V.;B.R.
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;67;380;73;1;0;1;21;8;30;15;0;149;1
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;68;408;102;0;0;0;24;17;28;14;4;189;2
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;69;396;60;0;0;0;20;8;14;2;1;105;3
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;70;398;78;1;1;0;12;6;13;11;0;122;7
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;71;400;78;0;0;0;10;5;26;11;1;131;4
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;72;414;99;0;1;0;27;14;17;14;1;173;0
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;73;384;87;0;0;0;22;5;20;11;0;145;0
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;74;369;88;0;0;0;13;10;31;28;2;172;3
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;75;364;72;1;0;0;17;3;26;12;0;131;3
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;76;372;71;0;0;0;29;12;23;20;2;157;1
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;77;373;53;0;2;0;20;6;25;18;4;128;5
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;78;350;61;0;2;0;13;4;21;14;1;116;0
666;Maskinongé;2022-10-03;G;Yamachiche, m;1;;79;368;83;0;0;0;20;7;26;13;1;150;0
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;80;354;50;0;1;0;34;8;35;20;2;150;0
