Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Crispin Diana Mélissa P.L.Q./Q.L.P.;Laurin Pascal P.C.Q-E.E.D.;St-Louis François C.A.Q.-E.F.L.;Trudel Flavie Q.S.;Venne Véronique P.Q.;B.V.;B.R.
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;61;391;7;9;42;26;58;142;4
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;62;396;2;11;51;25;37;126;3
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;63;376;5;8;57;13;51;134;3
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;64;415;2;12;53;16;55;138;3
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;65A;266;8;19;74;26;58;185;4
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVDS-1;65B;279;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;66;390;4;12;55;17;30;118;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;67;379;2;5;55;13;34;109;2
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;68;404;4;10;56;32;56;158;2
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;;69;403;3;13;57;20;29;122;5
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;;70;357;5;11;53;15;61;145;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;;71;363;4;23;68;18;47;160;8
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;;72;374;2;13;61;16;56;148;7
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;;73;336;4;9;29;16;40;98;4
570;Joliette;2022-10-03;G;Saint-Pierre, vl;1;;74;230;5;14;51;7;23;100;2
570;Joliette;2022-10-03;G;Joliette, v;1;;75;367;3;10;63;24;37;137;1
570;Joliette;2022-10-03;G;Joliette, v;1;;76;352;6;19;43;21;46;135;1
570;Joliette;2022-10-03;G;Joliette, v;1;;77;364;3;12;44;13;50;122;2
