Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchesne Marco P.V.Q./G.P.Q.;Cournoyer Myriam P.C.Q-E.E.D.;Couture-Picard Emrick P.Q.;Martel Tony Q.S.;Poirier Pierre P.L.Q./Q.L.P.;Schneeberger Sébastien C.A.Q.-E.F.L.;Therion Steve E.A.;B.V.;B.R.
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;73;381;0;13;35;27;11;80;0;166;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;74;369;1;26;20;12;10;69;0;138;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;75;384;0;14;11;7;5;55;0;92;7
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;76;368;2;16;36;31;7;77;0;169;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;77;381;0;17;13;12;14;86;0;142;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;78;371;0;10;31;12;8;114;0;175;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;79;345;3;18;25;24;15;76;0;161;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;80;353;2;19;22;18;5;97;0;163;29
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;81;356;4;33;21;22;6;77;2;165;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;82;340;3;18;29;16;5;59;0;130;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;83;349;0;14;24;20;7;102;0;167;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;4;;84;342;2;11;24;21;11;91;1;161;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;5;;85;388;0;20;28;26;11;81;0;166;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;5;;86;393;2;17;27;17;4;85;1;153;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;5;;87;393;1;28;23;24;8;68;0;152;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;5;;88;396;1;7;34;16;8;100;0;166;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;5;;89;398;0;8;36;18;3;58;0;123;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;90;395;4;22;40;20;6;43;0;135;5
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;91;389;4;34;24;33;7;50;1;153;6
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;92;394;1;18;15;13;5;75;0;127;2
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;93;379;0;21;19;10;7;42;1;100;6
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;94;385;1;18;28;21;3;71;0;142;4
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;6;;95;397;3;30;35;30;3;35;0;136;3
