Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caire Éric C.A.Q.-E.F.L.;Doumalin Frédéric P.L.Q./Q.L.P.;Fortin Alain C.Q.;Grand'Maison Martin D.D.;Grondin Olivier P.N.;Lachance Stéphane P.C.Q-E.E.D.;Riedo Sandra Mara P.V.Q./G.P.Q.;Trudel Martin P.Q.;Villeneuve Lucie Q.S.;B.V.;B.R.
720;La Peltrie;2022-10-03;G;Québec, v;8;;114;384;60;11;1;0;3;51;1;22;17;166;3
720;La Peltrie;2022-10-03;G;Québec, v;8;;115;379;66;4;0;0;1;70;0;13;16;170;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;116;373;56;4;0;0;0;61;2;12;14;149;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;117;386;49;7;1;0;0;68;0;12;7;144;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;118;377;80;2;0;0;0;47;1;20;25;175;1
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;119;374;47;6;0;1;1;61;1;17;15;149;4
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;120;382;66;9;0;0;2;63;0;5;4;149;3
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;121;388;63;8;0;0;0;66;2;15;11;165;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;122;379;65;8;0;0;0;63;2;11;17;166;3
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;123A;226;35;5;0;0;1;35;3;10;12;101;1
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;123B;211;26;2;0;0;1;42;1;9;13;94;1
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;124;370;55;4;0;0;2;51;1;11;12;136;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;125;380;41;12;0;0;0;41;1;8;20;123;0
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;126;388;64;12;0;0;0;50;3;8;15;152;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;127;337;56;4;0;0;0;47;0;13;11;131;0
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;128;342;57;7;0;1;0;47;2;14;17;145;0
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;129;343;33;8;0;1;0;77;4;9;11;143;1
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;130;345;46;11;0;0;1;74;2;20;11;165;2
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;131;347;46;11;1;1;1;62;0;13;14;149;6
720;La Peltrie;2022-10-03;G;Sainte-Catherine-de-la-Jacques-Cartier, v;2;;132;337;55;4;0;0;0;54;2;16;21;152;3
720;La Peltrie;2022-10-03;G;Fossambault-sur-le-Lac, v;1;;133;363;50;10;0;0;1;56;4;20;15;156;1
720;La Peltrie;2022-10-03;G;Fossambault-sur-le-Lac, v;1;;134;350;75;9;1;0;0;53;2;24;16;180;2
720;La Peltrie;2022-10-03;G;Fossambault-sur-le-Lac, v;1;;135;355;68;2;0;0;0;49;4;19;20;162;3
720;La Peltrie;2022-10-03;G;Fossambault-sur-le-Lac, v;1;;136;362;50;8;1;1;0;71;4;14;11;160;4
720;La Peltrie;2022-10-03;G;Fossambault-sur-le-Lac, v;1;;137;352;69;6;0;0;0;53;0;6;2;136;0
720;La Peltrie;2022-10-03;G;Lac-Saint-Joseph, v;1;;138;253;51;9;0;0;0;13;0;15;7;95;0
720;La Peltrie;2022-10-03;G;Shannon, v;1;;139;298;22;7;0;0;0;58;0;10;17;114;2
720;La Peltrie;2022-10-03;G;Shannon, v;1;;140;367;51;7;1;0;0;63;1;7;9;139;4
720;La Peltrie;2022-10-03;G;Shannon, v;1;;141;392;44;11;0;0;1;73;0;11;6;146;1
720;La Peltrie;2022-10-03;G;Shannon, v;1;;142;384;43;6;0;0;1;68;0;12;8;138;0
720;La Peltrie;2022-10-03;G;Shannon, v;1;;143;385;50;11;0;0;1;65;0;9;15;151;2
720;La Peltrie;2022-10-03;G;Shannon, v;1;;144;392;44;13;1;0;2;67;1;13;15;156;1
720;La Peltrie;2022-10-03;G;Shannon, v;1;;145;391;81;11;0;0;0;60;3;11;12;178;0
720;La Peltrie;2022-10-03;G;Shannon, v;1;;146;379;59;7;1;0;2;61;0;10;16;156;2
720;La Peltrie;2022-10-03;G;Shannon, v;1;;147;391;55;13;0;0;0;82;0;9;7;166;2
720;La Peltrie;2022-10-03;G;Shannon, v;1;;148;378;75;15;0;0;0;53;1;7;6;157;0
720;La Peltrie;2022-10-03;G;Shannon, v;1;;149;375;73;6;1;0;1;57;2;15;10;165;4
720;La Peltrie;2022-10-03;G;Shannon, v;1;;150;327;8;7;0;3;1;53;3;10;15;100;1
720;La Peltrie;2022-10-03;G;Saint-Gabriel-de-Valcartier, m;1;;151;152;8;5;0;0;1;18;0;1;5;38;0
720;La Peltrie;2022-10-03;G;Saint-Gabriel-de-Valcartier, m;1;;152;352;54;21;0;0;0;73;6;13;8;175;1
720;La Peltrie;2022-10-03;G;Saint-Gabriel-de-Valcartier, m;1;;153;352;51;19;0;1;1;58;3;22;6;161;3
720;La Peltrie;2022-10-03;G;Saint-Gabriel-de-Valcartier, m;1;;154;350;49;9;3;1;0;62;0;21;11;156;2
