Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aquin-Belleau Vincent P.V.Q./G.P.Q.;Chekal Lyes P.L.Q./Q.L.P.;Chénier Pierre P.M.L.Q.;Dorismond Shirley C.A.Q.-E.F.L.;Nantel Pierre P.Q.;Ouellet Martine C.Q.;Portron Florent E.A.;Stillo Lara P.C.Q-E.E.D.;Vaithyanathasarma Shophika Q.S.;B.V.;B.R.
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;55B;203;0;14;0;18;22;0;1;5;21;81;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;56;413;1;21;0;51;31;1;0;21;34;160;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;57;402;2;27;0;52;34;0;0;9;36;160;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;58;398;2;21;0;40;32;3;0;20;51;169;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;59;388;3;22;0;55;27;2;0;14;37;160;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;60;397;0;26;0;56;33;3;0;17;34;169;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;61;428;3;33;0;37;24;0;1;7;48;153;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;62;387;3;12;1;46;23;1;0;26;41;153;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;63;408;0;15;0;49;20;1;0;15;32;132;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;64;408;2;12;0;51;37;1;0;17;22;142;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;65;409;8;11;1;45;36;0;0;14;39;154;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;23;;66;390;1;22;1;32;16;2;0;14;37;125;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;67;366;4;16;0;30;25;1;0;14;23;113;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;68;368;1;15;0;31;18;1;1;7;19;93;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;69;373;1;16;0;39;21;1;0;10;45;133;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;70;395;5;13;1;43;36;0;0;19;37;154;5
