Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve P.C.Q-E.E.D.;Bourson Patrick Ind;Caron Vincent C.A.Q.-E.F.L.;Hayes Patrick P.L.Q./Q.L.P.;Mc Cabe Alexandre P.Q.;Melançon Anne-Marie Q.S.;Simard Karine D.D.;B.V.;B.R.
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;86;362;97;1;105;6;15;15;0;239;2
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;87;373;62;5;100;5;21;9;0;202;4
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;88;352;69;3;101;14;19;14;0;220;1
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;89;366;56;3;132;4;14;11;0;220;3
714;Portneuf;2022-10-03;G;Saint-Léonard-de-Portneuf, m;1;;90;307;46;3;81;1;17;13;1;162;1
714;Portneuf;2022-10-03;G;Saint-Léonard-de-Portneuf, m;1;;91;315;58;1;86;9;11;17;0;182;0
714;Portneuf;2022-10-03;G;Saint-Léonard-de-Portneuf, m;1;;92;300;45;2;84;2;12;13;0;158;3
714;Portneuf;2022-10-03;G;Rivière-à-Pierre, m;1;;93;243;31;2;99;2;10;4;1;149;1
714;Portneuf;2022-10-03;G;Rivière-à-Pierre, m;1;;94;255;28;1;103;2;13;9;0;156;1
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;95;381;38;1;64;6;17;19;0;145;2
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;96;390;67;5;48;2;6;9;0;137;4
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;97;373;66;2;65;1;17;11;1;163;1
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;98;371;65;7;61;6;3;13;1;156;2
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;99;383;95;4;38;8;9;9;0;163;6
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;100;370;67;3;48;5;11;11;0;145;4
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;101;376;62;2;73;7;8;8;0;160;1
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;102;390;62;2;57;6;16;19;0;162;0
714;Portneuf;2022-10-03;G;Saint-Raymond, v;1;;103;375;44;9;67;2;9;7;0;138;3
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;104;394;38;3;66;3;8;6;0;124;2
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;105;411;49;4;96;5;17;15;0;186;1
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;106;394;52;1;79;2;4;15;0;153;2
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;107;378;28;6;84;3;4;9;0;134;4
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;108;387;30;1;68;4;3;12;1;119;0
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;109;392;34;3;65;3;11;11;0;127;3
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;110;386;26;4;64;6;12;10;0;122;4
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;111;400;57;0;77;4;16;12;1;167;2
714;Portneuf;2022-10-03;G;Saint-Raymond, v;2;;112;388;41;7;74;4;6;12;0;144;0
