Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Line P.N.;Champagne Isabelle P.C.Q-E.E.D.;Dubé Caroline P.Q.;Gagnon Yannick C.A.Q.-E.F.L.;Garcia Martinez Karla Cynthia Q.S.;Solon Wilda P.L.Q./Q.L.P.;B.V.;B.R.
922;Jonquière;2022-10-03;G;Saguenay, v;17;;88;412;1;19;61;105;30;5;221;1
922;Jonquière;2022-10-03;G;Saguenay, v;17;;89;401;2;19;72;101;19;7;220;3
922;Jonquière;2022-10-03;G;Saguenay, v;17;;90;395;3;18;56;112;23;4;216;4
922;Jonquière;2022-10-03;G;Saguenay, v;17;;91;393;2;13;35;131;16;3;200;0
922;Jonquière;2022-10-03;G;Saguenay, v;18;;92;337;2;21;41;66;33;3;166;1
922;Jonquière;2022-10-03;G;Saguenay, v;18;;93;337;3;8;26;109;17;6;169;5
922;Jonquière;2022-10-03;G;Saguenay, v;18;;94;324;0;26;46;80;20;6;178;3
922;Jonquière;2022-10-03;G;Saguenay, v;18;;95;337;1;11;36;99;13;1;161;3
922;Jonquière;2022-10-03;G;Saguenay, v;18;;96;338;1;18;43;91;25;0;178;0
922;Jonquière;2022-10-03;G;Saguenay, v;42;;97;382;2;13;38;93;25;2;173;3
922;Jonquière;2022-10-03;G;Saguenay, v;42;;98;391;0;15;49;86;20;3;173;4
922;Jonquière;2022-10-03;G;Saguenay, v;42;;99;381;2;25;23;101;32;3;186;3
922;Jonquière;2022-10-03;G;Saguenay, v;43;;100A;245;0;18;24;61;6;2;111;0
922;Jonquière;2022-10-03;G;Saguenay, v;43;;100B;265;0;11;18;69;7;1;106;1
922;Jonquière;2022-10-03;G;Saguenay, v;43;;101;392;0;27;47;74;22;4;174;1
922;Jonquière;2022-10-03;G;Saguenay, v;43;;102;369;2;24;28;101;11;5;171;3
922;Jonquière;2022-10-03;G;Saguenay, v;43;;103;384;0;9;31;125;19;4;188;3
922;Jonquière;2022-10-03;G;Saguenay, v;43;;104;390;2;17;38;96;14;4;171;6
922;Jonquière;2022-10-03;G;Saguenay, v;43;;105;398;0;22;27;94;18;2;163;2
922;Jonquière;2022-10-03;G;Saguenay, v;44;;106A;221;0;11;15;69;3;2;100;1
922;Jonquière;2022-10-03;G;Saguenay, v;44;;106B;236;0;11;13;75;7;1;107;0
922;Jonquière;2022-10-03;G;Saguenay, v;44;;107;408;1;20;41;133;14;9;218;4
922;Jonquière;2022-10-03;G;Saguenay, v;44;;108;411;2;14;30;123;17;6;192;3
922;Jonquière;2022-10-03;G;Saguenay, v;44;;109A;232;0;10;5;32;12;3;62;1
922;Jonquière;2022-10-03;G;Saguenay, v;44;;109B;221;1;10;19;59;10;2;101;4
922;Jonquière;2022-10-03;G;Saguenay, v;44;;110;393;0;27;46;94;26;11;204;1
