Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Catherine C.A.Q.-E.F.L.;Cyr Christian P.L.Q./Q.L.P.;Cyr Wright Catherine Q.S.;Deschênes Alexis P.Q.;Lauzon Anne-Marie U.F.F.;Rioux Jocelyn C.Q.;Therrien François P.C.Q-E.E.D.;B.V.;B.R.
850;Bonaventure;2022-10-03;G;Gesgapegiag, r;1;;39;223;5;5;6;0;0;0;0;16;0
850;Bonaventure;2022-10-03;G;Cascapédia--Saint-Jules, m;1;;40;311;41;64;15;36;2;0;17;175;2
850;Bonaventure;2022-10-03;G;Cascapédia--Saint-Jules, m;1;;41;299;28;55;14;17;0;0;28;142;0
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;42;387;39;21;38;49;0;0;7;154;1
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;43;377;44;13;17;44;1;0;10;129;2
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;44;376;60;9;16;25;0;1;4;115;1
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;45;379;61;3;12;59;1;0;5;141;1
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;46;378;68;9;16;42;0;0;7;142;2
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;47;385;37;13;25;40;0;2;1;118;3
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;48;380;49;21;34;45;2;1;8;160;3
850;Bonaventure;2022-10-03;G;New Richmond, v;1;;49;371;42;22;28;45;2;0;15;154;3
850;Bonaventure;2022-10-03;G;Rivière-Bonaventure, no;1;Regr. BVO-46;50;49;0;0;0;0;0;0;0;0;0
850;Bonaventure;2022-10-03;G;Saint-Alphonse, m;1;;51;292;56;10;32;61;0;0;10;169;5
850;Bonaventure;2022-10-03;G;Saint-Alphonse, m;1;;52;295;70;9;34;64;2;0;5;184;1
850;Bonaventure;2022-10-03;G;Caplan, m;1;;53;410;99;13;31;80;0;0;11;234;3
850;Bonaventure;2022-10-03;G;Caplan, m;1;;54;411;111;11;34;57;2;0;10;225;3
850;Bonaventure;2022-10-03;G;Caplan, m;1;;55;411;120;11;23;62;1;2;1;220;4
850;Bonaventure;2022-10-03;G;Caplan, m;1;;56;390;97;9;19;61;0;3;9;198;2
850;Bonaventure;2022-10-03;G;Saint-Siméon, p;1;;57;346;98;7;20;65;2;0;8;200;1
850;Bonaventure;2022-10-03;G;Saint-Siméon, p;1;;58;334;96;11;21;46;0;0;6;180;6
850;Bonaventure;2022-10-03;G;Saint-Siméon, p;1;;59;339;90;6;36;48;0;0;8;188;2
850;Bonaventure;2022-10-03;G;Saint-Elzéar, m;1;;60;377;95;15;21;62;1;2;15;211;2
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;61;366;75;11;33;46;0;0;4;169;0
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;62;368;67;10;13;49;0;0;7;146;4
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;63;356;43;4;25;40;2;0;8;122;2
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;64;370;80;7;18;46;2;0;9;162;1
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;65;384;59;11;31;54;0;0;7;162;3
850;Bonaventure;2022-10-03;G;Bonaventure, v;1;;66;365;36;15;38;37;0;0;13;139;1
850;Bonaventure;2022-10-03;G;New Carlisle, m;1;;67;374;44;48;8;18;1;0;35;154;0
850;Bonaventure;2022-10-03;G;New Carlisle, m;1;;68;376;14;41;13;16;1;1;45;131;0
850;Bonaventure;2022-10-03;G;New Carlisle, m;1;;69;382;46;41;11;34;0;1;22;155;0
850;Bonaventure;2022-10-03;G;Paspébiac, v;1;;70;386;58;6;13;39;0;0;11;127;1
850;Bonaventure;2022-10-03;G;Paspébiac, v;1;;71;386;61;3;11;32;1;0;10;118;2
850;Bonaventure;2022-10-03;G;Paspébiac, v;1;;72;379;50;3;8;30;0;0;3;94;0
850;Bonaventure;2022-10-03;G;Paspébiac, v;2;;73;385;40;9;11;35;2;1;4;102;2
850;Bonaventure;2022-10-03;G;Paspébiac, v;2;;74;405;61;11;12;28;0;0;4;116;3
