Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Marc P.L.Q./Q.L.P.;Baril Isabelle P.C.Q-E.E.D.;Charette Benoît C.A.Q.-E.F.L.;Côté Olivier Q.S.;Courteau Hélèna C.Q.;Dubois-Massey Dominique U.F.F.;Lalonde Guillaume P.Q.;Tagodoe Amavi P.V.Q./G.P.Q.;B.V.;B.R.
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;88;385;24;21;73;19;4;0;39;3;183;7
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;89;369;18;26;90;13;0;1;44;3;195;9
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;90;368;9;29;85;21;0;2;36;4;186;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;91;385;31;33;110;24;1;1;44;4;248;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;92;374;19;17;112;28;1;2;33;4;216;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;93;410;24;18;88;23;3;0;22;2;180;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;94;386;27;14;70;31;0;0;26;1;169;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;95;390;27;15;87;23;1;0;24;3;180;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;96;368;16;15;66;14;0;0;25;0;136;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;97;339;28;17;55;17;0;1;22;2;142;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;98;329;13;12;67;25;0;0;15;0;132;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;99;375;40;18;60;23;0;0;21;1;163;7
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;11;;100;345;16;10;48;14;0;0;19;0;107;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;12;;101;315;4;28;64;15;1;0;23;1;136;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;12;;102;308;4;12;75;13;0;0;23;0;127;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;12;;103;338;3;16;72;13;0;0;30;1;135;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;12;;104A;261;17;21;37;23;0;0;10;3;111;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;12;;104B;263;9;23;32;6;0;0;8;1;79;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;105;370;32;20;64;24;0;0;29;1;170;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;106;387;6;16;69;32;0;0;48;3;174;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;107;386;20;18;79;33;2;0;27;2;181;7
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;108;369;12;19;76;29;1;0;39;1;177;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;109;365;7;15;55;24;0;0;14;3;118;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;110;371;15;10;58;14;0;0;36;0;133;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;13;;111;389;16;16;48;25;1;0;26;2;134;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;112;370;20;15;82;35;1;0;44;3;200;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;113;329;14;10;88;38;0;3;33;1;187;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;114;362;9;19;78;26;0;0;32;2;166;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;115A;233;17;13;51;19;0;2;19;1;122;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;115B;235;9;9;33;20;0;0;17;0;88;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;116;355;37;14;68;36;1;0;32;0;188;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;14;;117;378;32;13;79;29;2;1;41;3;200;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;118;409;14;19;92;33;0;0;33;3;194;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;119A;236;15;8;45;24;0;1;20;2;115;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;119B;238;25;11;32;19;0;1;20;2;110;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;120;379;25;19;79;31;1;0;41;2;198;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;121;393;18;20;93;26;0;1;36;3;197;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;15;;122;388;15;30;77;31;0;2;49;2;206;1
