Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Lucien Ind;Boisvert Pauline D.D.;Dallaire Germain C.Q.;Déry Pascal P.C.Q-E.E.D.;Gagnon-Ducharme Cédric P.Q.;Harvey Manon Q.S.;Lévesque Gabriel P.L.Q./Q.L.P.;Roy Suzanne C.A.Q.-E.F.L.;Saikali Nadim P.V.Q./G.P.Q.;B.V.;B.R.
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;107;383;1;1;0;12;47;30;13;79;1;184;9
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;108;376;0;0;0;9;25;37;13;98;1;183;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;109;393;1;1;1;13;59;32;8;91;1;207;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;110;379;0;0;0;6;25;39;14;103;2;189;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;111;382;0;0;0;7;34;31;17;114;3;206;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;112;359;0;0;1;8;28;25;12;78;1;153;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;113;352;0;0;1;17;30;31;10;81;2;172;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;114;378;0;0;1;14;22;44;12;93;0;186;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;115;368;1;1;0;11;40;27;9;126;0;215;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;116;368;1;0;0;13;31;27;19;114;5;210;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;117;366;0;0;1;12;24;34;23;118;3;215;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;6;;118;369;1;0;0;12;21;25;18;123;2;202;4
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;119;393;0;0;0;7;36;40;22;125;1;231;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;120;395;0;0;0;17;59;36;16;87;0;215;0
