Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellemare Louis P.L.Q./Q.L.P.;Dionne Amélie C.A.Q.-E.F.L.;Lapointe-Gagnon Myriam Q.S.;Moreault Louise P.C.Q-E.E.D.;Rioux Félix P.Q.;Sierpien Carole C.Q.;B.V.;B.R.
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;28;393;11;93;24;19;40;0;187;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;29;399;16;86;45;19;35;0;201;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;30;393;6;108;29;16;27;0;186;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;31;392;3;103;34;22;34;0;196;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;32;406;4;94;36;21;45;2;202;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;33;380;2;77;25;20;41;1;166;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;34;374;2;62;30;35;20;2;151;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;35;381;8;97;43;21;33;1;203;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;36;382;3;109;45;14;50;1;222;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;37;374;5;52;29;17;35;1;139;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;38;374;6;63;31;14;23;1;138;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;39;399;1;74;23;21;39;1;159;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;40;382;4;87;19;19;20;2;151;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;41;419;11;79;35;24;29;0;178;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;42;356;7;81;28;24;19;0;159;1
