Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arantes Luciana P.L.Q./Q.L.P.;Beauchesne Mario P.Q.;Fortin Pascale Q.S.;Henoud Tarek P.C.Q-E.E.D.;Lefebvre Eric C.A.Q.-E.F.L.;Martel Trystan C.Q.;B.V.;B.R.
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;53;381;3;29;16;32;82;2;164;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;54;383;6;19;17;25;77;1;145;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;55A;227;4;15;6;37;48;0;110;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;55B;223;5;17;5;29;31;1;88;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;56;408;8;18;13;58;97;3;197;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;57A;250;5;12;7;13;40;0;77;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;57B;206;4;9;5;20;43;1;82;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;58;392;11;15;18;44;63;1;152;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;59;380;1;14;22;49;83;0;169;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;60;398;3;19;11;35;99;0;167;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;61;390;9;18;20;29;51;1;128;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;62;360;3;13;26;29;53;2;126;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;63;377;7;20;28;36;58;0;149;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;64;386;4;17;13;31;65;1;131;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;65;394;3;14;20;34;59;1;131;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;66;382;5;21;15;28;68;1;138;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;8;;67;394;10;12;25;37;82;1;167;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;68;408;4;18;14;33;81;0;150;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;69;356;4;26;19;51;96;0;196;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;70;365;5;17;21;66;81;0;190;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;71;380;3;16;28;67;68;1;183;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;72;364;9;16;19;32;95;1;172;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;73;364;11;23;16;36;83;2;171;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;9;;74;364;5;29;11;51;90;4;190;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;75;365;5;15;19;31;70;3;143;8
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;76;369;9;23;16;49;88;3;188;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;77;378;6;22;16;19;70;0;133;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;78;363;2;17;25;24;60;0;128;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;79;348;6;15;23;21;39;2;106;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;80;367;10;21;22;28;62;0;143;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;81;357;3;14;15;19;61;3;115;0
